Name,Date,Review,Stars
Дмитрий,20.09.2017 17:28,"Ну такие ребята! С претензией да! ) и собственно есть с чего! в сроки укладываются, качество (кроме Алых Парусов правда) хорошее. Вот смущает что пошли осваивать пром зоны - экология же там не очень удачная. Но с другой стороны надо же это кому то делать - смотришь и инфраструктуру облагородят вокруг!",4
Полина,08.02.2017 10:38,"ИМХО один из лучших сегодня застройщиков в Москве и в России наверное тоже. Уровень доверия на твердую пять. Проекты очень разные - люди действительно вкладываются в разработку архитектурных и дизайнерских решений. Цены всегда адекватные, хотя да, признаться, доступными их назвать будет трудно)), особенно в некоторых случаях вроде Жизни на Плющихе). Качество строительства при этом сомнений не вызывает в жилье любого уровня. Застройщик бережет репутацию.
Читать полностью",5
Полина,05.09.2017 11:10,"Очень известная компания, у них за плечам куча проектов реализованных. Я когда искала квартиру очень много всего прочитала и могу сказать, что донстрой в плане качества жилья и сроков его сдачи очень хорошо себя показывает. Не знаю как будет сейчас с сердцем столицы, где мы взяли квартиру, но строят быстро, к сроку должны успеть сдать!",5
Вика,21.06.2024 11:48,"У меня будет квартира в Символе в Независимости. Мой дом еще строится, поэтому я частый гость на канале застройщика, где выкладывают новости. В целом темпы хорошие, отчеты о моем квартале регулярно появляются",0
Тимофей,23.09.2024 12:40,"Приобретал квартиру по военной ипотеке во Фреше. У меня сделка была чуть сложнее обычных, потому что сертификат на покупку только 9 месяцев действует. Потом если только заново заказывать, а это нервы и время. Менеджеры быстро включились, по срокам четко получилось
Достоинства: Поддержка на всех этапах покупки
нет
Читать полностью",5
Игорь,18.04.2024 12:46,"Недвижка сейчас в цене только растет по всей рф, убедился на горьком опыте. Мониторил год в надежде, что цены упадут, а по итогу пришлось еще и под больший процент взять, чем взял бы в прошлом году. Из плюсов, что в акцию к 30 летию попал и скидку 8% дали и застройщик сам нормальный, успел подсобрать инфы от жильцов за этот год.",5
Леонид,28.09.2023 10:24,"Хочу сказать, что не везде менеджеры так подходят к своей работе. Мы были у нескольких застройщиков, персонал нас там не впечатлил или может не повезло просто, не знаю. У Донстроя были приятно удивлены, нам менеджер шаристый попался. Видно прям горит своей работой, с такими приятно иметь дело)",5
Матвей,10.01.2023 14:52,"Я и не знал, что есть рейтинг уверенности застройщиков в Forbes и все же приятно, что Донстрой там занял второе место) Еще один плюсик в копилку преимуществ, все таки сделал правильный выбор, что купил у них квартиру",5
Татьяна,12.12.2022 17:35,"Застройщик на слуху, много десятков лет остаётся на плаву, поэтому сомнений не возникает. Мы взяли в Символе квартиру, большой плюс, что есть сданные очереди, то есть район уже не лысый, открывают магазины, кафе, ресторанчики и для детей есть разные секции. Заезжай и живи в комфорте, ну не считая ремонтов вокруг)))",5
Андрей,11.11.2022 16:43,"Застройщик награды себе все в этом году захапал)) Вот недавно в номинации Девелопер года Жилая недвижимости победил! Правда, у них какой-то бум, ну вообще молодцы. Держаться на плаву всегда это надо много силы и труда иметь.",5
