Name,Date,Review,Rating
Ольга,2025-04-30,"Купили квартиру в ЖК Ивакино 1 корпус. Срок срок выдачи ключей по договору до 31/12/24. Уже май 2025, а заселение все оттягивают... Причины отсрочки не называют. Связаться с застройщиком невозможно. Вся коммуникация только через чат, на вопросы о сроке заселения не отвечают",1
Сергей Точилин,2025-04-29,"У нас 2 квартиры от ГК Самолет, Москва и область. В области брали готовую однушку в сданном доме для отца, в Москве на стадии завершения купили двушку по ипотеке. Довольны все. Особо хочу отметить, что с документами в процессе оформления и подготовки очень помогают разобраться, с ипотекой вообще отработано все на ура. Еще большой плюс это большие кухни и лоджии. Отцу выбирали квартиру по принципу хорошей транспортной доступности, остановка в тех минутах от дома, до метро 10 минут ехать. Для своей семьи было важно наличие парковки, она есть и весьма неплохая.",5
Наталья Демченко,2025-04-28,"У меня студия от Самолета в Люберцах, куплена в прошлом году. На стадии строительства брать не решилась, ипотеку тоже не рассматривала, поэтому купила уже готовую. Отделка, как и обещалось, готовая, в целом моих ожиданий студия не обманула. Чуть позже поменяю обои. С водой, светом, интернетом проблем не возникало, шумоизоляция неплохая. Вид из окна на строящиеся дома, но это со временем пройдет, и там обещают еще парк после сдачи этих домов. В подъезде 2 лифта, чисто, во дворе детская площадка большая, до остановки минут 10 идти, и на автобусе 10 минут до метро. В час пик, конечно, не сладко, но 10 минут потерпеть можно. Район развивается, магазины, аптеки, кафе, поликлиника есть взрослая и детская в шаговой доступности. Зелени маловато, но молодых посадок много, так что в будущем вырастут деревья, будет зелено. Я считаю, что деньги вложила удачно.",5
Ефим Горбунков,2025-04-27,"Выбрали ЖК от Группы “Самолет”, потому что нам важна развитая инфраструктура. В Тропарево все есть: детские площадки, магазины, школы и детские сады в шаговой доступности. Территория благоустроена, много зелени, есть места для отдыха. Очень комфортно жить!",5
Ирина,2025-04-26,"Самолет. ЖК Спутник. Задержание выдачи ключей уже 7 мес. Деньги со счетов списали очень давно. Подписывая ДДУ будьте готовы к тому, что «Самолет» сильно нарушит срок, который указан в договоре.",1
Блия,2025-04-24,Самолет задерживает выдачу ключей более чем на 6 месяцев! Кормят обещаниями и каждый месяц переносят срок сдачи! И это не по одному жилому комплексу!!!! Ни когда больше не куплю у данного застройщика квартиру !!!!,1
adam gutman,2025-04-23,Задержка выдачи ключей Ну в общем-то Мне очень понравилось поэтому Ставлю пять звёзд,5
Пользователь,2025-04-18,"Переехали с женой поближе к родителям, чтобы помогали с ребенком. Квартиру выбирали так, чтобы была рядом с садиком и поликлиникой - с маленьким ребенком это критично. Пока многое еще в процессе строительства, но основное уже есть. Квартира светлая, теплая, планировка удобная. Ремонт делали сами, хотя и предлагали взять с отделкой. Плюсы: хорошая инфраструктура для семей с детьми, продуманные планировки, закрытый двор. Минусы: с местами в садике пока напряженка, приходится возить в соседний район, но обещают, что скоро достроят новый садик",5
Юлия,2025-04-16,"Очень ужасный застройщик , приобрели квартиру еще в 23 году в сентябре ,в 24 году в сентябре должна, быть выдача ключей, на носу уже май 25 год и до сих пор тянут. ЖК Пятницкие Луга .",1
Пользователь,2025-04-14,"После долгих поисков остановились на этом жилом комплексе, хотя изначально смотрели совсем другой район. Но тут за те же деньги квартира оказалась на 15 метров больше, да еще и с лоджией. Взяли с предчистовой отделкой, делаем ремонт потихоньку, никуда не торопимся. Что радует - слышимость между квартирами минимальная, не то что в панельных домах. Плюсы: просторная кухня-гостиная, хорошие материалы строительства, удобная транспортная развязка. Минусы: многовато студий в доме, соответственно, много арендаторов, а не собственников",5
