Name,Date,Review,Rating
ruban77,2022-10-31T21:16:05+03:00,"Я не искушенный в сфере недвижимости человек, просто возникло желание написать отзыв о застройщике Новой Москвы А 101, так как у меня квартира в ЖК Белые Ночи, точнее в доме №3. Желание написать отзыв возникло...
Достоинства: Достоинства: сдали в срок, в принципе без претензий по качеству.
Недостатки: Недостатки: есть жалобы на сроки сдачи",5
Pryanik71,2022-09-08T09:52:27+03:00,"Я являюсь покупателем квартиры в ЖК ""Прокшино"". Покупал квартиру на начальной стадии в июле 2020, когда еще на сайте не были выставлены квартиры в продажу. Приехал в назначенное время, проконсультировался, определился с квартирой, заплатил 10...
Достоинства: Достоинства: Своевременная сдача дома, красивые дома
Недостатки: Недостатки: В моем случае минусы отсутствуют.",5
Highlender,2022-10-25T19:53:06+03:00,"Всем здравствовать! Про А 101 узнал совершенно случайно, просто поиски квартиры, наверное, как многие начал с интернета, со всем известных сайтов по недвижимости. Видимо поисковые системы заметили, что я усиленно интересуюсь недвижкой и уже в...
Достоинства: Достоинства: много строит, давно строит
Недостатки: Недостатки: пока не знаю",5
Rrazumovsky,2022-03-27T12:06:58+03:00,"Уезжали от родителей из соседнего дома в Москве А101 с липового. Зачем ехать далеко?)))Правильно не за чем. В 2012 с покупкой в Москве а101 проблем с застройщиком не было. Ну собственно мы подумали и сейчас...
Достоинства: Достоинства: Ребята все достраивают, нет ни одного объекта, который не достроили. Строят огромные районы в едином стиле, с хорошим озеленением. В каждом их районе есть как минимум по одной большой школе и по садику, и дополнительные еще строятся.
Недостатки: Недостатки: Срывы по срокам сдачи. Где-то больше где то меньше, где то нету.",5
tutor,2019-05-17T01:18:13+03:00,"Являясь счастливой обладательницей квартиры от застройщика А101, хочу поделиться своим опытом и мнением по поводу этой строительной компании. Уверена, что прежде чем купить жилье вы обязательно посмотрите проект жилого комплекса, рассчитаете дорогу до работы, до...
Достоинства: Достоинства: Цены
Недостатки: Недостатки: Не устраняют дефекты в квартире после подписания Акта Передачи.",4
Stas54Kl,2022-08-26T15:23:46+03:00,"Хотел бы поделится своими впечатлениями про застройщика А 101, на примере их стройки ЖК Скандинавия, где я недавно получил ключи от своей долевой квартиры. Хочу сказать, что после прочтения некоторых отзывов, откровенно негативных я увидел...
Достоинства: Достоинства: строит много, качественно, долгострое в нет
Недостатки: Недостатки: иногда переносят сроки сдачи",5
79271788627ася,2022-04-23T19:08:43+03:00,"Здравствуйте, хочу поделится отзывом о застройщике А 101, на примере жилкомплекса Скандинавия, который построил наш застройщик. Жилкомпекс находится недалеко от Коммунарки, на Юго-Западе в Новомосковском АО. Покупали мы квартиру еще на самом старте продаж по...
Достоинства: Достоинства: цены адекватный, строит бизнес класс, долгостроев не замечено
Недостатки: Недостатки: не заметила",5
МарияЛ,2020-01-19T23:01:51+03:00,"Приобрела квартиру в ЖК Испанские кварталы, часть того, что написано в других отзывах имеет место быть, а другую часть не знаю не встречалась. При приемке квартиры были нарекания, застройщик в течении 1 5 месяцев ничего...
Достоинства: Достоинства: Современная планировка дворов, потолки, этажность
Недостатки: Недостатки: Проблема парковок, раздельного мусора",5
StarinaS,2023-06-04T17:09:41+03:00,"Привет! Покупал квартиры в октябре 2021 года. Построили - уже хорошо. Рендеры дома бизнес-класса не соответствуют реальности, но все равно получилось хорошо. Из основного минуса - бардак с получением ключей к домофону и тех. шкафам...
Достоинства: Достоинства: Скорость постройки, цена
Недостатки: Недостатки: Рендеры сильно не соответствуют реальности.",4
Паларалачка,2020-11-05T19:04:29+03:00,"Квартиру в жк Скандинавия покупали для дочери, ей сейчас 17 лет, это вклад в ее будущее. Как там дальше сложится ее жизнь, не знаем, но вся инфраструктура вокруг ЖК есть. Те же самые детские площадки...
Достоинства: Достоинства: инфрастуктура, оптимально по цене и расположению
Недостатки: Недостатки: пока нет",5
