Name,Date,Review,Rating
YFF,2014-08-08T09:09:04+03:00,"Недалеко от нас в поле поставили ограждение и началась стройка. Информационный щит содержал минимум вводных: ""Люберцы 2015"", телефон, метро Некрасовка. Позвонили, узнали - новый район будет, цены от 2,3 млн рублей. В поле. В стадии...
Достоинства: Достоинства: хороший ген. подрядчик, ДДУ, быстрый срок сдачи объекта, квартиры с отделкой, интересные начальные цены, ИКЕА партнер проекта
Недостатки: Недостатки: риски, механизм продажи, запись, резвый рост цен",4
denssan,2019-06-11T23:04:53+03:00,"Покупка жилья довольно сложная штука, во-первых нужно определится покупать готовое или все же купить с котлована или посмотреть уже почти построенные дома. Но как ни крути в Московской области около 10 тысяч обманутых дольщиков и...
Достоинства: Достоинства: экономично
Недостатки: Недостатки: нет",4
Екатерина 010494,2017-03-19T16:12:05+03:00,"Добрый день! Не знаю почему так много отрицательных отзывов о компании ""Самолет Девелопмент"". Хочу поделиться своими впечатлениями. Пока ничего не могу сказать о качестве отделки, т. к. приобрела квартиру в ЖК ""Люберцы - 2017"". Это...
Достоинства: Достоинства: работа сотрудников, в офисе продаж можно увидеть, как будет выглядеть Ваша квартира с отделкой.
Недостатки: Недостатки: пока не выявила",5
Donna Roza,2019-09-15T00:12:09+03:00,"Самолёт девелопмент один из застройщиков в Люберцах на мой взгляд строят более-менее приемлемое жильё. Не знаю как на этапах строительства идут продажи, с какими трудностями сталкивается покупатель и какие невыполненные обещания исходят от компании, но...
Достоинства: Достоинства: Нормальные дома, хорошие детские площадки
Недостатки: Недостатки: Нехватка парковочных мест, недостаточное озеленение",4
manwith,2016-04-27T12:42:11+03:00,"Пишу отзыв по покупке квартиры в ЖК Люберцы-2015 у компании Самолет Девелопмент или Самолет Групп. Кратко - такого отвратительного отношения от компании я никогда в жизни не получал. Сильно жалею, что приобрел квартиру в этой...
Достоинства: Достоинства: скрыты глубоко под минусами
Недостатки: Недостатки: описаны в отзыве",1
bonusnuk,2019-06-30T03:18:21+03:00,"Группа Компаний Самолёт основанна в 2012 году. У самих истоков компания внедрялась в социальные программы, где принимались решения проблем обманутых дольщиков, совместно с Правительством Московской области. Социальный проект ""Октябрьский"" показал что компания держит правильный курс...
Достоинства: Достоинства: Сроки, отчётность, выбор.
Недостатки: Недостатки: Все пройдёт хорошо",5
EkaterinaMarf,2020-11-14T14:53:23+03:00,"ЖК ""Остафьево"" от застройщика ""Самолет Девелопмент"" расположен в Новой Москве. Как говорят менеджеры, до МКАДа 11 км по Варшавскому шоссе. Мы выбирали между ЖК ""Алхимово"" Самолет и этим. Все таки выбрали Алхимово, можете почитать, почему...
Достоинства: Достоинства: Московская прописка, живописные места вокруг, обещают метро
Недостатки: Недостатки: Далековато пока до инфраструктуры",4
Аноним2662107,2019-10-05T18:33:09+03:00,"Компания полностью устроила. Не могу сказать ничего отрицательного в ее сторону. Мы с семьёй остались довольны. Рекомендую и надеюсь, что люди по достоинству оценят ее так же как оценили...
Достоинства: Достоинства: - хорошее обслуживание
Недостатки: Недостатки: Просто нет",5
i744061,2019-11-01T08:50:41+03:00,"В компанию я обратился вскоре после того, как пожаловался сотруднику на то, что долго не могу найти подходящее жилье неподалеку или на окраине Москвы, чтобы по цене было приемлемо, но и не совсем развалюха. На...
Достоинства: Достоинства: Есть хорошие варианты квартир
Недостатки: Недостатки: Ждал сотрудника",4
Lacrimosa7002,2022-10-27T09:42:15+03:00,"Хочу рассказть о том, как мы общались с компания ""Самолет Девелопмент"" в Москве. Честно, про этого застройщика мы до недавнего времени вообще ничего не знали. Мы выбирали квартиру в первую очередь и только потом имело...
Достоинства: Достоинства: много объектов строительства, приемлемые цены, варианты с отделкой
Недостатки: Недостатки: совершенно незаинтересованный и равнодушный персонал",4
NastyPro,2018-11-09T14:52:09+03:00,"Итак, начну с того что, живем мы здесь с начала 2016 года, квартиру покупали на этапе строительства за полгода до обещанного срока выдачи ключей, застройщик сроки не нарушал, так как в договоре была не конкретная...
Достоинства: Достоинства: Ухоженная территория, детские площадки, соотношение цена/ качество
Недостатки: Недостатки: Транспортная доступность, экология , один детский сад и школа на весь жк , недоразвитая инфраструктура",4
Zakazchik remont,2019-02-26T21:44:41+03:00,"Наверное, этот застройщик в себе очень уверен, раз не боится оставлять недоделанными некоторые вещи. 1. Во-первых, наша квартира уменьшилась на 0,1 кв. м. На самом деле мне кажется, что квартира меньше более, чем на кв...
Достоинства: Достоинства: Новая квартира в Новой Москве
Недостатки: Недостатки: Все перечисленное в отзыве",3
vovel,2018-12-12T20:41:23+03:00,"Залезли в ипотеку на однушку в Томилино-2018. Молимся что не будет так как в Люберцах и других вонючих районах. Подкупило что до метро Котельники 10 минут езды, т. к. ни одного светофора на 9 километрах...
Достоинства: Достоинства: Шустро
Недостатки: Недостатки: время покажет",4
Paramon1x,2020-02-23T11:42:32+03:00,"Пишу отзыв на основе построенного компанией микрорайона - Самолёт. На районе множество детских садов, 2 современные школы(скоро появится третья). Есть множество небольших продуктовых магазинов, недавно открылся МФЦ. К сожалению, имеется и ряд минусов, а именно...
Достоинства: Достоинства: Современные школы, дет.сады.
Недостатки: Недостатки: Неразвита инфраструктура, неудобство добираться до метро пешком или на общ.транспорте.",3
Anna1192258,2019-12-04T23:29:39+03:00,"Покупали в ЖК Внуково 2016 буквально за месяц до сдачи ЖК после госкомиссии. Сервис при выборе и покупке квартиры в компании Самолет девелопмент был достойным, менеджеры хорошие. Купили с ремонтом, так как делать его самим...
Достоинства: Достоинства: Цена-качество, детские площадки, отделка подъездов
Недостатки: Недостатки: Отделка",4
kirillkalinin,2019-07-15T20:21:18+03:00,"Клиенториентированность у компании проявляется только в момент презентации и заключения сделки, далее ты предоставлен сам себе. Застройщик уже неоднократно сдвигал сроки передачи апартаментов. 24 июня была вывешена дополнительная информация о сроках передачи которая так же...
Достоинства: Достоинства: Цена, лес/река рядом
Недостатки: Недостатки: Задерживают сдачу, не сообщают о сроках",3
julya1,2019-09-30T09:57:23+03:00,"Я снимала квартиру в ЖК ""Гринландия"", напротив ЖК ""Мурино 2017"", который строила компания ""Самолет Девелопмент"" (Россия, Москва), и поэтому каждый день наблюдала из окна за стройкой. Как пчёлки или муравьишки строители трудились, в любую погоду...
Достоинства: Достоинства: Очень быстро строят.Застройщик работает по ДДУ, гражданская ответственность застрахована.
Недостатки: Недостатки: не искала",4
Ося Оськина,2021-08-01T09:38:12+03:00,"Добрый день! Сегодня хотелось бы уделить внимание застройщику Самолет-девелопмент (исходя из опыта проживания и покупки квартир в ЖК Люберцы и ЖК Томилино парк) . * Застройщик стабилен, не было ни одного долгостроя, что не может...
Достоинства: Достоинства: Относительно низкие цены, развитая инфраструктура.
Недостатки: Недостатки: Отделка, не реализуют обещанное, задержка выдачи ключей.",3
Loimila1,2015-09-16T10:38:17+03:00,"Добрый день. Хочется поведать сказку-быль о том, как красна девица квартиру у Самолёт-Девелопмента покупала)) В начале августа 2015 озаботилась я ситуацией в стране и на работе, в результате чего решила подумать о покупке квартиры…. в...
Достоинства: Достоинства: Были, да сплыли в процессе общения с сотрудниками Компании
Недостатки: Недостатки: Стыдно, господа, стыдно работать без элементарного уважения к потенциальным покупателям.",1
smetanskaya123,2021-09-14T13:29:29+03:00,"Приобретали в 2017 году студию в самолете во Внуково. По ДДУ сдали вовремя, претензий по качеству не было. Однако, школу построили и детский сад только в 2020 году, поликлиника отсутствует. Площадку возле озера благоустроили, хоть...
Достоинства: Достоинства: Благоустроенные детские площадки
Недостатки: Недостатки: Небезопасный балкон, отсутствие пешеходной доступности",4
Oreshek86,2018-08-27T16:12:03+03:00,"Квартира приобреталась в конце 2015 года без отделки через Абсолют, без отделки. В офисе нам подобрали оптимальный вариант за затрагивающие нас средства с учетом ипотеки. Представитель Сбербанка работал быстро. Что касается стоящего по соседству офиса...
Достоинства: Достоинства: Красивые детские площадки, созданы условия для занятий спортом. Неплохо выполнены подъездные группы
Недостатки: Недостатки: Запах, идущий от заводов, отсутствие нормального транспортного сообщения, качество дорог",3
alenkadm11,2023-12-20T19:16:38+03:00,"Мы купили евротрешку (по сути двушка, без окна на кухне), но перед покупкой столкнулись вот с такой ситуацией: При выборе квартире нет возможности узнать, что это не квартира, а апартаменты. До ""Самолета"" не знала, что...
Достоинства: Достоинства: Хороший маркетинг, акции, самая комфортная ипотека
Недостатки: Недостатки: Маленькие квартиры, трешки - по сути двушки. Непонятно, где квартира и апартаменты",4
Алиса 880,2024-07-18T21:58:22+03:00,"Помню, когда я искала себе новую квартиру, чтобы уже наконец съехать со съемной, пересмотрела большое множество различных вариантов как на вторичке, так и в новостройках. Я не сразу определилась, долго бегала от одного к другому...
Достоинства: Достоинства: Новые дома, квартиры с готовой отделкой, соответственн ключи сразу, готовая инфраструктура, хорошая экология
Недостатки: Недостатки: Не близко от Москвы",5
Mack Pop,2023-12-15T21:59:53+03:00,"Сотрудничаю с этой компанией на протяжении нескольких лет. Вкладывался в парочку их строительных проектов. И чтобы кто бы там не говорил, застройщик вполне дотягивает до высоких стандартов. Качество строительства и использование современных материалов — важные...
Достоинства: Достоинства: Качество.
Недостатки: Недостатки: Иногда есть задержки в строительстве.",5
Бочарова Я,2024-08-14T13:03:08+03:00,"Я не буду оригинальной, если скажу, что к выбору жилья мы подошли со всей ответственностью. Каждый из нас, кто покупает жилье, рассматривает все преимущества или недостатки. Чтобы снизить риски, мы обратились в агентство недвижимости, где...
Достоинства: Достоинства: Компания имеет многолетний опыт строительства недвижимости
Недостатки: Недостатки: На данный момент не сталкивалась, в дальнейшим не знаю, сказать пока что не могу",5
Арк Дав,2024-02-12T16:33:53+03:00,"Интересуясь рынком недвижимости, обратил внимание на Самолет. Сначала сомневался, разное пишут об этой компании. Но решил прокатиться загород и просто посмотреть на понравившийся строящийся ЖК Видное. Местность хорошую застройщик выбрал. Спокойный район, вдали от городской...
Достоинства: Достоинства: Застройщик выбрал хорошую местность под ЖК, строится быстро, исходя из увиденного, используют качественные материалы.
Недостатки: Недостатки: Как таковых пока нет.",5
Дима Комиссар,2024-01-19T16:14:27+03:00,"С моей точки зрения, многие комментарии, которые я здесь прочитал, неоправданные. Поэтому и решил написать. В данный момент являюсь владельцем двух квартир от Самолета. В одной живут родители, во второй мы с женой. Жилье было...
Достоинства: Достоинства: Современные дома с удобствами, комфортное жилье, качество отделки, хорошая стоимость за кв.м.
Недостатки: Недостатки: Они есть у всех застройщиков, но у этого минимум.",5
Сафа Ф,2024-01-15T16:30:09+03:00,"Пишу как есть, может, кому-то пригодится. Отдали предпочтение именно Самолету, потому что в свое время имели негативный опыт покупки квартиры у другого застройщика. Там все сразу пошло не так, начиная от посещения ОП и заканчивая...
Достоинства: Достоинства: Проверенная надежная компания, своевременная сдача жилья, качественная отделка.
Недостатки: Недостатки: Очереди в ОП, долго вывозят строительный мусор",5
Лиза 44,2024-08-12T21:20:09+03:00,"Решили присмотреться к новому ЖК Новое Видное от компании Самолет и съездили на разведку. Понравилось, что комплекс находится рядом с Видновским лесопарком и музеем-заповедником Горки Ленинские. Для нас это большой плюс, так как любим гулять...
Достоинства: Достоинства: Квартиры с отделкой и сантехникой, обещают школы, детские сады, поликлинику
Недостатки: Недостатки: Не самая удобная транспортная доступность (нет метро, пробки), квартиры еще строятся, сдача не раньше 2025 год",5
Васйа Комарова,2024-02-15T20:23:14+03:00,"Проект заинтересовал давно. Сначала катались посмотреть на него, как идет строительство. Позже посетили отдел продаж застройщика, чтобы подробней обо всем узнать. Если смотреть объективно на этот жилой комплекс, расположение приемлемое. Полукилометровая близость к МКАД, до...
Достоинства: Достоинства: Близость к центру Москвы, экология, будущая своя инфраструктура, придомовой и домовое благоустройство, жилье с отделкой.
Недостатки: Недостатки: пока не развита внутренняя инфраструктура, невозможна прописка",5
Fom Farid,2024-05-20T19:01:42+03:00,"Покупка квартиры - серьезное дело. Здесь главное быть уверенным, что вложенные деньги себя оправдают. Поэтому я достаточно долго присматривался к этому застройщику. Был у знакомых в комплексе «Спутник» и «Пригородное лесное». Каждый из них по-своему...
Достоинства: Достоинства: Интересные проекты, удобное жилье, в новостройках хорошее благоустройство.
Недостатки: Недостатки: На данный момент не вижу недостатков в застройщике и его ЖК, по крайней мере, в тех, в которых побывал",5
Biboleva,2024-04-15T19:49:32+03:00,"В своё время приобрела жилье в ЖК ""Спутник"" от Группы Самолета. Опыт оказался наилучшим во всех аспектах. При получении ключей квартира приятно удивила качеством отделки, а ЖК своим благоустройством. В целом, все обещанное было сделано:...
Достоинства: Достоинства: Цены, качество жилья, ответственный подход к своим обязательствам.
Недостатки: Недостатки: нет претензий",5
Егор Конов,2024-03-13T22:36:39+03:00,"Лично мой выбор в пользу Самолета был продуманным и основанным на тщательном анализе рынка недвижимости. Столкнувшись с необходимостью приобретения жилья, я обратил внимание на эту компанию, исходя из ее репутации и опыта в сфере строительства...
Достоинства: Достоинства: надежность, качество, стоимость жилья.
Недостатки: Недостатки: идеального в мире ничего нет, но в моем случае недостатков не обнаружил.",5
Голубев Ал,2023-12-06T14:42:30+03:00,"Пару лет назад имел первый опыт общения с этим застройщик. Купил квартиру в их жилом комплексе, в котором сейчас и живу. Помню, на то время процесс строительства шел довольно оперативно. По итогу полностью в сроки...
Достоинства: Достоинства: Надежность, хорошая репутация застройщика.
Недостатки: Недостатки: В прошлом не было, в будущем – посмотрим.",5
DeminDemin,2024-07-23T19:09:24+03:00,"Я к выбору квартиры для будущей семьи подходил осознанно. С женой объездили несколько жк, нам было важно, чтобы хотя бы первая очередь домов были сданы, чтобы не переезжать в «пустой» жк. Чтобы магазины и инфраструктура...
Достоинства: Достоинства: Небольшой готовый жк, рядом лес, метро, готовый для жизни район
Недостатки: Недостатки: Слышимость соседей как и везде в многоквартирных домах, за существенный минус не считаю",5
Mitrofan B,2024-04-17T20:56:36+03:00,"Интересный проект. Привлек мое внимание сразу после принятия решения переехать семьей ближе к Москве. В первую очередь, естественно, ориентировался на застройщика. Важно было его надежность. У Самолета с этим всё в порядке. Во-вторых, понравился сам...
Достоинства: Достоинства: Природная среда, в будущем своя инфраструктура, квартира с отделкой и сантехникой, стоимость жилья
Недостатки: Недостатки: Квартал еще строится, ключи будут не раньше, чем через пару лет.",5
Andrei Sid,2023-10-18T22:44:10+03:00,"Брал тут квартиру в 2015 году как сейчас говорят в поле, да были времена когда студия 29м с двумя окнами стоила 2.4 млн, но правда на 2 этаже и без балкона и отделки. Сейчас на...
Достоинства: Достоинства: Их много
Недостатки: Недостатки: За такую цену их просто нету",4
Wksndjsn,2023-06-03T12:45:50+03:00,"Спасибо большое за такой хороший предмет!! Все отлично работает, никаких поломок или проблем нет !! Буду ещё заказывать у вас...
Достоинства: Достоинства: Все отлично работает , никаких проблем нет
Недостатки: Недостатки: Долгая доставка",5
yris144,2018-01-18T16:58:46+03:00,"Я являюсь дольщиком Самолет девелопмент, Люберцы 2017. Недавно получила СМС уведомление об окончании строительства. Хочу поделиться впечатлениями о данном застройщике. В сети много отзывов в основном негативные. Но пока дома достраивают и сдают. Люди жалуются...
Достоинства: Достоинства: по тексту
Недостатки: Недостатки: по тексту",1
Нефёдов Корн,2024-03-19T23:45:29+03:00,"Компания стабильная, с хорошим рейтингом. По качеству жилье неплохое сдают. Коллега живет полтора года уже в ЖК Большое Путилково, всем доволен. И важно, что у застройщика нет недостроенных объектов. Все закрывают. Не всегда, конечно, вовремя...
Достоинства: Достоинства: Недорогое и качественное жилье, тихий и экологически чистый район.
Недостатки: Недостатки: Бывают задержки с выдачей ключей.",5
vngolll,2022-12-16T12:51:58+03:00,"Покупали у самолета несколько объектов. Покупками и взаимодействием с менеджерами остались довольны. Хорошая программа лояльности. Могу помочь с оформлением дополнительной скидки в 1% при покупке недвижимости - квартиры или апартаментов или машино-мест (например, при стоимости...
Достоинства: Достоинства: Хорошее отношение к клиенту
Недостатки: Недостатки: Существенных минусов не обнаружил.",5
АлексейРоманович,2017-10-14T19:03:04+03:00,"Итак, речь пойдет о покупке жилого помещения в ЖК ""Пригород Лесное"" (МО, Ленинский район, д. Мисайлово. 1-я очередь). Застройщик ""Самолёт девелопмент"", ООО ""Мегагород"" Ну, собственно, ОСНОВНОЙ (далеко не весь) негатив сложился из 2х составляющих: 1...
Достоинства: Достоинства: Умеющие продавать продавцы
Недостатки: Недостатки: транспорт , инфраструктура, мелкие дополнительные услуги , шум от самолётов.",1
Ewgdem,2018-04-07T00:48:04+03:00,"Купил квартиру в 2015 году. Домов было мало, заселены процентов на 10, дороги были не разбитые. Покупал осенью и все казалось поначалу неплохо, тем более мне пели про скорые развязки и метро. Два года выплачивал...
Достоинства: Достоинства: Ни одного
Недостатки: Недостатки: Дороги, вонь, пробки, контингент, парковки, маршрутки.",1
Maksim ssss,2025-03-29T18:34:21+03:00,"Недавно стали обладателями квартиры. Выбрали этот комплекс из-за близости к воде — в пяти минутах ходьбы городской пруд с обустроенным пляжем и лодочной станцией. Я заядлый рыбак, так что уже предвкушаю выходные на берегу с...
Достоинства: Достоинства: Рыбалка, спорт, школа
Недостатки: Недостатки: Нет",5
Глушак Елена,2024-01-26T09:25:49+03:00,"Это просто издательство над людьми, мало того, что задержка большая, так Самолет не считает нужным информмровать заранее, творят что хотят. Должны были получить по ДДУ не позднее 30.09.2023, срок перенесли на 31.12.2023. Ключей до сих...
Достоинства: Достоинства: Нет
Недостатки: Недостатки: Большие задержки, не информирование о сроках, ужасное отношение",1
