Name,Date,Review,Rating
Дмитрий,23.12.2024 14:02,"Даже немного похвалю этого застроя. Узнал недавно, что оказывается они достраивали один жк, который рядом с нами находится, а я и не знал. Не оставили людей без квартир, достроили за другим застроем. Что сказать, да ничего, и так мне кажется все понятно.",5
Артем,20.12.2024 16:49,"В середине декабря брали у Гранель квартиру. Дали ооочень хорошую скидку, собственно почему и взяли у них. Другие застройщики тоже давали скидки, но не такие хорошие, как в Гранель для нас сделали.",5
Сергей,28.11.2024 16:48,"Взяли от Гранель квартиру. Пока ни разу не пожалел, что купили в Москвичке жилье. ЖК вполне себе нормальный, своя школа, паркинг. рядом станция метро. Бонусом идет московская прописка)))",5
Вадим,27.11.2024 13:30,"Много про этого застройщика не знаю. Но если судить по ценам, то вот апарты в его комплексе - самые выгодные по цене. Ну по крайней мере рядом по стоимости ничего подобного нет.",5
Михаил,26.11.2024 16:03,"Нам дом в Ильинойсе сдали раньше срока. Уже люди ключи получают, нашей квартиры пока в графике нет, но думаю уже скоро. Ждем.",5
Егор,11.10.2024 13:49,"Давно на рынке, работают по Москве и области, объектов сданных много. Свое дело знают, стройку ведут активно. Я думаю, Гранель можно доверять.",5
Мира,08.10.2024 16:23,"Вот и мы дождались, наш дом в высоких Жаворонках ввели в экплуатацию , так что в скором времени ждем что пригласят за ключами. Муж уже начал бригаду подыскивать для ремонта.",5
Макс,02.10.2024 05:07,"Не ведитесь на фейки и накрутку отзывов!!
Наблюдаю за строительством ГРАНЕЛЬ и их ЖК, это просто убого и не стоит не гроша!
Застройщик- обманщик, не выполняются обязательства по инфраструктуре, дома построены отвратительно, УК (отвратительно работает) и их провайдер монополисты, дышать нечем. Даже минимум не делают.
При приемке квартиры выдают не подписанный акт со стороны застройщика, ТОЛЬКО через месяц выдадут акт. Для того,чтобы не поднимали шум покупатели - предлагают бесплатное оформление квартиры, также через месяц документы на оформление будут переданы. Навязывают УК с огромными тарифами за обслуживание и не нужными функциями, за которые будут платить собственники. Корпус был сдан в феврале, ключи выдавали - в июне. Перенос сроков был из-за благоустройства, по факту Благоустройства НЕТ. Трава растет, никто не скашивает, 2 дерева посадили. Приглашение на приемку квартиру заранее не согласовывают, Вас перед фактом поставят в какой день и время приехать. По организационным вопросам - худшая компания!",1
Зинаида,23.09.2024 15:57,"Теперь полегче будет нашей семье, у нас в жк открыли школу. У нас двое детей, возили с мужем по очереди их на учебу. Сейчас такой надобности не будет, повторюсь, нам открыли школу, дети смогут самостоятельно туда ходить.",5
Сергей,02.09.2024 11:20,"Присматриваюсь к апартаментам в Хай вей. локация просто супер, сдача скоро - в конце ггода. Стоимость посильная для меня, даже кредит брать не придется по моим расчетам. Наверное все же возьму.",5
Ярослав,19.09.2024 10:25,"У Хай Вей отличная локация в плане близости к метро, ближе и не придумаешь..",
Игнат,29.08.2024 01:16,"Искал новую квартиру я прилично, наверное месяца три если не больше. Нужен был конкретный район, был определен четкий бюджет. Хотел двушку. Ездил, смотрел, сравнивал. Только дойдя в своем списке до май приорити Басманный понял, что вот оно, то, что мне нужно. Нормальный ценник, хорошая планировка и нужный мне район. На нем закончил свои поиски, купил квартиру в этом жк.",5
Роман,17.07.2024 22:25,"Вот уже 7 месяцев ждём когда отдадут квартиру в Тринити 2, каждый месяц обещают передать до конца месяца. Как только ввели мараторий на финансовые претензии к застройщику, Гранель вообще перестал торопиться что-либо делать. Возможно все застройщики такие, но лично меня данный застройщик очень разочаровал. Качество построенного пока лично оценить не получилось. По опыту тех кто квартиры получил, в случае расхождения площади квартир с проектной Гранель ничего не возвращает. Можно сказать с уверенностью, что гранель это ненадежный застройщик, подумайте ещё несколько раз, прежде чем с ними иметь дело.",2
Вадим,01.07.2024 17:57,"Скоро сдадут мой дом в Ильинойсе. Очень жду, подустал у родителей жить. Думаю, по срокам сдачи все будет в порядке, Гранель обычно не опаздывают со сдачей.",5
Семен,29.08.2024 00:51,"Нам сдали в срок все, я под это дело брал отпуск, чтобы ключи получить, бригаду по первости контролировать по ремонту и тд.",
Олег,01.07.2024 11:11,"Рассматриваю к покупке квартиру в 8 корпусе ЖК Пехра. Этот корпус недавно вывели в продажу, соответственно и цены тут пониже. Да, подождать сдачи придется, но в моем случае стоимость приоритетнее.",5
Николай,20.08.2024 23:34,Ну на старте продаж всегда стоимость выгоднее.,
Vera,02.09.2024 10:44,"Мы тоже хотим в Пехре посмотреть квартиры. Правда не поняла, есть ли варианты с отделкой, нам бы такую хотелось.",
Маша,21.05.2024 00:14,"Мне менеджер отдела продаж очень помог с документами на ипотеку, когда я решила покупать квартиру. Сориентировал по банкам, по документам. получилось все быстро сделать и отправить.",5
Максим,17.05.2024 13:57,"Пока думаем, но скорее всего брать будем апарты в Хай Вей от Гранель. В этой локации это лучшее предложение по цене, причем благоустройство территории будет шикарное. Для жителей будет даже свой бассейн. Ну и остальное, как полагается - паркинг, закрытая территория, все дела.",5
Антон,20.06.2024 22:54,Локация вообще топ. До метро меньше минуты идти.Чтоб я так жил)),
