Name,Date,Review,Stars
Стас,13.12.2016 10:08,"Всё в порядке, получили свою квартиру ещё весной. Сделали ремонт, въехали, живём. Когда выбирали, не последнюю роль сыграла информация, что у застройщика всё сдавалось вовремя - так получилось и в нашем случае.",5
оператор,20.03.2023 18:34,"Из-за негативного отношения к сотрудникам, со стороны руководителя Захаренковой Т. Работать не выносимо. Она сама мало, что понимает в программах, зато орать и разговаривать с подчиненными как злая ведьма она может. С таким руководством далеко не пойдешь, она всеми способами не даст повысится в карьере или уйти в другой отдел. Мерзкая женщина, которая всех обсуждает за спиной. За 1,5 года работы, ни одной похвалы/мотивации от нее к сотрудникам, только один негатив. Из зп оклад и плюс наличкой бонусы, которые она же их выдаёт и есть вероятность, что какую то часть берет себе из премий сотрудников. Старшие менеджеры (её верные собачки, которые держатся еле еле с ней и они тоже увольняются, подальше от нее). НЕ РЕКОМЕНДУЮ ТРАТИТЬ НА ЭТО ВРЕМЯ! Пока там Зах.Т. Были случаи, когда задерживали зарплату, но максимум на один-два дня. При увольнении летом, меня пригласили на беседу с кадровым сотрудником, при разговоре она в курсе почему такая текучка и из за кого. Берегите свои нервы и время.
Читать полностью",
Геннадий,12.04.2021 19:02,"Группа компаний - сборище контор халтурщиков, очень разочарован, впредь боже упаси с кем-нибудь из них иметь дело. Сдали дома с кучей недоделок, постоянно что-нибудь не слава богу, то течёт, то продувает, то отваливается. По ночам прочищают канализацию, дом ещё даже не заселён, а после заселения она работать будет? Окна в квартирах установлены так, что по швам дует. Мастера на полном серьёзе, предлагают при отделке выставить окна полностью и переустановить, заново запенив, при этом забывая, что это уже оплаченная работа. В квартирах ломают двери, воруют счётчики. Никому нет дела, «Гранель-ЖКХ» ничего делать не хочет, их задача, как и везде, извлечение дополнительной прибыли. На улице ливневая канализация не работает, обещанных тротуаров нет. По середине дороги после осадков океан, который надо преодолевать по бордюру, имея навыки канатоходца! С сумками пройти шансов как вы понимаете вообще нет. Справа от дороги явно должна быть проведена рекультивация почвы, с оформлением перепада высот. Вместо этого торчат корни деревьев и с территории более высокого соседнего ТЦ ""Три кита"" природные силы в виде хаотических стоков формируют зарождающиеся овраги, с выносом осадочных пород на проезжую часть, в результате чего ливнёвка очевидно и не работает. По проекту данные работы, очевидно, осмечены, но не реализованы. Напрашивается проведение прокурорской проверки. Эти работы потом лягут на плечи жильцов ««Инновации»» через УК «Гранель-ЖКХ»? На плане застройки в буклетах компании был изображён сквер, теперь это место, единственно обещанное доступное для прогулки, застраивают. Якобы рядом парки Сколково... Но там раньше были заборы и пропускной режим, и хоть пока этого нет, никто не гарантирует, что дальше не будет, заборы вокруг Сколково никто не убирает, да и верить после такого обмана нельзя. Кто поставил ливневые решётки выше дорожного полотна, кто это принимал подписывал? Сколько будет стоить переделка и за чей счёт? Продолжение следует. Продолжаю, хорошие мои. Начало на отзыве главного офиса на Тверской. Менеджеры компании при продаже обещали, что рядом будет платформа МЦД, но туда нет прямой дороги, кругом заборы. На сайте компании врут и эксперты, и другие должностные лица, что якобы данный проект полностью сбалансирован и гармонизирован. ЖК заявлен как жильё комфорт класса, но никакого комфорта не ощущается и ещё долгие годы, а может быть и вообще никогда не предвидится. Обещанного 100 лет ждут. Нет ничего более постоянного, чем временное положение дел. По всем фактам есть фото, кругом грязь и бардак, и наша родная ненавязчивая «забота» о гражданах, или преднамеренное издевательство? Сравните хотя бы обещанный старый Генплан и сегодняшний! Это же нарушение закона о правах потребителей! Можете приехать увидеть всё своими глазами! Чем проверять отзыв, лучше бы проверили объект по месту, дорогие мои. Предлагаю провести телепередачу на месте, с привлечением общественного мнения. На сайте ЖК-Инновации админ отзыв удаляет. Очень удачная локация для инвестирования, да и для жизни тоже. При хорошем хозяине может быть, но при таком. Надежный застройщик и хороший темп строительства. Как оказалось не надёжный! Дома растут, люди трудятся сутками – потому что была очень плохо организована работа, потому аврал и нарушение графиков, как и всегда и везде, ничего нового. Прекрасный район будущего с в30 этажей с лишним. Этажей 22, кто-то писал под заказ что ли? Даже этажей не узнали сколько… Рядом парки прогулочные и велосипедные дорожки. Обещанный парк застраивается. У Сколковских парков есть свой хозяин с охраной и крепким забором.
Читать полностью",1
Вадим,23.09.2024 23:01,"Благодаря Гранель мои родители не потеряли квартиру. ВЫсокие жаворонки обещали стать долгостроем благодаря нерадивому застройщику. И только Гранель взялись его достроить, люди не остались без крыши над головой, в том числе и мои родители. За это им реально респект!",5
отзыв,02.10.2024 05:11,вранье убогое для накрутки рейтинга,
Светлана,18.04.2024 12:34,"Итак, если коротко это УЖАС. Купили квартиру в ЖК ПРОФИТ в 2020г., были в офисе на Чеховской. Офис закрыли через год уже там. Теперь их центральный офис на Дмитровской в жк Тринити. Ужасное отношение к ""уже купившим"" квартиры в мини офисах на объекте от менеджеров за компьютерами. В частности один, Виктор, особо ""отличился"" этим. На протяжении 2х месяцев всячески препятствовал в подписании акта приема-передачи, отказывался принимать с недостатками, говорил, что ""у него нет права оформлять акт"" и направлял в другой офис, где тоже не знали, что делать. В итоге мы подписали акт спустя 2 месяца с другим менеджером, того же офиса где работал Виктор, но его чудесным образом, ""забыли "" направить на подписание... Я звоню в офис а мне предлагают приехать и подписать ""еще раз"", либо ждать пока подпишут прошлый еще +2 недели(!!!). Внешний вид данного менеджера отдельно заслуживает внимания, в частности, обладателю волос ""до плеч"", неплохо бы их хоть иногда мыть, как и начать уже следить за своей собственной гигиеной. Крайне неприятно находится рядом даже на удалении благодаря комп. столу. Не знаю даже как такое ""характеризовать""... кадровый голод ли это либо кумовство. Но, увы, ""лицо ""Град"" (в прошлом Гранель) выглядит ""так"". По самой квартире-чего там только не было... Трубы текли, батареи текли, МОП все разбиты, на этажах запах испражнений, отопления в подъезде зимой не было. Кнопки лифтов разбиты, лифты работают с перебоями, вытяжка не работает ВООБЩЕ.
Дом достроен
Отношение к клиентам, состояние сдаваемых квартир, состояние МОП
Читать полностью",1
Оксана,20.03.2024 12:04,"Самый отвратительный застройщик. Приобретала жилье , два машиноместа и кладовку в ЖК Профи. Сдача объекта должна быть 30.09.2023 года. До сиз пор ничего не сдали. Ремонт ужасный (брала жилье с отделкой). На звонки не отвечают, ничего не исправляют Мало того, ещё теперь объявили себя банкротами.....То есть теперь неустойку и штрафы с них за просрочку сроков и за некачественный ремонт не выбьешь. Не приобретайте жилье у этих жуликов.
Их нет
Самый отвратительный застройщик. Приобретала жилье , два машиноместа и кладовку в ЖК Профи. Сдача объекта должна быть 30.09.2023 года. До сиз пор ничего не сдали. Ремонт ужасный (брала жилье с отделкой). На звонки не отвечают, ничего не исправляют Мало того, ещё теперь объявили себя банкротами.....То есть теперь неустойку и штрафы с них за просрочку сроков и за некачественный ремонт не выбьешь. Не приобретайте жилье у этих жуликов.
Читать полностью",1
Тимур,07.12.2023 23:37,"Купили квартиру в ЖК «Профит» и в полном шоке от отношения, качества отделки, самого дома, состояния помещения и обслуживания. Срок сдачи дома стоял на сентябрь - в итоге просрочили на 2 месяца. Ключи начали выдавать лишь в ноябре при том, что дом совершенно не готов. Отделка кривая, окна продуваются, ламинат выложен так, что скрипит пол. Все делалось на скорую руку. В квартире 15 градусов и исправлять ситуацию при постоянных жалобах не торопятся. Управляющую компанию застать на месте - колоссальный труд. Уходят с рабочего места раньше времени. Сегодня, 07.12, из стены начала течь вода. На вызов прибыл только лифтер - больше никого на месте не было. По итогу отключили отопление и воду. К проживанию квартира не пригодна спустя месяц после сдачи. Выводы делайте сами.
Никаких
Весь ЖК - один сплошной минус
Читать полностью",1
Лариса,25.03.2024 23:26,"Застройщик, к сожалению не справляется с тем обьемом, который планирует, купили апартаменты в ЖК HighWay, ничего не строится уже год. При этом Гранель точно также задержал ЖК Профит и Тринити тоже . И сейчас этот застройщик выиграл два тендера на огромные проекты!
Достоинства: Раньше строили в срок и выполняли свои обязательства
Задержка сроков сдачи на многих объектах, а сейчас еще мораторий ввели, чтобы застройщик не отвечал за сроки!
Читать полностью",0
Вадим,07.11.2023 21:50,"Купил квартиру в жк Профит, долго смотрел на данный проект так как очень интересное расположение ( в двух шагах от работы). К сожалению расположение это единственный плюс у данного проекта. Отношение компании к дольщикам примерно такое (до получения денек с эскроу милые и пушистые, после списания - «это ваши проблемы сами купили». Жк Профит по дду должны были передать до 30.09.2023 На данный момент квартиры сдают только без отделки ( сейчас 07.11.2023) . На горячей линии кормят завтраками. В квартирах без отделки менеджеры при приемке предлагают, внимание, не платить коммуналку до конца месяца за отказ от неустойки. Кстати не включая электричество, как вам? Интересно что будут предлагать людям которые начнут получать ключи в конце ноября, месяц бесплатной воды?) около 80 % квартир с битыми либо отсутствующими окнами. В каждой второй квартире без отделки течет отопление, боюсь представить что будет в квартирах с отделкой. Явно придется страховать квартиру от потопов. МОПы в ужасном состоянии. На горячей линии каждый оператор хамит, требование неустойки называет «преференцией». Ни одному менеджеру по продажам в гранель верить нельзя. При покупке обещали закладную под кондиционер. В итоге их нет, на горячей линии можно услышать «ну вы сами поверили менеджеру». Крайне не рекомендую связываться с Гранелем.
Местоположение проектов
Обман менеджеров Непрофессиональные строители Аварийные новостройки Срывы сроков выдачи ключей Отсутствие человеческого отношения к дольщикам
Читать полностью",0
