Name,Date,Review,Rating
Артём Фаянсов,2025-01-31,"Очень назойливо звонили с разных номеров и предлагали купить квартиры. по несколько раз на дню. Не советую даже обращаться в сторону такого застройщика. Не вздумайте звонить им, а то потом по ночам будете выслушивать как они хотят продать вам квартиру.",1
Ник,2024-12-24,"Ситуация в экономике сейчас не особо стабильная, но Гранель остаются на плаву, сдают и сдают новые дома. Молодцы.",5
Виктор,2024-12-23,"Знаю, что у них как раз самые выгодные по цене апарты в районе метро Волгоградский проспект. Сам там сейчас ищу варианты по жилью для себя, смотрел в том числе и их комплекс. Ценник адекватный.",5
Александра,2024-12-21,"Категорически не рекомендую! На протяжении месяца, задалбливают звонками, не компетентный кол-цент. По 3 раза в день звонят, их не волнует купили вы там квартиру или нет. ПРИНЦИПИАЛЬНО не буду рассматривать больше никогда этого застройщика. Еще вопрос откуда у них номер телефона, значит скачают не легально базы контактов. Это означает, что они не стоят того, за что себя выдают. НЕ РЕКОМЕНДУЮ!",1
Юрий,2024-12-03,"Смотрели разные варианты. Пока остановились на Пехре. Застройщик нормальный. у нас строит 2 или 3 жк по городу, короче на слуху. по срокам вроде бы тоже у него все ок.",5
Пользователь,2024-11-27,"статистику по застройщику не веду, зачем. Мне достаточно того, что мой дом сдали точно в срок они, без задержек и тд. По качеству тоже все вполне нормально, второй год живем, квартира теплая, так что зимы нам не страшны))",5
Антон,2024-10-15,"Строит в основном комфорт, но как понял, сейчас еще и бизнес-класс начали осваивать. Могу сказать только за первое, тк мы квартиру купили скажем так в обычном жк, не бизнес-класс. Строят нормально, для этого сегмента рынка вполне сносно. Квартира у нас теплая, это главное. По слышимости - иногда слышим соседей, но они у нас очень громкие, если честно, разговаривают так, манера такая)))",5
Дмитрий,2024-10-11,"Мы в Аникеевском забронировали квартиру в 13ом доме. Давно поглядывали на новые квартиры, но либо что-то не устраивало по планировке той же, либо цена. А тут цены поприятнее, на этом этапе всегда так. Единственное, придется подождать сдачи, конечно. Но мы подождем.",5
Виктор,2024-10-01,"Решил оставить отзыв про отделку от Гранель, может будет полезным. Просто когда мы думали и решали, брать или нет брать отделку под ключ в квартире, информации было не так много. Скажу так, брать стоит. Ремонт хороший, я честно ожидал меньшего. Сделали все на совесть, хорошо, я лично очень доволен. И не жалею, что взяли отделку от застройщика.",5
Олег,2024-09-27,"Решил оставить отзыв про отделку от Гранель, может будет полезным. Просто когда мы думали и решали, брать или нет брать отделку под ключ в квартире, информации было не так много. Скажу так, брать стоит. Ремонт хороший, я честно ожидал меньшего. Сделали все на совесть, хорошо, я лично очень доволен. И не жалею, что взяли отделку от застройщика.",5
Маргарита,2024-03-11,"Не новые русские, но живем, можно сказать, в элитном районе. В ЖК Новая рига переехали в 2022 году (сдали наш дом в 2021, но мы делали ремонт, квартиру покупали без отделки). Недалеко от дома много лесов и заповедников, наш любимый - Лохин заповедник. Туда ездим чаще, чем в Ромашковый лес. Хотя этой зимой в лес гоняли периодически, что-то зацепило на лыжах кататься. Квартиры теплые, ни дать-ни взять. Я вообще люблю попрохладнее чтобы было, но для детей самое то. К слову о детях. Сад и школа в жк уже построены, мы пока только в садик ходим, нам в школу рано. Застройщик обещает поликлинику, вот ее очень ждем.",5
Артем,2023-11-01,"Решил инвестировать в недвижимость пару лет назад, долго выбирал и взял от застройщика Гранель. Вызывает доверие, т.к. на рынке уже много лет, большое количество ЖК сдали, по отзывам качество стройки неплохое. Цена норм. Понравилось, что менеджер был заинтересован в сделке, помог с документами, подсказал по регистрации как лучше всё сделать. В этом году получил ключи, остался доволен",5
Мария,2023-10-30,"Надежный и опытный застройщик, в наше время это важно. Мы первую квартиру у Гранель купили ещё в 2013 г, планировка понравилась и стоимость рыночная была, не завышена. Когда решили поменять на квартиру побольше, в первую очередь начали смотреть варианты у этого же застройщика, потому что опыт взаимодействия с ним положительный. С оформлением помогают, скидки бывают, менеджеры клиентоориентированные, помогают подобрать подходящий вариант.",5
Пользователь,2023-09-20,"Я не так давно приобрел собственное жилье. Выбрал жилой комплекс от Гранель. Мне по деньгам их вариант как раз подходил и месторасположение жк устраивало. Документы для меня подготовили быстро, без лишней волокиты. На все вопросы менеджеры отвечали вежливо. Переехал я довольно быстро и уже познакомился с новыми соседями.",5
Пользователь,2023-09-16,"Взяли квартиру в ЖК от застройщика Гранель. Перед покупкой много общались с менеджером и рассматривали разные варианты. Нам удалось найти именно то, что хотели. ЖК большой и с развитой инфраструктурой, для деток все имеется, нам это было важно. Дворы без машин, есть подземная парковка. Не пожалели нисколько, что доверились этому застройщику. Вложение оправдало себя!",5
Платон,2023-08-14,"Недавно переехали в жк от Гранель и впечатления только положительные, нравилось, что во время строительства всегда была информация, на какой стадии и этапе всё находится. Также, сам застройщик ответственный, проект оказался таким же, каким нам его представляли. С оформлением ипотеки проблем не было, менеджеры приятные.",5
Кира,2023-08-07,"Не первый раз покупали квартиру от гк Гранель, и во второй раз также остались довольны результатом. Квартиры отличные, качество постройки высокое. Если говорить про инфраструктуру, то проблем нету, для жизни всё есть. Жк расположен удобно, да и видно, что сделано всё для людей и их комфорта. Покупали квартиры для инвестиций, ни разу не пожалели.",5
Константин,2023-07-30,"Купили квартиру в ЖК Пехра от Гранель. Этот жк нас полностью устроил по расположению и планировке квартиры. Ну и цена как раз вписывалась в наш бюджет. Выбрали гранель исходя из отзывов знакомых и были в гостях у друзей, которые тоже живут в их жк. В принципе не прогадали. К застройщику претензий нет. Были мелкие косяки при приемке, но в целом все хорошо. И застройщик все исправил по гарантии",5
Павел,2023-07-29,"Свою первую квартиру купили от ГК Гранель. Честно сказать, искали мы долго, было много нюансов. Смотрели уже готовые квартиры, либо с близким сроком сдачи, так как хотелось понимать будет ли сдан в срок дом и как обстоят дела с качеством. По ценам сейчас в принципе все не дешево. Но сравнив варианты в одной цене среди нескольких застройщиков, решили, что у Гранель лучше. Плюс сыграло роль, что они уже много лет на рынке. С их домами все в порядке, значит строить умеют и проблем быть не должно. Заселились полгода назад. С квартирой все в порядке. Мы остались довольны",5
