Name,Date,Review,Rating
Psek,2019-04-03T00:03:38+03:00,"Привет всем читателям. Год назад мы с женой покупали квартиру в новостройке в ЖК ""Москвичка"", которую строит Группа компаний ""Гранель"". Рассматривали варианты только новостройки и покупку на этапах строительства, поэтому рассматривали разные варианты Жилых комплексов...
Достоинства: надежность, хороший выбор, удобность сделок
Недостатки: нельзя смотреть цены на сайте надо ехать в офис",5
НатаФ,2017-10-07T09:51:03+03:00,"Пытаясь найти информацию на Отзовике, не обнаружила отзывов об одном из застройщиков Подмосковья - компании Гранель, хотя компания известна в нашем регионе, активно рекламируется, но самое главное: в отличие от других горе-застройщиков - всё-таки реально...
Достоинства: Офис в центре Москвы. Застройщик надёжный, имеет много наград и главное - активно строит. На строящихся объектах стоят краны, снуют рабочие, стройка ""кипит"". Интересные и запоминающиеся названия жилых объектов в Подмосковье.
Недостатки: Растущая, как на дрожжах, стоимость квартиры. Места строительства в Подмосковье - не самые удачные, без ранее имеющейся инфраструктуры и с плохой транспортной доступностью. Рассрочка платежа есть, но квартира при этом становится дороже.",4
natashaisb,2019-01-31T19:22:45+03:00,"Обращались в данную компанию зайстройщик с целью приобритения жилых помещений, с нами работал нормальный менеджер Роман, в принципе его работа нас устроила. В центральном офисе тоже вполне приветливый персонал, по крайней мере мы с хамством...
Достоинства: строят вовремя
Недостатки: метраж балкона, который входит в стоимость и опачивается, вашей собственностью не будет",4
denis18183,2019-09-27T00:36:11+03:00,"Добрый день читатели, хочу вам рассказать о группе компании Гранель, данная компания занимается застройкой монолитных домов, строят хорошие, много этажные и удобные по квадратуре Квартиры, хотели взять трёх комнатную по квадратуре 66,7 квадратов: Данные Квартиры...
Достоинства: Хороший план и квадратура
Недостатки: Компания старается содрать побольше денег с клиентов",1
Elizaveta1706,2018-07-02T16:16:15+03:00,"Уважаемый застройщик, когда с вашей стороны поступать какие-либо комментарии по поводу несоблюдения сроков сдачи ЖК МАЛИНА? 30 июня сегодня, где ключи? Почему Вы никак не комментируете проблемы с отоплением, которые Вы, как оказалось, ГОД уже...
Достоинства: Их нет
Недостатки: Вся компания-сплошной минус",1
hnap,2019-02-08T17:57:26+03:00,"Всем здравствуйте! Хочу поделиться своим печальным опытом, который связан с группой компаний ""Гранель"". В апреле 2018 года, решили с мамой там приобрести квартиру. А точнее в ЖК Малина, который находится в Московской области в рабочем...
Достоинства: Никаких плюсов
Недостатки: Обман, скрытие достоверной информации, грубость сотрудников, срыв сроков сдачи.",1
Аноним5583935,2023-09-12T05:59:07+03:00,"Добрый день люди работают в строительстве 15 лет. Купил квартиру в ЖК Тринити Дмитровская шоссе 73Б. Где и стала по классике управляющей фирмой гранель их дочка ! Ну дальше расскажу что твориться. Они купили все...
Достоинства: Нет
Недостатки: Одни минусы",1
AlxndrVslv,2023-02-12T20:19:29+03:00,"Купили квартиру в новостройке у этого ""застройщика"" год назад. Дом был сдан тогда же. Прошел год. Дом в аварийном состоянии. Стены в МОП, лифты, двор - все в таком состоянии, как будто прошло лет 30...
Достоинства: Их нет
Недостатки: Жильцы втоптаны в грязь, территория не обслуживается и обманом поделена, МОПы в аварийном состоянии",1
Tatyana yenicher,2024-11-27T13:16:05+03:00,"Возникла проблема с компанией ""Гранель"". Купила квартиру с участием материнского капитала, ""Гранель"" при составлении договора долевого участия не включили в договор информацию об эскроу счёте. Социальный фонд России без этой информации не одобряют материнский капитал...
Достоинства: Пока не знаю
Недостатки: Отдел документооборота работает плохо",1
CergioG,2025-02-07T18:18:07+03:00,"Гранель пробили дно. Покупка квартиры в ЖК Аникеевский самое большое разочарование. Дома сыпятся жильцы в лифт боятся заходить. Гранель скопище дилетантов и обманщиков. УК ВЕК это просто п... Без мата не сказать, лицензию надо отобрать...
Достоинства: Нет плюсов одни минусы сплош везде и по дому и по территории и по УК.
Недостатки: Они везде начиная от качества самых дешевых материалов заканчивая качеством работ и услуг.",1
