Name,Date,Review,Rating,Developer,Website,Sentiment
Лариса,2021-09-16,"Главный минус - очень много мигрантов. С транспортом дела тоже обстоят не лучшим образом. До метро вроде как не очень далеко на автобусе или машине, но в час-пик всегда пробки, пропускной способности дорог не хватает. Также, в комплексе очень высокая плотность населения, соответственно и нагрузка на инфраструктуру. Нет крупных магазинов, гипермаркетов. Плохо чистят от снега. Дороги местами не в лучшем состоянии. Зато недорого по меркам Московского региона. А ещё хорошая экология",5,ПИК,Novostroy-m,-1
Ульяна,2021-08-31,"ЖК радует просторным пешеходным бульваром, где можно кататься на велосипеде. Больничный лист теперь можно получить прямо в жилом комплексе, очень удобно. С поликлиникой супер классно, не надо на больняке по городу колесить",4,ПИК,Novostroy-m,1
Леша,2021-08-25,"Касаемо самого комплекса — здесь есть несколько детских садов, и они мне понравились. Школа тоже имеется, хотя пока только одна. Но она довольно большая и современная. Что касается инфраструктуры, то поблизости есть всё необходимое для комфортной жизни: магазины, аптеки, спортивные залы, парикмахерские и многое другое. Также радует наличие множества детских площадок, где дети могут играть и развиваться. Квартира, которую я приобрёл, находится в отличном состоянии, и мне не пришлось тратить дополнительные средства на ремонт.",5,ПИК,Novostroy-m,1
Алена,2021-02-17,"Микрорайон представляет место с развитой инфраструктурой, просторными дворами, детскими площадками, школами и детскими садами. Близость леса - большой плюс. Жизнь здесь отличается от суеты и перенасыщенности, присущих Москве. Расстояние всего 3 км от столицы. Судя по информации, данный микрорайон в будущем может быть включен в состав Москвы",5,ПИК,Novostroy-m,1
Мария,2024-12-22,"Квартиру приняли хоть и с замечаниями, но за то, что нам их почти сразу устранили, звезду снимать не буду. На замену ламината в спальне, мастера до нас дошли через неделю и быстренько все сделали. В остальном претензий не имеем. Квартира сама по себе хорошая, комфортная. Соседей не слышим, окна не продуваются, отопление шпарит как надо.",5,ПИК,Forum-zhk,1
Виталий,2024-12-18,"Пока все устраивает, по квартире замечаний нет. Транспортная доступность в Перовском 2 хорошая - рядом ходят автобусы и маршрутки + если кому принципиально наличие метро, до Нижегородской пешком минут за 10 можно дойти. Своя коммерция в жк есть. Плюсом к этому в 2025 году рядом достроят школу и детский сад.",5,ПИК,Forum-zhk,1
Валентина,2024-12-13,"Отличное обслуживание, менеджеры отвечают быстро и всегда готовы помочь, если что-то не ясно",5,ПИК,Forum-zhk,1
Денис,2024-12-06,"Купил кладовое помещение в ЖК Вангарден. Сделака оформлена весной, в договоре дата - конец августа. По словам менеджеров отделка - ровные стены и пол.
Ключи получил 6 декабря (3 месяца ожиданий от конечной даты в договоре)! При этом кладовкой пользовался застройщик (хранил там свой инструмент).
Стены - покрашенные блоки без следов штукатурки/шпаклевки.
Пол - покрашенный бетон, который перед покраской поленились подмести (или подмели к стенам). Все в буграх.
Ручка на двери сломана, замок явно по длине больше, чем планировался для этой двери (на других дверях цилиндр не торчит).
Все эти 3 месяца кормили завтраками, что проводят отделку, делают клининг.
Из плюсов: ключи таки передали и они подходят к кладовке (но магнитный ключ на вход в ЖК не работает).",2,ПИК,Forum-zhk,-1
Татьяна,2024-08-16,"По соседству с жк дмитровский парк есть два парка, один прям граничит с жк, а Ангарские пруды чуть подальше, но не критично.",5,ПИК,Forum-zhk,0
Вика,2024-07-22,"Смотрим сейчас новострои в районе Люблино. Изначально думали взять вторичку. Но посчитали, сколько времени и денег уйдет чтобы вывезти хлам от старых хозяев и сделать свежий ремонт и решили, что проще взять новую квартиру. Поискали жк в округе, съездили на экскурсию в Люблинский парк. Жк пока активно строится, но что уже получается, нам понравилось. Особенно по социалке хорошо продумали, в проекте три школы, семь садиков и даже своя поликлиника.",5,ПИК,Forum-zhk,1
Женя,2024-06-05,"Относительно нынешних цен и ипотечных условий, можно сказать, что мы удачно купили квартиру.
Покупали квартиру в 2020 году. Тогда уже был скачок цен из-за короны, но еще не такой сильный, как сейчас. И процент на ипотечный кредит ощутимо ниже был, к тому же у нас получилось взять квартиру от застройщика по семейной ипотеке. Даже не знаю, есть ли сейчас такое предложение.
На выбор во многом повлияло расположение комплекса. В идеале хотелось бы жить внутри МКАДа, но нам не по карману, а район Митино для нас оказался оптимальной локацией, т.к. это тоже район Москвы и прописка будет с соответствующими привелегиями и льготами. Понравилось, что Митинский лесопарк рядом, он не заброшен, гулять там можно. И в принципе есть метро, до которого можно дойти пешком. Да, это не быстрая доступность, минут 20 придется идти, но тем не менее. Дорога на машине до МКАДа по Пятницкому ш. занимает минут 15, но это если без пробок, что редко бывает.
Что касается самой квартиры, то она у нас без отделки. Не знаю, может зря, но мы побоялись покупать с отделкой от застройщика. Наслышаны, что с ней обычно бывает больше косяков, а переделывают их не быстро. Правда, может у разных застройщиков по-разному- не знаю. Приняли мы квартиру, конечно, быстро, но вот заселение было долгим, потому что с ремонтом очень много возни.",5,ПИК,Forum-zhk,1
Владимир,2024-05-21,"Сдаю квартиру, качеством отделки от застройщика доволен, арендаторы тоже не жалуются. Для сдачи вариант идеальный. Жалко правда, что услуга меблировки у пика только сейчас стала появляться в некоторых жк. Я бы воспользовался.",5,ПИК,Forum-zhk,1
Кирилл,2024-05-08,"Оказалось, что по цене пика нужно еще поискать приличную квартиру. Честно, хотел квартиру с балконом. Посмотрел несколько вариантов во вторичке, но таам за мои кровные туши свет. Разумнее купить новую квартиру и кладовку, чем выгребать за старыми хозяевами и погрязнуть в ремонте, балкон того не стоит",5,ПИК,Forum-zhk,0
Ольга,2024-04-23,"Нашли классный вариант у ПИКа в ЖК Волоколмаское 24. В отличии от других здесь есть угловое остекление. Может где-то такое есть, но для меня в новинку. Мы взяли двушку, такие окна получились в комнате (был еще вариант на кухне) и я прям кайфую от количества света. Особенно хорошо зимой. Сделала там кабинет для себя. Работать комфортно. Еще и 12 этаж - вид отличный.",5,ПИК,Forum-zhk,1
Марина,2024-04-12,"Постараюсь максимально объективно дать свою оценку застройщику, указав все плюсы и минусы.
Покупала квартиру в период пандемии, тогда только пошли онлайн продажи недвижимости. Я сравнивала многие жк от разных застройщиков. Остановилась на жилом комплексе Восточное Бутово, т.к. везде либо цены были выше, либо не было отделки, что меня тоже не устраивало. Было не по себе покупать квартиру онлайн, но на деле ничего страшного, даже удобно оказалось. Тогда квадрат стоил 98 тыс, сейчас такое даже представить невозможно) На момент моей покупки дом строился, несколько этажей уже было и каждый месяц прибавлялись новые. Замедление пошло, когда начались внутренние работы. На сайте отчет о них особо не выкладывали и поэтому казалось, что все замерло. По итогу выдачу ключей перенесли на две недели. Обидно было, но не критично.
Потом была приемка. Мне не очень понравилось организация записи на нее. Людей много, все хотят быстрее, а окошек на один день не так много выделялось. Принимала квартиру с братом, он у меня понимает в строительстве. Метраж сошелся, замечания по отделке были небольшие, но меня это не расстроило. Брат сам быстро все подправил. Заселялась летом, поэтому боялась, что в холода выяснится, что квартира холодная или, что окна плохие, но зря переживала. Зимой тепло, топят у нас хорошо, я иногда даже окна приоткрываю. С ними, кстати, тоже не было проблем.",5,ПИК,Forum-zhk,1
Настя,2024-03-11,"В нынешних реалиях цены на квартиры растут каждый месяц, на новостройки особенно. В районе Гольяново есть вторичка дешевле, но там такие сейчас ставки по ипотеке — не можем себе позволить. Если сравнивать вторичку и новостройку выбор очевиден. Остановились на ПИК.",5,ПИК,Forum-zhk,0
Витталина,2024-02-26,"Ну вот и появились в продаже квартиры в жк Полар из корпуса на 50 этажей, проект конечно годный, необычный для пика. С локацией только не всё так просто, может будут что-то в будущем там делать, переносить гаражи или типа того.",5,ПИК,Forum-zhk,0
Алексей,2024-01-18,"По планировкам в ЖК Томилинский бульвар норм варики есть, например трёхкомнатная, где в спальне и в прихожей 2 места под гардеробные. Плюс кухня ещё 23 метра почти",5,ПИК,Forum-zhk,1
Полина,2023-12-14,"Взяли недавно трехкомнатную квартиру в ЖК Vangarden. Дорого. По факту заплатили за хорошее расположение и уже сложившуюся инфраструктуру вокруг домов. Успокаиваем себя тем, что это так или иначе инвестиция.",5,ПИК,Forum-zhk,1
Антон,2023-11-10,"Мы выбрали этого застройщика из-за того, что все проекты заканчивает (иногда даже за другими компаниями), долгостроев не было, задержек особых тоже. Деньги сейчас на эксроу-счетах, но время потерянное не вернёшь.",5,ПИК,Forum-zhk,1
Юрий,2023-10-24,"Рязанский район мне всегда нравился, раньше жил здесь на съёмной. Сейчас в 6 корпусе Михайловского парка. Пространство вокруг жк неплохо спланировано - много где отдохнуть можно. По выходным на велике катаюсь в парке",5,ПИК,Forum-zhk,1
Игорь,2023-09-04,"Хороший застрой, много делает по России",5,ПИК,Forum-zhk,0
Виктория,2023-07-13,"Компании надо продумать вопрос внутренней коммуникации между персоналом! Застройщик крупный, известный, вся документация в электронном формате, даже саму сделку при желании можно провести удаленно. Но фактически бывает так, что узнать в режиме реального времени тот или иной вопрос по стройке бывает проблематично(",5,ПИК,Forum-zhk,0
Виктор,2023-05-29,"Оформлялись через сайт, вроде быстро, но по моим ощущениям в офисе было бы понятнее. В целом, устроила цена и платеж по ипотеке, в отличие от других новостроек рядом с Сокольниками, боле менее адекватный.",5,ПИК,Forum-zhk,0
Катя,2022-03-09,"После того как сходила в шоу-рум в Шереметьевском, могу сказать, что по ухоженности и безопасности территории ПИК однозначно лучше, застройщиков, предлагающих квартиры по такой же цене, за вторичку и речи не идет… Подкупило, что во дворе зоны для детей разделены. Не люблю, когда мой ребенок пересекается с большими детками на площадке, там то мяч, то догонялки, то еще что-то у них. Двор огорожен, внутри работающие видеокамеры, в любом случае здесь спокойнее, чем в отрытых жк.",5,ПИК,Forum-zhk,1
Татьяна,2022-03-04,"Пишу отзыв после приемки квартиры в Саларьево. Такой себе ремонт от застройщика оказался, ожидала большего. Мебель заказывали в Пике - понравилась больше. У нас кух.гарнитур и встроенный шкаф в холле, фасады выглядят красиво, установили все ровно. Для меня сюрпризом было, что техника на кухне установлена и в рабочем состоянии уже. Как перееду, заморочек меньше будет.",4,ПИК,Forum-zhk,1
Валерия,2022-03-02,"Наконец-то взяли квартиру в Шереметьевском. Застройщика выбирали со сто процентной сдачей домов. Надеюсь, с поликлиникой и школой на территории жк тоже затягивать не будут. В общем, пока выбирала, поняла, что проекты у Пик неплохие, планировок много и социалкой обеспечивают. Пусть строятся, хоть какие-то шансы взять квартиру с нормальным обустройством.",4,ПИК,Forum-zhk,1
Максим,2022-02-28,"Рассматривали только жк Люберцы парк, т.к. хорошо знаем район. Купили тут двушку на 60квадратов, причем сразу под ключ, с ремонтом и мебелью. Впервые, конечно, встречаю такие условия, но так и лучше, не надо заниматься ремонтом и прочими моментами.",5,ПИК,Forum-zhk,1
Дмитрий,2022-02-28,"Одина из немногих компаний, работающих еще с 90х годов. В строительстве опыт не маленький, смотрю, уже другие направления неплохо развили (там и аренда, и ремонты у них). Не скажу, что жилье высокого качества, но вполне себе достойные комплексы и квартиры. По сравнению с застройщиками в той же ценовой категории, у Пика дворы очень выигрывают и входные группы интереснее обычных подъездов.",5,ПИК,Forum-zhk,1
Марина,2022-02-25,"Сначала испугались, что покупка онлайн…мы люди просто другой закалки, и как-то для нас это непривычно было. Но все-таки решились и поняли, что это удобная штука. Там практически все как в жизни сделали (и 3д есть и этаж видно, еще и с выходом окон на какую сторону подсуетились) Мы вон даже ипотеку там же оформили, менеджер сама заявки кинула в банк и все, быстро одобрили.",5,ПИК,Forum-zhk,1
Анатолий,2022-02-24,"Не могу сказать, что плохой застройщик. Лично у меня в саларьево, тепло, нет проблем с водоснабжением/отведением, подъездом и территорией. Просто вн.отделка не их конек, ремонт на первое время и стоит учитывать цена=качество. Лучше заселится в такую отделку, чем в бетон, а там уже нанять бригаду и сделать по дизайну.",5,ПИК,Forum-zhk,1
Светлана,2022-02-22,"Мнения, конечно, расходятся.. но хорошо, что я наткнулась на плохие отзывы после покупки, иначе бы просто передумала. Я своей кв-й от пик довольна. При приемке небольшие косячки в ремонте были, но не критичные. Из разряда дв. ручку заменить, подкрутить кран и так по мелочи. Поэтому чего-то ужасного в моей квартире нет.",4,ПИК,Forum-zhk,1
Виктория,2022-02-19,"Пока только обживаемся в жк Шереметьевский, понятно, что еще не все системы отлажены и работают как следует. По началу то вентиляция не работала, то воду на день отключали. Но мне понравилась реакция УК на наши заявки, по крайней мере отвечает и быстро реагирует на них, уже нормальный показатель.",4,ПИК,Forum-zhk,1
Анастасия,2022-02-15,"По планировкам квартиры у пика норм. Покупали двушку в Дмитровском парке, пересмотрели кучу новостроек в районе, но тут планировка самая прикольная оказалась. Большая кухня-гостиная с 2мя окнами, две комнаты, два санузла и это все не в ущерб метражу в комнатах. Я так скажу, все 60кв.м. распределены по делу, а наличие в холле ниши для шкафа, дополнительный плюс- место для вещей лишним не бывает.",5,ПИК,Forum-zhk,1
Вера,2022-02-14,"Наша квартира нас во всем устраивает. Не знаю, почему люди так недовольны звукоизоляцией. Шумоизоляция в нашем жк не хуже, чем в других новостройках. Обычные разговоры соседей не слышно, а если они музыку врубают, то да, некоторые звуки слышно, но так везде. Хотите полной тишины, нужно делать дополнительную шумку.",5,ПИК,Forum-zhk,1
Иван,2022-02-10,"Взял жилье в Бо2 на котловане, постоянно наблюдаю за стройкой через веб камеры, для удобства скачал себе на телефон приложение + фотки выкладывают примерно каждый месяц или когда есть что показать новое. Доволен непрерывной стройкой, походу укладываются в сроки.",4,ПИК,Forum-zhk,1
