Name,Date,Review,Rating
Дмитрий,26.08.2024 15:53,"Взяли родителям квартиру к нам поближе, чтобы с детьми нянчится помогали у застройщика А 101. Квартира светлая и достаточно просторная, с хорошей планировкой. Теперь мои родители всегда под рукой и на быстрой связи) в гости теперь пешком к друг другу ходим. Красота! Застройщику спасибо.",5
Павел Миронюк,25.07.2024 19:22,"Начал интересоваться А101 застройщиком, чтобы приобрести коммерческую недвижимость. Оказывается, имеет неплохое рейтинговое место, строит не только жилые комплексы, но и коммерческие здания. Развивает молодую Москву и надо отдать должное, для развития бизнеса – это тоже неплохой вариант.",5
Мария,26.07.2024 11:10,"Приобретение коммерческой недвижимости от А101 может быть интересным вариантом. Тоже смотрю в эту сторону. А101 стремятся внести свой вклад в формирование облика Новой Москвы, что, безусловно, заслуживает уважения.",
Иван,23.07.2024 23:40,Отвратительный застройщик. Сдает дома наполовину готовые. Получили ключи. Вьехали. Не прожили и полгода уже стало прорывать регуляторы давления в каждом подьезде. Практически на каждом этаже текут. Прорвало трубы уже в нескольких квартирах.,1
Максим,24.07.2024 12:40,"Гарантия же есть, должны компенсировать. Но лучше проверять все узлы при въезде в новостройку, всякое бывает.",
Николай Н.,21.07.2024 22:15,"Нравится сотрудничать с А101. Цены всегда лояльные, акции интересные и предложения не только по жилью, но и по коммерческим помещениям.",5
Сергей Железнов,15.07.2024 18:02,"Клиентоориентированный застройщик. Выполняет свои обязанности и не разочаровывает жильцов. Если возникают проблемы, устраняет их быстро и без конфликтов. На своем опыте убедился!",5
Лариса Никиткина,11.07.2024 11:01,"Приятно видеть, когда застройщика выполняет все свои обязательство. Объекты достойные, локация удачная",5
Даниил Бодрыкин,16.06.2024 17:13,"Считаю репутацию этой компании заслуженной и действительно положительной, поэтому собственно без страха у них уже второй раз покупаю недвижимость. И второй раз доволен всем - от сроков сдачи до работы офиса продаж при заключении договора. Могу от себя порекомендовать этого застройщика.",5
Андрей Прудников,05.06.2024 15:45,"Не знаю как другие комплексы, но из Прокшино А101 за несколько лет сделал не район, а город в миниатюре. Тут уже сейчас всего хватает, но застройщик не останавливается. Все расширяет его и улучшает. Вообще рада, что в свое время выбрала именно этот ЖК. Пока лучшего за МКАДом не видела.",5
Епихин Станислав,20.05.2024 20:06,"Строит дома в разных классах (комфорт и бизнес) и выдерживает обозначенные сроки. Ничего не обещает зря, все договорные обязательства исполняются своевременно.",5
Елена В.,10.05.2024 19:58,"Я как-то привыкла доверять только компаниям, которые давно на рынке и имеют проверенную репутацию. Однодневок непонятных пруд пруди и неизвестно что от них ожидать. Тут можно взять даже на старте продаж и потом спокойно спать, не переживая что твой дом получит статус долгостроя или вообще стройку заморозят.",5
Олег Власин,07.05.2024 00:09,"Застройщик, который много строит и на рынке уже давненько. Его плюс и в том, что делает школы и сады, заботится об удобстве жильцов и безопасности. При всем этом нет сильно дорогого жилья к которому просто не подступишься. Можно оформить льготную ипотеку и даже насобирать на первоначальный взнос, что мы и сделали.",5
Михаил Трешкин,01.05.2024 13:50,"Главное что строят достаточно быстро, но качество высокое, не экономят на материалах, в том числе отделочных, доводят до ума подъезды, входные зоны, площадки перед домами, подъездные пути, выезды – все в наличии. При этом не могу сказать, что цены высокие. Плюс минус по рынку.",5
Артур Л.,24.04.2024 12:07,"У А101 ответственный подход к строительтсву, отделке, самим продажам. Исполняют все свои обязательства по договору, насколько знаю, не подводят со сроками сдачи, делают нормальную отделку, а на уровне тяп-ляп, задумывали как хай-тек получили сойдет и так))",5
