Name,Date,Review,Rating
Олеся,03.02.2025 12:35,"Приятно, что про наш досуг и зимой не забывают, такой шикарный праздник в Зеленой реке закатили перед Новым годом) Мои дети пищали от восторга, белые мишки их покорили)",5
Инна,04.02.2025 12:23,"В точку! Мы сначала сверху наблюдали, с моста, потом спустились, снеговика с совой поближе рассмотреть) Очень все понравилось, жаль, каникулы закончились, ждем скорее лето с афишей мероприятий",
Юлия,31.01.2025 10:30,"Следим за новостями со стройки События, всё идёт по графику. Мы сами периодически мимо проезжаем, видим что рабочие как пчёлки всегда на месте, трудятся, и нам сразу спокойно становится)",5
Юлия,31.01.2025 09:39,"Следим за новостями со стройки События, всё идёт по графику",5
Кирилл,27.12.2024 11:49,"У меня двушка в 1 Событии. Жк растет, потихоньку новые места открываются. В квартале уже несколько ресторанчиков есть, я в одном из них раза 3 за неделю бываю, вкусно мне там) Иногда в соседние Огни захаживаю, для разнообразия) Да, пока тут движуха не как в Символе, к примеру, но скоро другие очереди достроят, вообще шик будет!",5
Пётр,13.12.2024 09:20,"Я уже давно знаком с этим застройщиком, родители живут в жк Сердце Столицы больше пяти лет. За это время там только лучше становится, есть мне кажется весь спектр услуг в самих домах, очень развитый жк и находится в хорошем районе. Думаю туда тоже перебраться в скором времени.",5
Алина,06.12.2024 17:09,"К застройщику доверие у нас уже есть, еще после покупки квартиры в Событии появилось. Недавно дочери подыскивали жилье, сначала думали тут же взять, только в 4 квартале, но ей уж больно Остров понравился, для молодежи там отлично должно быть, много чего для досуга будет, судя по макетам",5
Борис,09.12.2024 10:51,"Тоже сыну в Острове купили. Для молодых шикарный район, для спортивных так тем более. Наш как про гребную базу и комплекс ЦСКА узнал, другие жк сразу отмел из вариантов)",
Сергей,29.11.2024 11:13,"Застройщика посоветовали друзья, решил прочекать инфу. Сразу в глаза бросилось, что много жк у парков и реки строятся, это круто. Я для себя событие выбрал, тоже около парка, плюс Раменки район неплохой и сами дома интересные",5
Виктор,07.11.2024 13:03,"После покупки могу сказать, что Донстрой держит хороших спецов - менеджеров. Совершенно не удивляет то, что они рассказывают какие прекрасные квартиры и жк - это их работа. Но уже после того, как я отдал деньги и сделка была завершена, я всегда могу связаться с менеджером и проконсультироваться по поводу, например, сроков открытия школы в нашем Острове или по покупке мм. В общем поддержка чувствуется",5
Аделина,31.10.2024 10:56,"Прилично Москву застроили, причем не однотипными скучными домиками, а красивыми кварталами. Я в Острове купила, его обустроить классно обещают. У нас там и для детей, и для взрослых досуг веселый организуют, может наконец плаванием займусь, давно хочу)",5
Мирон,02.11.2024 10:18,"Да, хорошо окружение продумывают, вокруг Острова еще и переправы вовсю строят. Слышал, что до Крылатского пешеходный мост уже в разработке, можно будет на велике добираться до парка легко) Потом если и до Фили мост протянут, будет вообще красота)",
Мария,23.10.2024 09:35,"Мы выбрали жк Остров, понравилось, что дома около реки и много парков вокруг. Квартиру выбирали долго, так как уже навсегда планируем покупать. В итоге дождались продаж в 7 квартале, нашли там нашу трёшку с кухней-гостиной почти 40 метров. Семья большая, сможем там по утрам впятером разойтись))",5
Андрей,21.10.2024 15:29,"Уютный офис продаж у Символа, стильный интерьер, светло и не душно)) Присмотрел у них подходящую квартиру, планирую в следующее посещение на экскурсию сгонять, посмотреть, что там да как, в этот раз времени не хватило. И сам район понравился, давно на Лефортово посматривал",5
Карина,17.10.2024 12:13,"Снимаю в Огнях, когда созрела до покупки, другие жк и не смотрела даже, этот нравится. На встречу в офис ехала на диком стрессе, очень переживала. Менеджер меня успокоил, чаем угостил, все показал рассказал. Сделка прошла комфортно, я выбрала именно то, о чем мечтала) Артем, если вы читаете, знайте, вы суперМЕНеджер!",5
Сергей,24.09.2024 16:42,"Качество домов отвратительное. И это не только в нашем доме, квартиру в котором будем готовить к продаже. Слышно даже через этаж, как развлекаются соседи. Управляющая компания за год сменила 4-х комендантов и потом сама свалила, передав управление фирме ""Рога и копыта"". Лифты расцарапали арендаторы, на стенах периодически появляются граффити. Охрана никакая, левая сказал бы, состоящая из понаехавших мужиков с регионов. Друзья тоже попались на уловку, что ЖК будет бизнес-класса. В итоге, в домах много квартир, сдающих не только в аренду, но и даже посуточно. На этажах вонь, штырьки которыми наркоманы пользуются, и мигрантов много. Если покупать квартиру для нормального проживания только не у ""Дон-строя""",1
Анна,04.10.2024 16:17,"Уж не знаю в каком доме вы живёте, но под ваше описание даже среднестатистические хрущёвки с трудом подходят) У нас в доме всё цивильно, соседи нормальные люди и ук адекватная. Бывает подростки что-то нарисуют на стенах или даже что-нибудь сломают, но виновные находятся и вопрос этот решается. Ничего идеального не бывает, от нас как от жителей тоже порядок зависит",
Виктория,03.07.2024 16:40,"Процесс покупки в Символе прошёл гладко, ребята в офисе помогли разобраться со всеми деталями. После заселения не прошло и месяца, как вошли во вкус: район продуманный, всё необходимое поблизости, а школа прям на территории, соседи дружелюбные.",5
Андрей,20.03.2024 15:06,"Прочитал на днях пост ДС в тг что сезон веранд открывается, и так настроение поднялось )) да, точно, наконец можно будет кушать под солнышком! единственное неудобство - каждые 2 минуты с соседом каким-нибудь здороваешься ))",5
Гоша,21.03.2024 17:31,они еще имеют тенденцию присоединяться ),
Лизавета,18.12.2023 11:26,"Я купила квартиру в Символе. Буду жить рядом с работой, мне отсюда 10 минут на машине. Сразу и машиноместо взяла, чтобы не переживать за машину. Там она будет в безопасности, да и так удобнее.",5
