Name,Date,Review,Rating
Иван,23.05.2024 16:24,"Не знаю, почему, у меня высотка ассоциируется с чем-то престижным и современным. Отчасти поэтому купил квартиру в Феймосе, уж больно он классный. Да и у МР групп, как я заметил, именно высотные дома получаются особенно красивыми, смотрел еще пару их проектов помимо Феймоса.",5
Анна,19.06.2024 18:04,"Чисто внешне Феймос, конечно, будет выглядеть шикарно. Ничего не скажешь.",
Юрий,16.07.2024 16:50,"Ну Феймос не единственная башня, которая у МР хорошо получилась.",
Андрей,22.07.2024 16:34,Согласен. Мне задумка у Jois нравится.,
Степан,29.04.2024 13:48,Мр обычно включает детский сад и/или школа в проекты комплексов. Это достойно уважения.,5
Карина,24.06.2024 19:07,"Да, на социалку так или иначе обращают внимание многие. Ведь почти у всех дети.",
Дима,26.04.2024 14:26,"У застройщика нет ""предпочтений"" по тем или иным районам, строит комплексы в разных округах и районах Москвы. А недавно узнал, что и в пригородах есть ЖК от МР: подыскивал жилье для родителей, хочу перевезти их поближе к нам. Хорошо, что такие застройщики как МР групп, строят в области у нас, можно быть уверенным и в соблюдении сроков сдачи, и в качестве сдаваемого дома.",5
Сергей,17.04.2024 15:19,"Инвестирую в основном в недвижку от МР. Их проекты хорошо продаются непосредственно перед сдачей, всегда имею высокий процент с таких вложений.",5
Марк,22.03.2024 18:59,"Еще в прошлом году, когда открыли продажи во 2ой очереди Slava, купил сразу, так как хотел как раз в этом районе себе квартиру и важно было, чтобы застрощик был проверенным. До покупки все детально изучил: что будет по благоустройству, какие планировки и тд - мне все очень понравилось.",5
Мирон,26.12.2023 17:26,"Застройщик круто умеет подбирать локации. Так, например, его новый проект Jois: его будут строить, грубо говоря, между Москва-сити и природными зонами. Локация топовая, на мой взгляд.",5
Николай,23.10.2023 10:37,"Я тоже записался на приемку, тоже в Славе. Обрадовали вы меня своим сообщением) Думал нанимать оценщика, но теперь наверное не буду.",5
Рита,19.10.2023 14:30,"Недавно получили ключи от апартаментов в Славе. Круто, что застройщик уложился в срок. Сама процедура тоже прошла гладко - пришли ко времени, сразу поднялись, все посмотрели. Качество строительства и отделки нам с мужем понравилось, никаких недостатков не обнаружили.",5
Дима,13.10.2023 15:18,"Хотя в Марьиной Роще строится несколько жк премиум-класса, мы сделали выбор в пользу Мод от МР групп. Имя застройщика на слуху, отзывы положительные о нем. Да и проект комплекса впечатлил больше всех.",5
Денис,05.10.2023 14:49,"Мне нравится вариативность, которую предлагают мр. В зависимости от своих предпочтений, можно выбрать вайт бокс, черновой ремонт или дизайнерский ремонт. Есть возможность купить жилье в ипотеку, в рассрочку или сделать трейд-ин. Это очень удобно и позволяет каждому найти оптимальный вариант. Радует и расположение объектов. Можно выбрать жилье как в центре столицы, так и в ближайшем Подмосковье.",5
Андрей,31.08.2023 11:35,"Хотелось бы отметить правильных и профессиональных менеджеров, которые работают в МР. Был в офисе Славы, молодой человек ответил на все вопросы, рассказал как можно выгоднее приобрести апартаменты, предложил внести небольшую предоплату, чтобы мои апарты никто не забрал. Так и сделал, в итоге получил именно то, что хотел и на что рассчитывал.",5
Марина,04.09.2023 15:51,"согласна, у МР специалисты вообще очень сильные. что менеджеры, что архитекторы. все четко знают что и как они должны делать. в итоге получаются вот такие крутые проекты.",
amina,24.08.2023 16:01,"Живем в Селигер Сити. Сейчас вот наконец-то получилось сделать из обычной коробочки настоящее уютное гнездышко. Наша заслуга, конечно, огромная, но и застройщик постарался - уютный большой дом, переменная этажность, увеличенные окна. Очень рада, что наконец-то у меня появилось место, которое я смело могу назвать домом",5
Мария,28.07.2023 11:53,"Сначала, когда мы только купили квартиру, казалось, что стоимость дороговатая. Ну что может за имя накинули и все такое. Но когда приняли ключи и зашли в квартиру - поняли, что цена оправдана полностью.",5
Сергей,26.07.2023 16:53,"Выбираем с женой квартиру, смотрим между МР и ещё одним застройщиком. Вроде по всем рейтингам и тд лучше МР, но тут нет близких друзей. Кто может подсказать, как там обстоят дела?",4
Борис,28.07.2023 12:59,"Да все нормально. Сдают все в срок, отделка хорошая, МОПы функциональные. Сложно рассказать про «все», но могу сказать, что все регалии и награды у компании не просто так",
Захар,26.06.2023 10:33,"У МР мне больше всего нравится МОД - зеленый, современный, стильный. Удачное расположение в состоявшемся районе с инфраструктурой, плюс недавно рядом открыли БКЛ, теперь можно без проблем и в Москву Сити ездить, и в авиапарке шопиться",5
Юлия,27.06.2023 10:28,"Я тоже засматриваюсь на Mod, всю юность провела в районе Марьиной Рощи и уже страшно привыкла) А тут и современный дом с наворотами, и крутой паркинг, и цена по-моему приемлемая. Одним словом - чистый кайф",
Степан,02.05.2023 12:09,"Оставил заявку на консультацию по покупке квартиры и были приятно удивлен, что мне быстро перезвонили и назначили встречу уже на следующий день. На встрече рассказали все детали проекта Метрополия, и я решил взять там квартиру. С конкретной квартирой смог определиться тоже благодаря менеджеру по продажам. Сейчас жду одобрения ипотеки.",5
