Name,Date,Review,Rating
Мария,22.12.2024 09:35,"Квартиру приняли хоть и с замечаниями, но за то, что нам их почти сразу устранили, звезду снимать не буду. На замену ламината в спальне, мастера до нас дошли через неделю и быстренько все сделали. В остальном претензий не имеем. Квартира сама по себе хорошая, комфортная. Соседей не слышим, окна не продуваются, отопление шпарит как надо.",5
Виталий,18.12.2024 16:04,"Пока все устраивает, по квартире замечаний нет. Транспортная доступность в Перовском 2 хорошая - рядом ходят автобусы и маршрутки + если кому принципиально наличие метро, до Нижегородской пешком минут за 10 можно дойти. Своя коммерция в жк есть. Плюсом к этому в 2025 году рядом достроят школу и детский сад.",5
Валентина,13.12.2024 12:26,"Отличное обслуживание, менеджеры отвечают быстро и всегда готовы помочь, если что-то не ясно",5
Денис,06.12.2024 18:28,"Купил кладовое помещение в ЖК Вангарден. Сделака оформлена весной, в договоре дата - конец августа. По словам менеджеров отделка - ровные стены и пол.
Ключи получил 6 декабря (3 месяца ожиданий от конечной даты в договоре)! При этом кладовкой пользовался застройщик (хранил там свой инструмент).
Стены - покрашенные блоки без следов штукатурки/шпаклевки.
Пол - покрашенный бетон, который перед покраской поленились подмести (или подмели к стенам). Все в буграх.
Ручка на двери сломана, замок явно по длине больше, чем планировался для этой двери (на других дверях цилиндр не торчит).
Все эти 3 месяца кормили завтраками, что проводят отделку, делают клининг.
Из плюсов: ключи таки передали и они подходят к кладовке (но магнитный ключ на вход в ЖК не работает).",2
Татьяна,16.08.2024 12:50,"По соседству с жк дмитровский парк есть два парка, один прям граничит с жк, а Ангарские пруды чуть подальше, но не критично.",5
Вика,22.07.2024 09:17,"Смотрим сейчас новострои в районе Люблино. Изначально думали взять вторичку. Но посчитали, сколько времени и денег уйдет чтобы вывезти хлам от старых хозяев и сделать свежий ремонт и решили, что проще взять новую квартиру. Поискали жк в округе, съездили на экскурсию в Люблинский парк. Жк пока активно строится, но что уже получается, нам понравилось. Особенно по социалке хорошо продумали, в проекте три школы, семь садиков и даже своя поликлиника.",5
Женя,05.06.2024 16:26,"Относительно нынешних цен и ипотечных условий, можно сказать, что мы удачно купили квартиру.
Покупали квартиру в 2020 году. Тогда уже был скачок цен из-за короны, но еще не такой сильный, как сейчас. И процент на ипотечный кредит ощутимо ниже был, к тому же у нас получилось взять квартиру от застройщика по семейной ипотеке. Даже не знаю, есть ли сейчас такое предложение.
На выбор во многом повлияло расположение комплекса. В идеале хотелось бы жить внутри МКАДа, но нам не по карману, а район Митино для нас оказался оптимальной локацией, т.к. это тоже район Москвы и прописка будет с соответствующими привелегиями и льготами. Понравилось, что Митинский лесопарк рядом, он не заброшен, гулять там можно. И в принципе есть метро, до которого можно дойти пешком. Да, это не быстрая доступность, минут 20 придется идти, но тем не менее. Дорога на машине до МКАДа по Пятницкому ш. занимает минут 15, но это если без пробок, что редко бывает.
Что касается самой квартиры, то она у нас без отделки. Не знаю, может зря, но мы побоялись покупать с отделкой от застройщика. Наслышаны, что с ней обычно бывает больше косяков, а переделывают их не быстро. Правда, может у разных застройщиков по-разному- не знаю. Приняли мы квартиру, конечно, быстро, но вот заселение было долгим, потому что с ремонтом очень много возни.",5
Владимир,21.05.2024 10:24,"Сдаю квартиру, качеством отделки от застройщика доволен, арендаторы тоже не жалуются. Для сдачи вариант идеальный. Жалко правда, что услуга меблировки у пика только сейчас стала появляться в некоторых жк. Я бы воспользовался.",5
Кирилл,08.05.2024 15:03,"Оказалось, что по цене пика нужно еще поискать приличную квартиру. Честно, хотел квартиру с балконом. Посмотрел несколько вариантов во вторичке, но таам за мои кровные туши свет. Разумнее купить новую квартиру и кладовку, чем выгребать за старыми хозяевами и погрязнуть в ремонте, балкон того не стоит",5
Ольга,23.04.2024 17:50,"Нашли классный вариант у ПИКа в ЖК Волоколмаское 24. В отличии от других здесь есть угловое остекление. Может где-то такое есть, но для меня в новинку. Мы взяли двушку, такие окна получились в комнате (был еще вариант на кухне) и я прям кайфую от количества света. Особенно хорошо зимой. Сделала там кабинет для себя. Работать комфортно. Еще и 12 этаж - вид отличный.",5
