Name,Date,Review,Rating
Ольга,07.08.2024 12:11,"Хочу поделиться отзывом о данной компании. Приобретали квартиру в 2023 году у застройщика МИЦ с чистовым ремонтом. Планировали заселение февраль -май 2024. К концу года все объекты выкупил Самолёт. И начались у всех дольщиков проблемы: постоянный перенос сроков, первые заселения пришлись на конец июля. Сдали две секции из 12((. В 12 только начали ремонт делать. В тех,что сдали лифты работают не всегда, и отключают после 22 часов. Прилегающая территория в плачевном виде: из детского оборудования только горка при катании на которой ребенок может повредить копчик т.к спуск очень высоко расположен и надо ловить детей... Так же площадка под баскетбол,пару лежаков деревянных и камни для антуража",1
Алина,26.06.2024 20:21,,5
Анастасия,11.01.2023 22:51,"Решили мы купить квартиру у самолёта в ЖК Мытищи, позвонили, поинтересовались условиями, девушка по телефону сказала, что ""все акции можно суммировать, приходите"". Приехали в офис, там все, конечно, устроено хорошо. Есть детский уголок, чай/кофе бесплатно.
Ждали в очереди около часа. Менеджер презентовал жк, выбрали квартиру, забронировали, оформили заявку на ипотеку. У меня был промокод на скидку 5%, его применили. Через пару дней одобрили заявку на ипотеку, менеджер сказал оплатить регистрацию сделки. В личном кабинете банка ВТБ есть акция, при оплате регистрации сделки по карте ВТБ, будет начислено до 90 000 бонусов (в нашем случае, должны были начислить 75 000 бонусов).
Оплатили сделку с карты ВТБ, уточнили у сотрудника банка про бонусы, нам сказали что бонус начислят после проверки регистрации сделки.
Менеджер самолёта нам сказал, что бонус они нам на карту ВТБ не начислят, так как мы уже применили промокод на скидку 5%. В общем, будьте умнее, не верьте на слова тому что вам обещают и перед оформлением сделки, фиксируйте все слова менеджеров о том, что можно суммировать скидку и бонусы, желательно в письменном виде. Потому что после оплаты регистрации сделки, вы уже никаких бонусов от них не добьётесь!",2
Ирина,27.04.2022 11:33,"Самолет строит ЖК Заречье Парк, Квартал Некрасовка, Люберцы... Купить квартиры в них можно и через Абсолют Недвижимость. Могу подарить скидку Абсолют Бонус=1%. Пишите на почту: predlogenija@mail.ru или в Телеграмм +79032383684",5
Ирина,26.11.2022 15:04,Подходит на покупку новостройки или кладовки.,
Ольга,28.06.2020 08:32,"""Крутилась, вертелась"", оформила квартиру в Новоданиловаска 8. По новой ипотечной программе от Самолет и Альфа Банк. Выгодно, удобно, я довольна как слон, если простыми словами выразиться.",5
Нина,25.06.2020 21:40,"Очень довольна, что купила квартиру именно от Самолета. Район приличный, комплекс уютный и комфортный, квартира с качественным современным ремонтом и без косяков в отделке. Сейчас наш комплекс еще достраивается, но стройка не мешает, так как ведется по всем нормам безопасности и прочего. Вот что значит, когда нормальный застройщик!",5
Марьяна,22.05.2020 23:21,"При покупке квартиры получили полное сопровождение в офисе продаж, хороший менеджер и нормальный застройщик. Большое спасибо!",5
Алиса,23.04.2020 08:20,"Сами покупали квартиру у этого застройщика 2 года назад, живем в одном из комплексов, сейчас планируют покупать жилье сестра с мужем, им советую тоже брать у Самолета, так как только у них можно найти недорогую, но классную квартиру в доме в хорошем районе, с благоустроенным двором, с инфраструктурой, с дорогами нормальными, парковочными местами и прочим.",5
Твердохлебова,09.04.2020 22:53,"Воспользовалась Трейд-ином от Самолета и очень довольна. Поменяла однушку на двушку с очень небольшой доплатой и очень быстро. Сама бы продавала и покупала намного дольше, да и небезопасно это все самой делать, а риелторы нынче дорого берут за все сделки.",5
Sasha Kulikov,12.03.2020 22:30,"У застройщика нет скандалов связанных со строительством комплексов, цены на жилье адекватные. Для меня выбор квартиры был очевиден.",5
Женя,29.02.2020 21:37,"Достойный застройщик, уже имеет на своем счету несколько приличных жилых корпусов, это вполне удачные проекты. Насколько я знаю, задержек со сдачей у них не было. Также вызывает уважение тот факт, что компания не позволяет себе менять планы по ходу дела и удешевлять проект уже после старта. А многие другие компании этим грешат.",5
ivan,18.02.2020 00:54,"Они предлагают нормальные цены на свои объекты, в большинстве своем это прагматик-класс, то есть жилье в монолите, с нормальной отделкой, современными планировками и по доступной стоимости.",5
Богдан,17.02.2020 14:48,"Siteinfo: IP-адреса отзывов из одной подсети

Один из немногих застройщиков с не подмоченной репутацией. Насколько могу судить: по своим проектам соблюдают сроки. Качество жилья достаточно высокое, они строят монолит, да и чисто визуально проекты интересные и современные.",5
Ирина,31.01.2020 16:49,"Siteinfo: IP-адреса отзывов из одной подсети

Покупаем у этого застройщика уже вторую квартиру и никаких проблем ни в первый раз, ни сейчас не возникло. Ничуть не удивлена, что Самолет в лидерах рынка. Если кому-то из близких понадобится жилье, посоветую именно эту компанию и буду уверена в том, что меня потом не будут обвинять в том, что квартира плохая.",5
Антон,17.01.2020 21:43,"Siteinfo: IP-адреса отзывов из одной подсети

Репутация у них отличная, по рейтингу они тоже в топе. В принципе у них уже достаточно реализованных проектов ну или частично реализованных, чтобы можно было судить об успешности компании. Не могу ручаться как будет в будущем, но как минимум по состоянию на сегодня если и выбирать застройщика, то я бы остановился именно на этой компании.",5
Игорь,06.01.2020 16:27,"Siteinfo: IP-адреса отзывов из одной подсети

Именно в Самолет пришли, так как узнали, что этот застройщик одновременно строит несколько комплексов и выбор достаточно большой, а мы изначально не знали, в каком даже районе хотим жить, так как планировали переезд из Тулы. Менеджеры рассказали обо всех вариантах и очень помогли определиться. Купили квартиру весной и скоро вот уже переезжаем.",5
Вита,26.12.2019 22:23,"Siteinfo: IP-адреса отзывов из одной подсети

Летом воспользовались предложением по Трейд-ин. Обменяли свою квартиру на новую в новом ЖК. Сначала схема показалась запутанной, но нам очень помогли во всем разобраться, рассказали все подробности и тонкости, как все будет происходить, успокоили, что и без жилья и без денег точно не останемся. Классная программа и очень удобно, что не нужно самим продавать свою квартиру.",5
