,Name,Date,Review,Rating,Developer,Site
0,Никита,2025-02-28,"Мы живем в арендованной квартире 8 лет. Вернее, жили, пока не въехали в новую квартиру в Томилино. Ставки аренды такие, что стало дешевле купить квартиру в ипотеку. Это тоже не так просто, но лучше платить за свое жилье, чем за чужое. Считаю, нам повезло, выбрали отличный вариант, тут все есть для жизни.",5.0,samolet,novostroy
1,Галина,2025-02-26,"При покупке студии в Молжаниново была завышена стоимость, обещали что заселение 30.11.2024, до сих пор квартиру не сдали и не обещают, каждый день ответ, ждите смс от недели до 3-х месяцев, поэтому не верьте менеджерам самолёта, не думала что придется платить за съем и за ипотеку, в сумме многовато получается и ничего сейчас не предъявить, в связи с продлением моратория, все же для нас, для народа, застройщики только обещают и никакой управы нет простым людям, поэтому думайте, когда решили покупать квартиру в самолете",1.0,samolet,novostroy
2,Наталья,2025-02-19,"Удачно переехали в Горки парк, сейчас вот ждем уже вторую квартиру в новой очереди. Тут окружение в самый раз для нас, лесопарк, пруды - очень классно. На балконах нет остекления, это немного печалит, но зато по всем остальным параметрам нас все устраивает.",5.0,samolet,novostroy
3,Валентина Гвоздилова,2025-02-14,"Живем с мужем и сыном в ЖК Большое Путилково уже больше года. Нам очень нравится наш дом. Хорошая новостройка с удобным входом для колясок и хорошими такими площадками для прогулок с малышами. В нашем ЖК есть свой детский сад и школа, магазинчики на первом этаже. Все что необходимо для жизни под рукой. Это неплохо так время экономит на разъездах за покупками и отвозом ребенка в сад перед работой особенно.",5.0,samolet,novostroy
4,Дмитрий Усачин,2025-02-08,"Мне комфортно в Новом Внукове от Самолёта. Дом добротный, тёплый. Квартира у меня хоть и однокомнатная, но удобная, со звукоизоляцией проблем не имею. По отделке, когда заезжал, вопросов не возникло, вполне неплохо всё сделали. Касаемо УК, нормально работают. Во дворе чисто, мусор вывозят вовремя, за освещением и придомовой территорией следят. В районе много магазинов, и постоянно что-то новое открывается. И что для меня самое важное, на работу до аэропорта по Киевскому шоссе ехать на авто не больше четверти часа.",5.0,samolet,novostroy
5,Алина,2025-01-31,"К выбору квартиры подошла основательно. Сначала определилась с застройщиком. Среди всех отдала предпочтение Самолету. И уже среди их проектов нашла жк, которая мне более всего подходил по удобствам. Так я и купила квартиру в жк Горки парк",5.0,samolet,novostroy
6,Михаил,2025-01-28,"Переехали мы год назад в новостройку от компании «самолет» и увидели что значит «работать только ради своей выгоды». Начиная с того что провайдера по Интернету подключили самого ужасного что только можно. Заканчиваю ужасным внутреним ремонтом. Больше всего вопрос к интернету и правилам данной компании. Интернет на районе выключается в день стабильно раза 2 по 3-4 часа, когда обращаемся к застройщикам-глаза закрываются не знают что делать. Выключается свет так же часами, весь район погружается во мрак и ничего не работает. Провайдера поменять не разрешают, из за определенных договоров среди провайдерами. Если вы жалеете свои нервы и время, ни в коем случае не покупайте у этого застройщика квартиры. Делают лишь бы сделать и не думают о жильцах.",1.0,samolet,novostroy
7,Ольга Николина,2025-01-24,"Живу пол года в жилом комплексе Пригород Лесное. Тут и магазины рядом есть и всякие салоны, кафешки. С маркет плейсами все ок, короче, все устраивает. Покупала пару лет назад квартиру, брала ипотеку, уже половину выплатила.",5.0,samolet,novostroy
8,Евгения Жовниренко,2025-01-21,"Категорически не рекомендую самолёт.Все отлично было до того как прошло время выдачи ключей .На данный момент задержка 2 мес,но основная проблема с которой столкнулись дольщики -это постоянная нервотрепка. За 2 мес было не меньше 8!переносов.Самолёт об этом даже не сообщает ,а просто в самый последний момент переносит ,и об этом Вы узнаёте из чата или звонок на горячую линию Связаться с руководством не получится,везде отфутболивают ждите ждите ждите Никакой конкретики . 2 мес идёт передача инженерных работ(то,что должно быть готово на этапе получения рвэ)",1.0,samolet,novostroy
9,Мarina,2025-01-20,"Остановилась на несколько ЖК от Самолёта, но в конце все-таки выбрала Томилино парк. Жить тут вполне удобно. Магазины поблизости имеются. Если по-крупному закупиться надо, то можно в соседние ТЦ поехать в Томилино, Люберцы или Котельники. Всего 20 минут на авто до них, ближе, чем в мегаполис ехать. Не хватает поликлиники. По сильной нужде надо ехать в Октябрьский или в то же Томилино. Однако скоро будет своя районная, её уже строят, так что надобность кататься в другие отпадёт сама собой. А что касается ЖК, он вполне прилично обустроен. Только один минус, площадка для выгула собак ну совсем крохотная. Но хорошо, что рядом лес. Так что Томилина парк неплох.",5.0,samolet,novostroy
