Name,Date,Review,Stars
Макар,19.05.2023 10:29,"Купили квартиру в строящемся доме потому что не побоялись что застройщик подведет. На рынке компания давно, работает успешно, штат не сокращает, насколько мне известно, все планы реализует. Выбирали долго и понравилось, что менеджеры были терпеливы, свои варианты не навязывали, предоставляли всю информацию. Оформили все документы как положено. Не вижу никаких минусов на данный момент и считаю, что А101 одни из немногих, кому можно доверять в наше непростое время.
Читать полностью",5
Андрей,25.05.2021 05:54,"Пандемия по многим ударила это факт! Но компания быстро восстановила работы, жилье сдается и планы выполняются. Понятно, что есть задержки по срокам, но ничего критичного. Главное, что в отношении материалов, инфраструктуры - все соответствует изначально утвержденным планам.",5
Валерий,27.05.2023 23:20,"Я всегда застройщиков стараюсь оценивать не по рейтингам, которые о них размещают, а реально по тому, как строят, где. Этому застройщику считаю что можно доверять, потому что он выбирает хорошие районы, делает все как обещает, не меняет генеральный план, втискивая дома между домами, чтобы окна в окна уже смотрели. По качеству точно знаю, что используют хорошие проверенные материалы и такие дома простоят долго.",5
Вячеслав,19.04.2023 14:53,"Положительный застройщик. Каких-то особых отклонений по генеральному плану за ним не замечено. Слышал, бывает, задерживает выдачу ключей, но все аргументы обоснованные. Мы свою квартиру получили вовремя, ремонт в ней нас устроил полностью. Не без того, конечно, что кое-что доделывали, но это были лично наши с женой вкусовые предпочтения. Хотим вот у а101 дочке взять жилье, пока думаем в каком районе. И Сады, и Испанские кварталы нравятся, но ее почему-то тянет в Прокшино, говорит, там БК строят современный. Посмотрим.
Читать полностью",5
Данила Клепков,11.04.2023 17:31,"Как-то проблем с этим застройщиком не было. Квартиры брали в разных районах не для себя, для съема. Все ключи на помещения получили вовремя, ну единственное в одном районе задержка была из-за облицовки дома. По расположению, районы скорей всего подходят для людей пересыщенных городской жизнью и желающих свежего воздуха, а не выхлопных газов от миллионов машин Москвы. Застройщик это понимает и планирует стройки в удачной местности. Не вижу недостатков у А101!
Читать полностью",5
Светлана,14.12.2022 23:18,"Получили ключики, неужели годы ожиданий позади. Хорошо, что выбрали А 101, крупный надежный застройщик. По-моему по ДДУ сейчас только с такими застройщиками можно иметь дело. У них вся Новая Москва под застройкой, мне кажется это гарантия того, что будешь жильем.",5
Влад,20.12.2022 01:19,"Да, сейчас по закону вроде и защищен, есть страховки и все такое, но зачем эти все страховки, если тебе жилье нужно было.",
Светлана,21.12.2022 21:01,"Ну вот, у А 101 такого не бывает, все дольщики всегда с жильем.",
Юрий Морозов,21.09.2022 22:24,"По своему опыту покупки двух квартир в их новостройках. Строят качественно, одна бизнес класс, другая комфорт, АПП подписал практически без замечаний, регулировки пвх окон и прочие мелочи не в счет. По срокам, слышал что переносят, но у меня переносов не было.",5
Новик,28.09.2022 21:00,"В ЖК Белые ночи, комфорт класс, сдали даже раньше, с опережением графика. В целом, застройщик нормальный считаю.",
Антон,04.10.2022 11:59,"Главное, без жилья у них никто не остался. Сейчас Новая Москва вся в их новостройках, и это к лучшему, строят не только жилье, но и инфраструктуру.",
Вера,27.01.2022 21:40,"Строят, сдают, что еще нужно. Мы свои ключики получили вовремя. Качеством квартиры вполне довольны. Косяков таких, что прям придраться нет. Ремонт сделали под себя, все так как хотелось. Садик, пришлось подождать, но зато какой отличный.",5
Григорий,13.05.2021 22:16,"Задержка небольшая со сроками была. Но всегда по телефону решали все вопросы, узнавали даты. В офисе вполне нормальные приятные сотрудники. Всё расскажут и сориентируют. Нам вообще глобально со счетчиками помогли решить проблемы. Приятно, что после покупки квартиры о тебе не забывают. Постпродажный сервис это тоже важная штука.",5
Ангелина,15.04.2023 20:11,"Снимаем квартиру в одном из районов этого застройщика. Проживая здесь год, хочу сказать, что дома действительно у а101 качественные, что бы там не говорили. Сколько общаемся с соседями, жалоб вообще не слышал хоть убей. Как-то все довольны. Площадка для детей огромнейшая, с резиновым покрытием, качелями. В моем детстве такого не было. Даже завидую немного) Зеленых зон хоть отбавляй, есть где погулять. Под домом парковка. Рядом и магазины и кафешки. Знаю, что застройщик по такому типу все свои районы и оформляет. В скором времени будем тоже у него себе квартиру брать.
Читать полностью",5
Л. Винер,28.12.2021 16:58,"Брал у них квартиру дочери, ключи получил вовремя, к концу обещанного периода, но все же без задержек. При приемке претензий не было, окна менял потом, но это скорее мой пунктик - квартира высоко, дуют ветра, поставил 5камерный пакет. Отделку брал вайтбокс, дочь учится на дизайнера, не захотела отделку от застройщика, занимается сейчас проектом своей будущей квартиры, так что пока не въехала. Ну нам и не горит, пусть сделает все как ей хочется.",0
Анатолий Курбидинов,14.06.2024 23:32,"В застройщике много чего нравится. Это разумные цены на жилье, гибкие условия оплаты и поддержка на всех этапах покупки, а также креативный подход в дизайне архитектуры своих объектов, качество строительства и благоустройство. Сейчас живу в одном из комплексов от А101 и очень рад, что в свое время решил купить жилье именно у них.",5
