Name,Date,Review,Stars
Лариса,29.01.2019 16:24,"Купила квартиру. На этапе строительства предлагали так называемую евродвушку (кухня-гостиная, санузел, прихожая, комната). При приемке квартиры представитель застройщика показал квартиру, ""потыкал"" пальчиком в 2 стояка с вентиляцией, водой и канализацией - справа и слева от входной двери. Вроде все было нормально, и я подписала Акт приема-передачи, при этом в отделе заселения мне не выдали тех.паспорт на квартиру, сказав, что там есть ошибки, и он на исправлении. Кормили завтраками почти месяц, когда выяснилось, что застройщик задним число изменил планировку и расположение мокрых зон. Теперь у меня в комнате по факту есть стояк с вентиляцией, полотенцесушителем и канализацией, а вот по плану МР его там нет. И проблем там из-за этой идиотской перепланировки немерянно. В результате, заплатив немалую сумму я имею некое помещение, ремонт в котором делать НЕЛЬЗЯ, соответственно, жить там тоже нельзя. МР своей вины не признает, исправлять ничего не хочет, а что делать тем людям, которые вляпались в этот кошмар. Советую тем, кто еще раздумывает, покупать квартиру или нет у ""самого надежного"" застройщика очень сильно подумать.
НЕТ
Я увидела одни недостатки
Читать полностью",1
нонна,19.01.2020 11:18,"Добрый день, Лариса! Скажите, как сейчас обстоят дела с проживанием в Вашей новой квартире? Что в результате Вы решили? Как оформляли, меняли ли планировку? Мы просто тоже купили в Селигер Сити, а теперь я начинаю узнавать все подробности.",
Александр,22.01.2020 16:28,"Интересно, что Вы распространили один и тот же отзыв про мифические проблемы со стояками и разводкой на всех площадках, под разными именами, это как минимум наводит на мысль, что Вы не реальный покупатель",
Мария,19.12.2018 16:06,"Обманщики – это самое мягкое слово, которое можно сказать об этом застройщике! Не думали мы, что, купив долгожданную квартиру, мы будем не спать и нервничать каждую ночь и день в течение нескольких месяцев из-за того, что застройщик допустил серьезную ошибку, предоставив нам техплан, который абсолютно не соотносится с нашей квартирой (с канализацией и полотенцесушителем в комнате). Продав нам квартиру по ложной планировке (о чем мы узнали только после подписания АПП), не уведомив и не предупредив бедных жильцов. Половина корпуса были (и есть до сих пор) с «проблемными» квартирами 3 корпуса ЖК Ясный. Такого свинского отношения к покупателям я не видела уже давно. С нами не хотели разговаривать, не отвечали на претензии, не давали ни одного комментария. 1000 раз пожалела, что купила квартиру именно у МР Групп. Этим отзывом хочу предостеречь всех людей, которые планируют покупать квартиру у этого бессовестного застройщика! Тысячу раз подумайте, нужны ли вам бессонные ночи, убитые нервы, фекалии в вашей квартире при приемке, полный игнор со стороны продавца-застройщика, выкачивание денег любыми способами и по факту другая квартира.
-
хамское отношение к покупателям (полный игнор со стороны застройщика) обман ужасное качество ремонта
Читать полностью",1
Юлия,24.11.2018 00:09,"Проффесиональный обман от застройщика МР-групп!! Отвратительно складывается общение с Застройщиком ЖК «Ясный» - МР-групп (ООО «Московская обувная Фабрика им.Муханова»). Купили однокомнатную квартиру в 3 корпусе этого ЖК. Изначально при выборе квартиры официальные менеджеры по продаже (из компании Метриум, предоставленной Застройщиком) акцентировали внимание на однокомнатных квартирах, в которых ДВА стояка. «Это очень здорово - вы можете сделать так называемую евродвушку - то есть сделать с одной стороны санузел и изолированную комнату, а с другой - Кухню-Гостинную побольше.» Мы остановили свой выбор именно на таком варианте квартир (как и многие-многие другие покупатели) именно из-за такой возможности - сделать «евродвушку», хотя этот вариант был дороже, чем аналогичные однушки с одним стояком. Что же мы получили при сдаче квартиры? При приемке квартиры сотрудник отдела заселения сказал, что трубы подведения горячей и холодной воды есть только на одном стояке, ко второму придется протянуть самостоятельно. Я нахмурилась, но ладно, проведем. На втором стояке есть трубы канализации, полотенцесушителя и вентиляции. После подписания акта приема-передачи началось самое интересное - ТЕХНИЧЕСКИЙ ПЛАН квартиры. В отделе заселения вместо нормального техплана, который все ожидали получить, начали рассказывать, что план еще не окончательный, но они могут распечататься. Распечатали. Что мы там видим? Ванная и кухня с одной стороны, на одном стояке, а вся остальная площадь - жилая зона. - одна общая вентиляционная труба на кухню и туалет (нарушение) - коридор отсутствует, дверь из санузда выводить некуда (по правилам она не может выходить в жилую зону) - исходя из такого плана мы должны замуровать второй стояк и забыть про него Замечательно. А за что мы доплачивали??? Напомню - с двумя стояками квартира дороже, чем с одним. За то, чтобы у нас была общая вентиляция на кухню и туалет? Чтобы запахи гуляли? В отделе заселения долго кормили «завтраками» о том, что техпланы ошибочны и их должны скорректировать, сделать нормальные мокрые зоны на два стояка. Спустя 2-3 недели этих «завтраков» сообщили, что из Центрального офиса прислали информацию: «техпланы правильные, изменений не будет». Ну вот и что это???????? Мало того, что это обман покупателей. Техплан составлен с большим количеством нарушений Санпинов и СНИПов. Застройщик не реагирует на запросы и претензии, которые собственники направляют на электронную почту, на официальные адреса компании. Полный игнор. Таких квартир с обманом в планировке в 3 корпусе НЕ МЕНЬШЕ ПОЛОВИНЫ!!!! Вместо того, чтобы сделать ремонт и заселиться в долгожданную хорошую квартиру, половина собственников 3го корпуса оказалась в подвешенном состоянии - либо ждать месяцы (или годы), пока Застройщик одумается, либо соглашаться с кабальными обманными планировками, либо нарушать все правила и жить с нелегальной перепланировкой.
ОБМАН профессиональный и продуманный
Читать полностью",1
нонна,19.01.2020 11:35,"Юлия, как сейчас обстоят дела в вашем ЖК? Что с техническим планом квартиры, вы его получили?",
Сергей,17.04.2020 18:26,"Повезло вам, мы вот в офис уже не успели. Забронировали ещё там, потом документы собирали, а потом этот карантин, так что покупку оформлять будем уже в приложении. Пока договор на регистрацию отправили, ждём ответа. Надеюсь все бумажки правильно собрали, хотя там чек-лист был в приложении, ошибки вроде не должно быть. Но ладно. подождем - увидим. Пока просто за стройкой наблюдать будем по камерам. В этом же приложении, кстати, удобно.",4
Яна,26.04.2020 19:45,"Мы тоже в офис уже не успели с этой изоляцией. Доки собирали, денег подкопить хотели, а тут такой сюрприз. Расстроились даже, не ровен час цены взлетят. Слава богу они онлайн продажи сделали. Все документы менеджеру уже скинули, ждём сейчас пока договор зарегистрируют. Очень рады, что смогли купить, цена на новостройки растет постоянно, ещё б чуть-чуть, уже не смогли бы себе квартиру позволить, нам не сказать что большую сумму банк одобрил.",0
Константин,20.03.2019 22:24,"Коротко: От купленных машиномест в 37 метров отрезали 8 метров. По задней стене вообще сделали проход. Места для большой машины+маленькой+велики+запас превратились в места для одной маленькой машины+велики...без запаса. Выяснил при приемке. Сделали из этих 8 м 2 кладовки и продали. Мне заявили, что готовы только на расторжение договора по старым ценам и все. На замену по метражу не готовы. На компенсацию за пользование средствами не готовы. Нанесли жуткий ущерб. Имеют жесткую инструкцию не общаться с покупателями. Всегда переключают только на менеджера по продажам. Поставил на бронь другие большие машиноместа - отобрали и продали. Поставил на бронь кладовку - отобрали. В квартире стояки включили в площадь. Судиться не хочу, пошел на замену. Требуют вначале оплатить новое, потом только расторгнут старое. Уроды. Компания-лохотрон. Животные!!!! Люди для них - мусор!!!
Размер
Образец бесчеловечности. Жулики и мошенники!
Читать полностью",1
Вадим,21.11.2018 16:27,"Хочу предупредить всех, кто планирует связаться с данной компанией при покупке квартиры о недобросовестных действиях застройщика и возможных последствиях покупки у него жилья. Рассказывать буду про ЖК Ясный, в котором приобретал квартиру. Купился на репутацию застройщика, грамотно сформированную их пиар отделом, и не потратил время на чтение форумов дольщиков других объектов - и зря. Если идти по порядку, то: 1) Застройщик выделяет часть метров как апартаменты (хотя весь участок земли предназначен под жилое строительство), и получается что т.к. часть помещений - нежилые, обязательства перед городом по строительству социальной инфраструктуры становятся сильно меньше, чем было бы, если бы все метры были жилые. По завершению строительства он переделывает проект, переводит апарты в квартиры и с помощью божественных видимо сил согласует его в экспертизе и получает исправленное разрешение на строительство (как это согласовывает правительство Москвы, непонятно). На выходе - простая схемка как не возводя соц инфраструктуры продавать жилые метры. Дольщикам это подается как великое благо и благотворительность от застройщика - перевод апартов в квартиры. На деле получаем муравейник без нормальных детских садов и поликлиник. 2) Так как проект все равно пересогласовывать, застройщик в процессе стройки меняет этажность проекта в сторону увеличения и нюансы планировок квартир. Дольщиков, разумеется в курс дела не ставят. 3) По срокам сдачи - реально задержка, но небольшая. Чтобы уложиться в сроки стали сдавать людям квартиры без работающих лифтов, отопления, вытяжки, электричества и пр. По факту иди прими не пойми что. При приемке квартиры менеджер отказался включить фонарь (эл-ва в квартире нет) для проверки стеклопакетов (""вот включайте сами на телефоне и смотрите, я свой фонарик вам не дам"" - чудеса клиентоориентированности). 4) Качество строительства - среднее. За красивым фасадом скрывается сильная экономия застройщика на всем, чем можно. В однушке, трубы отопления проложены в полу не одной монолитной трубой, а составлены из нескольких кусков самых дешевых труб из сшитого поэлиэтилена (в отделе продаж говорили про рехау, на деле самый дешевый аналог) с пластмассовыми перемычками (у меня 4 таких перемычки), уже есть случаи протечек в местах стыков этих труб. Коллектор при этом находится вне квартиры. Входные двери (с виду нормальные) сильно люфтят. В предыдущей квартире которую я брал у других малоизвестных застройщиков были нормальные трубы рехау без всяких перемычек (это для тех кто скажет что у все сейчас так строят). Внутри самой квартиры куча выступов, углов, стояков - следствие плясок с проектом. 5) Самый главный обман лично для меня - это продажа квартир, которые застройщик позиционировал как евродвушки, т.е. однушка у которой два стояка, где кухня и санузел расположены напротив друг друга. В рекламных буклетах и на сайте - везде была указана именно такая планировка, и такие квартиры стоили выше, чем обычные однушки. В самой квартире по факту также расположены 2 стояка. Однако план мокрых зон, который сделал застройщик в новом проекте - как у обычных однушек. В итоге имеем один стояк с полотенцесушителем и канализацией, который нельзя использовать, в жилой комнате (привет нарушение СНИПов). Налицо намеренный ввод в заблуждение покупателей и недобросовестная реклама. С самим застройщиком связаться невозможно, и всех дольщиков отправляют писать письма на юрадрес и ждать ответ 30 дней. Вот вам и забота о клиентах от МР групп. 6) Ну и в довесок - на многих объектах МР групп тут же обьявляется одна и та же УК, которая незаконно устанавливает тариф на содержание в два раза выше городского, предлагает сходу подписать договор с ними на три года (!!!), по которому вы не имеете права ни на что, а также платить авансом за коммуналку опять же в нарушение закона. И самое прекрасное, что данная компания имеет четкую стратегию и бюджет на борьбу с жителями, которых воспринимает просто как свои кошельки. Поэтому делайте выводы господа, прежде чем вляпаться в сказочный мир от МР групп, который на деле является образцом ""бизнеса по русски"" в его худшем проявлении. И читайте форумы.
Читать полностью",1
