Name,Date,Review,Stars
Екатерина,30.04.2020 01:50,"Черт попутал связаться с компанией ПИК. Покупала квартиру с готовой отделкой в ЖК ""Грин Парк"". При принятии ужаснулась: 65 пунктов выявленных существенных недостатков, несчитая измененной площади по планировке. Подписала акт о выявленных недостатках, Пик обещал исправить. НО, в итоге через 2 месяца вместо устранения недостатков направил в мой адрес односторонний акт (как на уклониста от приема квартиры). Пошла в суд и оспорила данный односторонний акт. После суда - ничего. Пошла опять в суд с иском к ПИКу о компенсации за нарушение сроков сдачи (на этот момент прошло 11 месяцев от срока сдачи квартиры по договору). Только после этого закопошились и стали устранять косяки. Суд издевательски присудил мне 90 000 руб. компенсации, снизив ее по ст. 333 ГК РФ в 16,5 раз от расчитанной по формуле закона (т.е. от 1 300 000 руб.) Юристы ПИКа ржали в лицо. Я уже умалчиваю о хамстве и тупости менеджеров, об оставшихся без ответов 16 моих письменных обращений в ПИК с просьбой предоставить тех.сведения на квартиру (схемы подводки труб отопления, схемы монтажа эл. проводки и т.д.). А после заселения ""познакомилась"" с их управляющей компанией, но это отдельная песня на чеченском языке... Достаточно найдете с Инете роликов о рейдерских захватах этого куска пирога. Вывод: ни друзьям, ни врагам не посоветую эту компанию. Искренне желаю ПИКу разориться!
Построили
Все остальное.
Читать полностью",1
Константин,29.09.2021 22:22,"Вижу как сммщики пика минусуют реальные отзывы, а сами пишут хвалебную чушь и яростно плюсуют. Даже спалились ниже копипастой одинакового текста с разных ников. Я вот реальный живой владелец панельки пика с мая 2021. Швы текут, недостатков вал, устраняют как повезет, батареи еле теплые, пожарка орет дурниной по ночам, вентиляция хреновая или воет и ревет, провайдер один, куча одинаковых площадок для детей до 5 лет, а для старших ничего, лифты из ада, плесень и... до бесконечности можно перечислять, читайте форумы жк перед покупкой, ездите, смотрите и т.д. Стоит ли своих денег? Едва ли, часто можно найти варианты лучше. Я купил до бума ипотеки и 1 очередь с котлована, только поэтому цена норм. То что сейчас предлагается лютый оверпрайс чисто под ипотеку на 30 лет.
Пока не рухнуло
Компания - зеркало страны, снаружи вроде норм, а внутри печаль.
Читать полностью",0
Елена,08.02.2017 15:16,"Подписывали документы с Мортоном, а оказались в лапах у ПИКа. Хотя как старательно мы его обходили на этапе выбора квартиры... В итоге всё как и ожидалось. Хамство. Такое чувство, что людей туда набирают по этому критерию! Потому что так мастерски меня ещё нигде не отшивали на всех уровнях. Дальше - качество. Ну это косяк на косяке. Может они с таким количеством новостроек просто не успевают за всем следить, я не знаю. Мы потому и обходили ПИК, что пару лет назад дочери покупали у них квартиру тоже. И внутри половину работ пришлось исправлять или вообще переделывать. В общем второй раз на те же грабли!
Читать полностью",1
Татьяна,06.12.2019 12:44,"Хотите жить в новой квартире? но не факт что у вас это получится. Хотите чтобы вам отремонтировали дефекты по гарантии. Никогда не дождетесь. Акт составленный в июне до сих пор в работе (сейчас декабрь) сроки январь 2020? Ждите. Течет система отопления? уже месяц без отопления - ответ ""ждите, с вами свяжется менеджер"". а на дворе Декабрь/зима. и это только для составления Акта осмотра. А ремонт видимо будет еще через ...... месяцев/лет. новый дом - управляющая компания от ПИК- тоже ПИК. жаловаться/ругаться бесполезно - ничего не измениться. Ждут когда сами все сделаете и отремонтируете. деньги дерут с удовольствием, но делать ничего не хотят
не вижу
ни чего не хотят делать общение только через чат реальных рычагов давления и решения проблем нет
Читать полностью",1
Никодим,02.06.2020 20:50,"Не вздумайте покупать квартиры у ПИКа - будете ждать ключи годами! Почитайте отзывы - практически во всех ЖК у ПИКа просрочки по выдаче квартир, а сейчас и в суд идти нельзя - государство простило им штрафы. ПИК давно уже очень не надежный застройщик!
Достоинства: Нет никаких достоинств, только месячные просрочки по выдаче квартир
Пик в ЖК Столичные Поляны не выдает квартиры уже девять месяцев!
Читать полностью",1
Дмитрий,20.12.2020 01:55,Как раз застройщик надёжный по сравнению с остальными.,
Светлана Беляева,27.06.2020 17:19,"Спасибо вам большое за правдивые отзывы чуть не купила квартиру у них в Люблинском парке ,прямо Бог отвёл!!!",0
Людмила,17.06.2019 19:13,"Самое плохое, что можно сделать в настоящее время - это купить квартиру в ГК ПИК. Проблемы начинаются, когда Вы получаете ключи, при получении ключей Вы подписываете акт приемки-передачи помещения, документы на собственность при этом можете получить через несколько лет. В квартире не можете ничего делать, а коммуналку надо уже оплачивать. Если Вы с актом затянете, ГК ПИК подписывает односторонний акт и начинает ""накручивать"" коммунальные платежи. Управляющей компанией является юр. лицо ГК Пик, которое не выбирают собственники, собственникам показывают протокол, который есть, бюллетени отказываются предоставлять. Вы оказываетесь заложником ситуации, из Вас пытаются ""выжать"" как можно больше денег. Управляющая компания ""придумывает"" дополнительные расходы, которые Вы оплачиваете - домофон, консьерж, страхование, охрана, антенна, организация рабочего места консьержу и т.д. и далее Вы только по суду избавляете себя от этих доп. расходов, которые Вы оплачиваете, а если не согласны, насчитываются %. Далее Вас ждут перерасчеты за отопление (10 000 и более), электричество и т.д. Также вопрос может решиться только в судебном порядке. Любой вызов сантехника - предоплата, просто так никто не придет. Очень много юр. лиц, договор заключен с одной компанией, расчет делает другая компания, писать жалобы в третью компанию и добиться практически невозможно ничего, ответы на письменные запросы, передаваемые в офисе, не предоставляются. Вы становитесь заложниками ситуации и из Вас просто ""выкачивают"" деньги и не предоставляют услуги в полном объеме, перерасчет за консьержа, например, можно ждать несколько месяцев. Будьте бдительны и ни при каких обстоятельствах не покупайте квартиры в ГК ПИК.
Нет
Проблемы начинаются с даты получения ключей и не заканчиваются больше никогда.
Читать полностью",0
Эльман,27.07.2020 23:48,Как подпишете договор автоматически становитесь заложником кошмарной компании ПИК КОМФОРТ. ТОЧНЕЕ ДИСКОМФОРТА,
Татьяна,21.01.2021 22:10,"Очень ждали квартиру в Дмитровском парке . Пришла смс на приемку квартиры, мы с таким желанием и рвением ждали назначенное число думали наконец-то переедем в свое гнездышко. Но не тут то было .Знаете хуже чем квартиры пик я не встречала, я конечно все считала думала это конкуренты пишут бред. НО когда мы зашли я ужаснулась сколы на плитках, вздумай потолок при открытии окна. Вмятины на стенах разный цвет плинтусов процентное окно , дырка в ломинате. Самое интересное к нам зашёл бригадир как я поняла и сказал подписывайтесь приёмку вам что это мешает жить . Если не подпишите она зависает и долго будете ждать. Я была в шоке. А самая ягодка на тортике во время приемке был строительный мусор в квартире извените за выражение использованый туалет и две кружки с чайным пакетиках. Как же я разочаровалась в данной компании. До слез обидно
Читать полностью",0
Сахиль,04.01.2022 18:06,"Помню когда выбирал ЖК, читал уйму отвратительных комментариев о застройщике ГК ПИК. Думал я и надумал что когда все хорошо, люди не пишут! А когда плохо люди пишут где можно и нельзя! Я ошибся! Если вернуть время назад, я НИКОГДА, повторюсь НИКОГДА не связался с ГК ПИК ! Причины: Нарушение сроков сдачи, квартира мною не получена ( должны были выдать ключи в декабре 2021 года) После замеров Которые застройщик предоставил по моей квартире у меня забрали 0,5 км2 ( компенсация не предусмотрена) Деньги с эскроу счета ГК ПИК списал ещё в октябре месяца, получается Я и ещё свыше 250 собственников квартир остались без денег и ключей в рамках указанного срока! Люди в домовых чатах уже не знают что делать так как ПИК никаким образом не выходит на связь ( только отписки шаблонные) Так же удивил один факт что заселение у ГК ПИК ПЛАТНОЕ 30.000 рублей ( тридцать тысяч рублей), за 30 000 рублей с вами на приёмке будет присутствовать сотрудник ГК ПИК ( как и положено всегда и везде, они за это берут деньги) В ДОГОВОРЕ НЕ УКАЗАНА ЭТА ИНФОРМАЦИЯ, а при покупке вам говорят что все бесплатно- ложь Не хотите платить? Будете принимать квартиру через онлайн, без сотрудника пик, они с вами коммуницируют через чат, отправляют документы на цифровую подпись, где указано что вы не имеете к ним никаких претензий ( хотя даже не были в квартире и обойти такие документы не возможно! Вы изначально подписывать документ ЭЦП о том что не имеете к ним никаких претензий ТОЛЬКО потом получает ключи! Вы вообще понимаете что творят эти Т***РИ Я уже написал целую претензию на Администрацию Президента РФ на эту контору и расписал Все! Итог какой? Я у разбитого корыта, ключей у меня нет, когда будут неизвестно! Деньги списаны со счёт! И впереди ещё очень много головной боли! Люди НЕ СВЯЗЫВАЙТЕСЬ С ГК ПИК!!!! ВЫБИРАЙТЕ ДРУГИЕ ЖК ОТ ДРУГИХ ЗАСТРОЙЩИКОВ НО НЕ ПИК! Не портите себя жизнь!
Их нет и не может быть
Я написал все выше!
Читать полностью",1
Кристина,26.04.2017 19:01,"Поверили в надежность и высокий уровень застройщика изза объемов строительства. И это была крупнейшая ошибка! Такого похабного отношения после оплаты я честно говоря не ожидала, хотя уже видала всякое! Не знаю, может, это конкретно мне так ""повезло"", но больше иметь дела с ПИКом я не хочу!",1
Юля,17.07.2020 19:44,"Если хотите проблем, потратить кучу нервов и времени разговаривать с некомпетентности людьми которые не чего не знаю, то вам сюда! Врагам не за что на свете их не посоветую !!!! С нового года ждём ключей сейчас 07 месяц идёт мы их до сих пор не получили !!!!! В последний день переносят сроки!!! С утра звонишь спрашиваешь завтра запись откроете у вас сроки не перенесли все идёт по плану? Да да все хорошо не переживайте. Ты уже с теперпением ждёшь завтра как получишь заветные ключики вечером смс о переносе опять на месяц!!!! Звонишь спрашиваешь почему ? А ответа у них нет!!! Они его просто не знают!!! Ужас а не компания!!! Как они приобрели такую популярность с таким отношение я не знаю!! Но эту шарашкину контору я не советую не кому!!!
Нет
Один сплошной недостаток.
Читать полностью",0
Наталия,19.02.2019 16:43,"Качество дома ужасное. Соседей слышно прекрасно, стены в ванной и туалете пришло переделывать, так как непропорционально были сделаны, а хотелось, что бы было симметрично. Две двери оказались 70 см вместо 80, наличники не помещаются- нормальные застройщики так не строят. Пожарная кнопка по центру стены, куда можно было бы поставить прихожую, так как это единственное место для прихожей, но кто догадался прям по центру стены так установить кнопку?! Стены все кривые были, ушло огромное количество смеси на выравнивание, знакомые покупали квартиру у другого застройщика у них такого не было. Ну а если говорить про получение документов - это ужас. Вместо 10 рабочих дней, делались документы 4,5 месяцев. То отправляли не полный пакет документов, то возвращали документы с ошибками на исправление. Что касаемо обслуживание- ещё хуже! Не работал грузовой лифт, позвонила в Пик Комфорт, мне ответил сотрудник, заплатите за подъём двери, потом напишите заявление, вам компенсируют. Есть дата, время звонка, но никто разобраться до конца не захотел. Хотя в них разговоры записываются. Управляющий сказал, что из своего кармана он деньги не отдаст, а сотрудник колцентра Пик Комфорта- не его сотрудник. Ещё одна сотрудницаВиктория из ПИК Комфорт ошиблась с высотой батареи, сама этого не отрицала, но официальный ответ по поводу возмещения трат, которые я понесла из-за замены батарей - отрицательный (нет подписи сотрудника). Так что не доверяйте, как это делала я, без бумажки вас потом они отправят куда подальше. НЕ РЕКОМНУЮ ПИК! НИ С КЕМ ТАК НЕРВЫ НЕ ТРЕПАЛА.
Сдали в срок
Много косяков
Читать полностью",0
Макс,19.09.2023 16:26,"К Бусиновскому парку стали приглядываться когда задумались о продаже своей двушки в Химках и переезде в Москву. До метро далековато здесь, но пешком дойти реально. Каких-то ""сюрпризов"" после заселения не было. Все нормально.",5
Матвей,10.08.2023 15:46,"Живу в Кантемировской 11. Люблю на велике кататься, по Кантемировской до моста вообще без проблем можно доехать, оттуда по набережной до 300-летия. Сам живу в первом корпусе на девятом этаже, «из нашего окна вышка красная видна». Ну и метро под боком – удача, в центр за 15 минут от двери до двери.",5
Максим,15.09.2023 12:09,"Ключи от своей студии на неделю раньше получил. Принимал сам. Косяки мелкие были, не придирался, сам исправил. Нормальный застройщик.",5
Вера,13.09.2023 14:01,"Заселились летом в Перовское 2. (со сроками менеджеры не тянули, все вовремя). Приемку провели сами, через приложение. На вид все хорошо, лично для меня. Муж сказал только, что какое-то дурацкое подключение под стиралку сделали, переделывал потом.",5
Женя,20.09.2023 14:32,"Тема со стиралкой и нам знакома, в чате мне кажется каждый второй про нее говорил(( Тоже недавно получили там квартиру, но принимали со специалистом, он каких-то критических замечаний не нашел - все легкоустранимое было. Приходила бригада от застройщика и переделывала.",
