Name,Date,Review,Stars
Яна Купчиненко,02.05.2024 22:15,"Мы проживаем в жк Алхимово, ни разу не пожалели, чтобы купили в этом жк квартиру. Немного был перенос выдачи ключей, но такие сдвиги нельзя назвать критичными. Это хороший район Новой Москвы, рядом река Десна, лесопарк Дубровский, сейчас наш жк активно заселяется. На территории школы уже сданная школа, детский сад, на первых этажах работают магазины, кафе аптека.",5
Елена,23.11.2021 22:30,"У нас знакомые квартиру взяли у этого застройщика, по их совету и мы выбрали комплекс. Взяли двушку, сейчас ждем РВЭ. Пока довольны) все идет по плану. Корпус вырос просто красавец!)",5
петр,15.11.2019 16:27,"все хвалебные отзывы - вранье...контора гнилая и коррупция дичайшая..все тендера на строительство и проектирование раздают своим подставным конторам... задержки детсадов и школ по году-полтора...качество так себе..
Недостатки: все хвалебные отзывы - вранье...контора гнилая и коррупция дичайшая..все тендера на строительство и проектирование раздают своим подставным конторам... задержки детсадов и школ по году-полтора...качество так себе..
Читать полностью",1
Митрий,09.09.2020 17:43,"Так это же стандарт такой : ""Прагматик"" называется. У них у самолётовцев. По факту - это эконом. Просто за то, что они строят, качество, денег таких никто не заплатит, вот их главный лопух по продажам и придумал стандарт для покупателей у Самолёта. Наберите в Гугле прагматик, и будет вам мудрость : достижение цели любыми путями. Конечно, от этого воняет тухлятиной. Полностью согласен.",
Сергей,26.11.2020 07:36,Не выдумывай бро)),
Дарья,26.08.2024 14:31,Полностью согласна со всем что написано,
Екатерина,28.03.2025 10:53,"Полностью согласна с Вами. Подрядчики отвратительные, деньги налево уходят в чьи то карманы, работы на стройке идут медленно, как только списываются деньги с эскроу счетов. Застройщик деньги получает и забивает на дольщиков. Самолет нагло врет и не краснеет. Обещания сдачи дома Загородная д.45 корпус 4 Новое Колпино в январе2025, потом в феврале, потом в марте, теперь в апреле. И перед нами дольщиками даже никто не извинился за задержку. Хамское отношение, наплевательское. Работает 2-3 человека на весь дом. Застройщик деньги получил, потратил, и заселять теперь не торопится. Задержка уже 6месяцев. Застройщику важнее новые дома сейчас быстро строить, чтоб новые денежки привлечь, а потом дольщики, также как мы, будут выбивать свои ключи месяцами. По ДДУ срок выдачи ключей был 30.10.25. Мы до сих пор снимаем квартиру и не получили свои ключи.
Читать полностью",
Елена,25.02.2021 13:59,"отвратительный Застройщик. Вот прям позор! Основная цель - заграбастать деньги дольщиков, а потом ""кормить"" завтраками получения ключей. Кроме, как ""ХАПУГИ"" и не назовешь. Понятно, что всем хочется денег, а чем больше их получаешь, тем меньше совести остается. Так вот у всех сотрудников самолета совесть уже давно ушла в минусы. Приобрела квартиру в ноябре 2020 года в ЖК Томилино. Менеджер по продажам Евгений клялся и божился, что ключи все получат до конца декабря 2020 года. И на крайний мой аргумент что если до февраля 2021 года я не получу ключу - то жить мне будет негде от слова ""совсем"". И это не просто так проверка на вшивость ""продажника"" самолета и реальная действительность. На что Евгений снова уверил бья себя в грудь, что все документу уже согласованы и не сегодня - завтра начнется выдача ключей, поэтому я свои могу получить раньше срока, а именно в начале декабря. Это сейчас я понимаю, что человек обещая, то что нельзя исполнить, просто набивал себе карман в виде бонуса за продажу очередной квартиры, откровенно плюя на покупателя и на его дальнейшую ситуацию. Но все опять о совести, которой нет ни у одного сотрудника самолета. И во на дворе февраля , просрочка месяца и света в конце туннеля так и не видно. 31 декабря прошло, дольше была дата вторая половина января, потом начало февраля, потом 17 февраля, потом февраля, сейчас начало марта, но неизвестно когда, потому что дат конкретных в отделе заселения нет, как и во всей компании. Ответ один : ждите смс..... Поэтому, кто хочет купить квартиру у этих жуликов, 100 раз подумайте и приплюсуйте к срокам сдачи, которые вам будут обещать, еще минимум 6 месяцев, а лучше год...а может и не один.
откуда им взяться
все...начиная, как в театре, с вешалки...и до....
Читать полностью",1
Сергей,26.02.2021 19:51,"А у какого застройщика сейчас выдаются в срок ключи? В коммунарке вообще на год задержка. На ГОД, Карл! И не по одному ЖК причем. По Москва 24 смотрели недели 2 назад. Я насколько могу, с пониманием стараюсь относиться. Потому что при закрытых границах раб сила уже на вес золота. Скоро таксисты в строители переквалифицируются.",
kogotkova larisa,30.05.2024 20:05,"ЖК в хорошем районе, с удобной транспортной системой и наличием ТЦ, детских садов, школ и больниц. Однако есть недостатки, пробки на дорогах и маловато парковочных мест. Ну если такие минусы не критичны, то в целом хорошее место для жизни.",5
oksana*zabegaeva,23.04.2024 12:58,"Плотность заселения высоковата, но нам все равно нравится с семьей. Мы переехали сюда из более дальнего района и нам за радость этот район, тем более Москва почти рядом. Заселились, обустроились, по отделке ничего не стали менять, хотя нейтральные оттенки немного монотонно смотрятся.",5
Наталья,21.08.2019 10:34,"Томилино 2018. Компания не соблюдает сроки ввода в эксплуатацию, сроки графика заселения. Очень плохая отделка квартир. Сотрудники отдела заселения грубые. Стыдно работать без элементарного уважения к покупателям. НЕ СОВЕТУЮ ЗАКЛЮЧАТЬ ДДУ С САМОЛЕТ ДЕВЕЛОПМЕНТ.
Достоинства: ДОСТОИНСТВ НЕТ
омилино 2018. Компания не соблюдает сроки ввода в эксплуатацию, сроки графика заселения. Очень плохая отделка квартир. Сотрудники отдела заселения грубые. Стыдно работать без элементарного уважения к покупателям. НЕ СОВЕТУЮ ЗАКЛЮЧАТЬ ДДУ С САМОЛЕТ ДЕВЕЛОПМЕНТ.
Читать полностью",1
Алик,29.08.2019 15:34,"У любого застройщика могут быть задержки по срокам, это сейчас обычное явление, главное, чтобы построили и сдали. Меня лично это никогда не напрягало особо, сейчас уже третью квартиру беру. А насчет отделки - вы чего ждете? Материалов класса ""люкс""? Нужно быть реалистами, у Самолета абсолютно доступные цены на жилье+отделка, желающих приобрести такие квартиры полно",
Кристина,30.12.2022 11:30,У меня задержка ГОД! Это нормальный застройщик по вашему ?!! Они настоящие мошенники,
Артем Любченко,20.12.2023 11:02,"Решили купить квартиру в жилом комплексе Квартал Марьино. Адекватный застройщик строит этот жк, плюс здесь несколько выездов есть – можно ехать в сторону Москвы, как по Киевскому, так и по Калужскому шоссе. Ждать квартиру надо примерно два года, за те деньги, которые мы заплатили, считаю, срок нормальный.",5
parubina valentina,27.11.2023 08:34,"Наша квартира уже готова, но мы еще ждем, когда приведут в порядок придомовую территорию, а вообще получился красивый, светлый комплекс. Квартира оборудована всем необходимым, есть корзина для кондиционера снаружи, очень удобно и не портит внешний вид здания, вход в дом на уровне земли, сделан специально для пожилых людей и матерей с колясками. Бесшумный лифт, просторная парадная, это первые впечатления, которые бросились в глаза.",5
valentina opalkina,22.12.2023 18:52,"Переехали в Мытищи парк этим летом. Здесь классный закрытый двор, детей на игровую площадку спокойно отпускаем. Получили мы квартиру сразу готовую, но по сути, других вариантов у застройщика и не было. Так-то все равно хочется еще кое-что в квартире сделать.",5
Карина И.,13.03.2023 19:56,"Свои ключики мы получали с задержкой. Мы конечно, расстроились, но ждали, как и все, все равно других вариантов не было. Качество чистовой отделки было на твердую четверочку, так что в целом остались довольный. Наш двор облагорожен, есть детские и спортивные площадки. Радуюсь новой квартире постоянно.",5
Виталий,26.08.2022 14:32,"Жк давно у всех на слуху, ну и мы присмотрелось к нему. Адекватный ценник и инфраструктура развита хорошо, а что ещё нужно, все самое необходимое есть.",5
Никита,26.07.2022 18:23,"Покупаю у самолета вторую квартиру и всем остаюсь доволен. Просрочек по договору по сдаче дома и по выдаче ключей не было ни тогда, ни сейчас. Это для меня один из основных пунктов.",5
Александр,26.08.2020 12:28,"Я покупал квартиру в Спутнике еще до сдачи дома, на стадии котлована фактически и ценник был отличный, сейчас уже высоковат, как мне кажется для апартаментов. Но опять же, как посмотреть, все-таки по качеству стройки и благоустройству хороший район, таких мало, особенно с такой локацией, по сути совсем подобных не найдешь.",4
Елена,27.07.2022 11:40,"Приобрели квартиру в Остафьево, многочисленные переносы сроков, в целом не удивлена - у многих застройщиков есть задержки, а по нашему корпусу (к9) по крайней мере в двух секциях начали выдавать ключи - что для нас было приятной новостью, потому как обычно такие задержки бывают на год, и два, и три. Обращались в отдел заселения на горячую линию, к сожалению сотрудники колцентра почти ничем не смогли помочь - мы хотели узнать номер телефона менеджера, нам сообщили, что на ГЛ такую информацию не предоставляют. Предоставили нам предварительный срок сдачи по этажу - уже что-то. Жалко сотрудников колцентра,добрые и отзывчивые, но явно тоже устали, по голосу, от неизвестности. Они ведь тоже люди и судя по всему удаленный от самого отдела контактный центр. Если вам действительно нужна информация - то отрываем попки от диванов и едем лично :)
В целом все устраивает, за свою бюджетную цену все в пределах разумного. Никакого Люкс за такую цену получить нельзя
Мало информации предоставляют колцентру который работает с жителями все таки эти люди напрямую соприкасаются с нами, можно было бы предоставить им больше информации
Читать полностью",4
Чговец И.,18.07.2022 11:15,"Купили в Егорово парк себе квартиру у самолёта. Понимаем, что локация не самая топовая, но зато цена доступная за квадрат. И все же придётся иногда в пробках проводить время. Но, надеюсь, это не будет круглосуточно, и сможем подобрать адекватное время для поездок в город.",5
Николай,12.07.2022 14:45,"Есть озеро рядом и парк, время не нужно тратить на поездки, чтобы отдохнуть на природе. Дворы чистые и уютные. В целом современный комплекс со своими плюсами и минусами.",5
Ирина,11.01.2021 15:22,"Гр.Самолёт полностью оправдывает многочисленные отрицательные отзывы в свой адрес! Задерживают сроки ввода и сроки передачи обьектов почти на год (у нас прошло уже 10 мес.) При этом никакой правдивой информации не дают: либо врут бессовестно, либо молчат. Препятствуют дольщикам при приёмке квартир с проф.экспертами, требуют какие то доверенности на экспертов, т.к.видать косяков в квартирах в момент передачи у них видимо- невидимо. В общем, лживая организация, предпочитающая ""сладкую ложь""! Сейчас в Остафьево строится 2я очередь.кот.должна вводится в 3 и 4 кварталах 2021г. Здесь тоже будут приличные задержки ( если клнечно сам застройщик не развалится к этому времени
Не увидели
Не можем никак получить квартиру - это один огромный недостаток
Читать полностью",1
Светлана,13.01.2021 22:55,"Сейчас не все зависит от застройщика, мы брали у них 3 года назад, читали отзывы, это наверно единичный случай, не замечен он в задержках больших, тем более сейчас открылись продажи на их новые жк, значит и не планируется никакого закрытия компании.",
denis,05.08.2022 14:24,"Квартиру покупаем родителям. Цены адекватные и район уже развит довольно хорошо, есть поликлиника и магазинов много.",5
