Name,Date,Review,Rating
Пользователь,2025-01-22,"Брали и под инвест, и для себя, трудностей никаких не возникало. По срокам норм, по отделке тоже, ну почти) Сейчас заглядываемся на Остров, на свадьбу сыну может подарим там квартиру) Для воспитания будущих детишек место хорошее, считай почти на природе и в красоте",5
Александра,2024-12-27,"Мне кажется я достала менеджера Донстроя вопросами, но он не подавал виду) на все терпеливо отвечал. Просто это наша первая сделка и мы хотим, чтоб мне все было понятно. Здесь вполне доступно объяснили) до этого ходили в другую компанию, там не охотно отвечали, да и вообще было не комфортно, а здесь человеческое отношение",5
Пользователь,2024-12-17,"Остров от Донстроя однозначно самый насыщенный жк из всех, что я знаю. Ну, будет) У дома будут площадки разные, в том числе для пляжных видом спорта, недалеко от острова и регби центр, и серфинг. А еще что зацепило, центр раннего физического развития, то есть детей можно сразу приучать к спорту",5
Роман,2024-10-21,"В последние годы застройщик начал много интересных проектов в разных районах, некоторые жк полностью уже сданы, где-то только несколько домов. Я рассматривал несколько их жк, но Остров пришелся по душе больше остальных, как внешне, так и по расположению. Взял квартиру в пятой очереди, так что пока жду сдачу",5
Александра,2024-07-01,"Брала в Символе, здесь как будто новая жизнь открылась) Дворы у каждого здания, много зелени, магазины и кафе везде. Вроде живёшь в огромном мегаполисе, а ощущение, будто в своём маленьком уютном городе.",5
Марик,2024-06-17,"Работаю недалеко от офиса продаж, поэтому мне удобно было добираться. Хватило пары посещений, чтобы определиться по квартире в Символе. В один из них ездил на просмотр уже готовых очередей, менеджер провел меня по дворам, по парку, все понравилось. Отмечу еще, что сам офис впечатлил - незаезженный дизайн, стильно и уютно одновременно, там очень приятно находиться",5
Дмитрий,2024-06-14,"Уже покупал квартиру у донстроя, порадовали сроки и к приёмке вопросов не было. Помню только с подоконником что-то не так было, трещина небольшая вроде была. Момент сразу урегулировали. Надеюсь, в этот раз тоже всё удачно пройдёт.",5
Зинаида,2024-04-12,"Хорошая компания, много лет на плаву. Идеи с каждым годом всё креативнее и интереснее, держат марку. Я квартиру купила в далёком 2005 году в Триумф-Паласе и до сих пор этот дом вызывает восхищение и украшает город)",5
Элина,2024-03-13,"Пока квартиру выбирала, прописалась в офисе продаж ???? потому что мне надо все посмотреть своими глазами, сто вопросов задать менеджеру, не могу я по телефону говорить и решение онлайн принимать. Менеджеры оказались терпеливыми к моему беспокойству, за что им спасибо) Зато сейчас я точно знаю, что все учла при выборе и все сделала правильно)",5
Кира,2024-03-04,"Пока что мне тут все нравится. ЗП по сравнению с прошлым местом раза в 1,5 выше, офис чистый и светлый, есть столовая с нормальной техникой. Не знаю, как дальше пойдет, но хочу верить, что тут я останусь надолго.",5
