Unnamed: 0,Name,Date,Review,Sentiment
0,Алина,2025-01-31,"К выбору квартиры подошла основательно. Сначала определилась с застройщиком. Среди всех отдала предпочтение Самолету. И уже среди их проектов нашла жк, которая мне более всего подходил по удобствам. Так я и купила квартиру в жк Горки парк",positive
1,Михаил,2025-01-28,"Переехали мы год назад в новостройку от компании «самолет» и увидели что значит «работать только ради своей выгоды». Начиная с того что провайдера по Интернету подключили самого ужасного что только можно. Заканчиваю ужасным внутреним ремонтом. Больше всего вопрос к интернету и правилам данной компании. Интернет на районе выключается в день стабильно раза 2 по 3-4 часа, когда обращаемся к застройщикам-глаза закрываются не знают что делать. Выключается свет так же часами, весь район погружается во мрак и ничего не работает. Провайдера поменять не разрешают, из за определенных договоров среди провайдерами. Если вы жалеете свои нервы и время, ни в коем случае не покупайте у этого застройщика квартиры. Делают лишь бы сделать и не думают о жильцах.",negative
2,Ольга Николина,2025-01-24,"Живу пол года в жилом комплексе Пригород Лесное. Тут и магазины рядом есть и всякие салоны, кафешки. С маркет плейсами все ок, короче, все устраивает. Покупала пару лет назад квартиру, брала ипотеку, уже половину выплатила.",positive
3,Евгения Жовниренко,2025-01-21,"Категорически не рекомендую самолёт.Все отлично было до того как прошло время выдачи ключей .На данный момент задержка 2 мес,но основная проблема с которой столкнулись дольщики -это постоянная нервотрепка. За 2 мес было не меньше 8!переносов.Самолёт об этом даже не сообщает ,а просто в самый последний момент переносит ,и об этом Вы узнаёте из чата или звонок на горячую линию Связаться с руководством не получится,везде отфутболивают ждите ждите ждите Никакой конкретики . 2 мес идёт передача инженерных работ(то,что должно быть готово на этапе получения рвэ)",neutral
4,Мarina,2025-01-20,"Остановилась на несколько ЖК от Самолёта, но в конце все-таки выбрала Томилино парк. Жить тут вполне удобно. Магазины поблизости имеются. Если по-крупному закупиться надо, то можно в соседние ТЦ поехать в Томилино, Люберцы или Котельники. Всего 20 минут на авто до них, ближе, чем в мегаполис ехать. Не хватает поликлиники. По сильной нужде надо ехать в Октябрьский или в то же Томилино. Однако скоро будет своя районная, её уже строят, так что надобность кататься в другие отпадёт сама собой. А что касается ЖК, он вполне прилично обустроен. Только один минус, площадка для выгула собак ну совсем крохотная. Но хорошо, что рядом лес. Так что Томилина парк неплох.",positive
5,vladimir.dubrakov,2025-01-06,"Купили в Алхимово квартиру, евро двушку взяли. Не хотели брать ипотеку, но если случится пополнение, то придется менять на больше метров и тогда уж точно придется ее брать. Но, в любом случае, останемся в этом жк, тут хороший воздух и все ок с потребительскими моментами - магазины, аптеки и тд.",neutral
6,Диана,2024-12-25,"Очень пожалела, что приобрела квартиру именно у застройщика ""Самолёт"". При продаже обещали "" Золотые горы"" И предоставление скидки, и полное информирование про акции, и помощь в оформление ипотеки, и полное сопровождение по любым вопросам. Предоставили время для продажи квартиры на первоначальный взнос. В итоге менеджер который продавал уволилась, другие не выходят на связь, две недели звонила, Скидки конечно мне ни кто не предоставил. Так кроме этого со мной по хамски общались. После того как я пыталась связаться с менеджером оставляя много заявок. Мне вообще заявили, что это всё мои проблемы и ни о каких скидках речи не может быть, читайте договор, ни какие доп. соглашения мне делать не будут, как будто я сама решила сэкономить и выпрашиваю скидку. Так ладно скидку не предоставили, ещё сказали вообще читайте договор, и это Ваши проблемы надо было раньше думать, а не тянуть до последнего, квартира уже продана и Вами заниматься ни кто не будет, сейчас конец года ни кто уже не работает, ипотеку оформлять не будут, идите сами в банк и решайте свои проблемы, так же будите платить пени за каждый день, читайте всё в договоре. Деньги на первоначальный взнос, что не знаете, сами берите и вносите. Вот так обещания совпадают с реальностью, ладно скидку не захотели предоставлять, так ещё даже не готовы общаться. Конечно сама виновата, что поверила словам при продаже, всë продали, проценты получили, дальше я не интересна. Так же сама забронировала кладовку, но со мной не связались по этому вопросу, оставляла заявки, готова купить оформите договор, но сумма маленькая со мной далее не связываются, договор не готовят, менеджер по продажам которая сказала, что мои проблемы всё тоже вообще ни чего не сделала. В общем очень не приятно до слез, обещают одно, а потом оказывается, что ты за ними бегаешь выпрашиваешь, с тобой даже на связь не выходят и с ипотекой разбирайся сама, ни какого сопровождения от застройщика нет. Так ещё разговаривают так, что думать раньше надо было это Ваши проблемы, тяните до последнего и платите пени.... Разберусь с ипотекой сама, заплачу эти пени, но жить в этой квартире не буду, продам при первой возможности и никогда больше не рассмотрю этого застройщика и всем не рекомендую.",negative
7,Максим Стародумов,2024-12-16,"Жилой комплекс Спутник нам зашел на все 100. И ездить теперь удобно, есть выезд на Новую Ригу, а мы работаем как раз в области, а МКАД вечно стоит. И в новом жк жить одно удовольствие, двор, благоустройство, магазины - все ок тут с этим. Да еще и вид из окна шикарный, на Живописную бухту!",positive
8,Елена О.,2024-12-11,"Удобный ЖК с закрытым двором и облагороженной территорией. На стоянке сухо, дом тёплый. Квартира у меня тоже хорошая, уже с отделкой, ремонтом как таковым не занимался, но кое-что поменял на свой вкус. С коммунальными услугами проблем не вижу, вода, свет, газ - всё как положено. Коммерция в комплексе достаточно развита. Вообще в Алхимово вполне комфортно.",positive
9,stas.zamotin,2024-12-07,"Нормальный ЖК. Соответствует комфорт-классу. Парковка есть, кладовые имеются. Двор озеленён, места для релакса и даже занятий спортом организовали. Магазинов нужных достаточно поблизости. По квартире, полученной, у меня тоже без претензий. Чистовая отделка качественная. Благодаря этому с остальными ремонтными работами мастера за месяц справились. В принципе жить в Эко Бунино удобно. Единственное, метро не близко, но я чаще машиной пользуюсь, чем общественным транспортом, так что норм.",positive
10,Ольга Л.,2024-10-14,"Как бы в Томилино всего хватает. Есть магазины, больница, ТЦ, пекарни и другая коммерция. Детский сад и школа тоже работают. Мои первоклашки вот только учиться пошли. По выходным есть куда с детьми пойти отдохнуть. Часто в Томилинский парк заглядываем: то пикник устроить, то на лошадях покататься, или идём на Пехорку. В целом жизнь здесь спокойная, размеренная. Можно никуда не ездить — всё, что надо, под боком. Даже муж уже в центр не катается, открыли один из его банковских филиалов в Красково, это всего минут семь езды от ЖК.",positive
11,Наталья Лебедухина,2024-10-12,"Мы недавно получили ключи от нашей новой квартире в Остафьево. Застройщику респект, нормальную отделку сделал. Благоустройство еще в процессе, все-таки дома еще не все сданы, как доделают, будет супер!",positive
12,Александр В.,2024-10-09,"Жилой комплекс Большое Путилково мне сразу понравился. Во-первых, рядом МКАД, такая близость подходят для ежедневных поездок. Во-вторых, возможность выйти погулять в парк, тут он есть и это очень хорошо. С парковками тут не очень, правду говорят))) но именно поэтому, я стараюсь выезжать пораньше, чтобы успеть вечером нормально припарковаться.",positive
13,Эльмира,2024-09-24,"Ужасная компания. Приобрели квартиру в ЖК Пригород Лесное,и уже сто раз пожалели. Мало того,что уже 4 месяца задержки,так и обратной связи никакой не получить от них. Сидят бестолковые менеджеры,которые никогда ничего не знают. Никто у них ничего не знает.",negative
14,zolnikov.roman,2024-09-16,"ЖК Горки Парк новый, ухоженный и на мой взгляд перспективный. Жить мне тут в целом нравится, потому что до работы недалеко. Вечерами есть где погулять с собакой, покататься на велосипеде. Потихоньку открываются разные магазины, что не может не радовать.",neutral
15,Анжела Дембовская,2024-09-10,"Не так давно переехали в Мытищи парк. Отличное место, хоть и находится комплекс за МКАДом. Здесь хорошо, что уже инфраструктура более-менее сложилась. Любые магазины, кафе, салоны - все в шаговой доступности есть. Ну и вообще, в целом район приятный!",positive
16,Дарья,2024-09-09,"Хабалы, добиться ничего невозможно, в контакт центре информации никакой не дают, хамят в трубку! После вопросов о сроках заселения просто сбросили трубку!!! Ключи люди ждут по 7 месяцев, все сроки сдвинуты и нет никакой конкретики. Очень жаль что связалась с данным застройщиком!",negative
17,diana*evlaskina,2024-09-04,"Я хотела давно переехать в собственную квартиру, наконец-то мечта сбылась, я живу теперь с весны в жилом комплексе Пригород Лесное. Очень застройщик порадовал, все сдал в лучшем виде. Платить приходится ипотеку, но это лучше, чем чужому дяде платить за съем жиль.",positive
18,Елена Бушухина,2024-08-29,"Мы переехали в новую квартиру пол года тому назад. Находится жилой комплекс Алхимово в 16 км от МКАД. Квартиру нам сдали сразу с отделкой, причем она вполне себе симпатичная, да еще и с сантехникой. Застройщик видно, строил - старался, особо вопросов к нему на приемке не возникло.",neutral
19,Владимир,2024-08-26,"Отвратительная компания, сроки заселения постоянно переносят. Строители живут в квартире, оставить офиц альную жалобу не кому, поскольку никто ни за что не отвечает. Если решили с ними связаться, то сто раз подумайте. После списания денег вы сами будете за ними бегать и уговаривать сделать то, что они обещали. А обещают они много и часто, но потом этого не делают.",negative
20,Наталья Деринова,2024-08-25,"В Алхимово прям хорошо, уже по весне сюда переехала, тут есть куда сгонять погулять, да и до МЦД удобно ходить. До центра если ездить, получается не супер быстро, но а вот если в районе Царицыно где-то работать, то вообще супер, по прямой на МЦД и быстро.",positive
21,Регина С,2024-08-23,"Добрый день. Отвратительный сервис, менеджеры постоянно меняются. Ощущение, что компания не заинтересована в продаже квартир, тк при покупке квартиры самими приходилось постоянно инициировать все шаги. Долго ждали отправки документов на регистрацию. Теперь не можем выбить начисления обещанных бонусов",negative
22,Лариса Сапегина,2024-08-23,"Я в Пригород Лесное перебралась пару месяцев назад. Здесь удобное маршрутное такси есть для тех, у кого нет машины. Едет прямо до метро Домодедовская. Иногда бывают утром пробки, но это терпимо, потому что все равно как-то на работу нужно ездить. В остальном здесь все очень нравится, лес хороший рядом, природа, всем довольна!",positive
23,Алана Ш.,2024-07-31,"Нравится, что рядом с нашим жк Люберцы есть красивое озеро, называется оно Черное. Мы частенько прогуливаемся рядом с ним, наблюдаем красивые виды. Квартирой мы довольны, к переезду она была сразу готова, так как покупали с отделкой и сантехникой. Мы взяли именно квартиру, поэтому прописка у нас есть. А вот друзья решили сэкономить, купили апартаменты, теперь жалеют, что не взяли, как мы.",positive
24,ira.nomerovskaya,2024-07-27,"Жилой комплекс Мытищи парк понравился хорошей инфраструктурой. Тут есть школа, садик, магазины. И самое главное, что тут вокруг есть крупные лесопарки. До Лосиного острова, правда, нужно ехать, но все равно нормально, около 15 минут примерно на машине",positive
25,Елена Унаева,2024-07-27,"Абсолютно бестолковая контора, продавали 7 месяцев квартиру и сняли объявление о продаже, не предупредив..",negative
26,Леонид Шкунов,2024-07-25,"В Спутнике живу год, хороший жк, разрастается, а близость к мкад отлично помогает быстро доезжать до работы. Иногда бывают коллапсы с пробками, но это дело житейское, подстраиваюсь под ситуацию.",positive
27,Светлана,2024-07-13,"Ремонты компании опасны для жизни. Жаль я не могу приложить фото. Если вы хотите столкнуться с трещинами или того хуже обрушением штукатурки за которой пустоты в 2 см и бетон, то это к ним.",neutral
28,Анна,2024-06-24,"Классные спортивные площадки тут у нас во дворе, дети уже выросли, поэтому им интересно именно в таких зонах тусоваться - скейт парк, баскетбольная площадка и тд. Вообще Пригород Лесное один из самых бюджетных вариантов у этого застройщика по Подмосковью. Рады, что перебрались сюда!",positive
29,Юлия,2024-06-24,"Сервис заканчивается ровно на моменте, когда они получают первые деньги. Потом вы сами по себе. С мужем решили в последний момент оформить льготную программу. По началу все красиво - менеджеры, все в чате, активно отвечают на вопросы, помогают. А потом принимают оплату за брони, скидывают договор долевого участия и...пропадают. Оплачивайте ПВ и тогда с вами будут говорить. Крайне не рекомендую Самолет как застройщика. Мы в итоге обратились к специалисту, он изучил договор а там треш, ничего из того, что было оговорено туда не включили. Зато цену увеличили, навязали своих услуг и своих партнеров пропихнули на допы вроде мебели, кухни и интерьера. Мол без них никак. И это стерпели бы, но платеж, который они нам сами и рассчитали вырос значительно. Оформили в другом ЖК и у другого застройщика просто за неделю все, успели в льготную. Есть все таки те, кто умеет работать, и это не Самолет, увы.",negative
30,Игорь,2024-06-24,"Я немного разбираюсь в этой сфере и вот что скажу - выбирайте любого другого застройщика, но только не Самолет. Если вы думаете, что ваш застройщик плох, условия предлагает невыгодные и пытается нагреть, то в Самолете умножайте все на 10. Решил дать им шанс, потому что нашел объект хороший. В итоге минус деньги за бронь, месяц нервотрепки и никакой конкретики. Про условия договора молчат ровно до момента, пока вы не оплатите бронь. А дальше начинается свистопляска. Мне этот урок стоил десять тысяч. С Вами делюсь бесплатно",negative
31,Дмитрий,2024-06-24,"На словах все хорошо, обещали что смогу войти в ипотеку позже, оформив рассрочку. Условия там неплохие, раз 6 уточнил и по телефону и в чате, точно ли они соответствуют действительности. Странно, что в телефонном звонке они ответили, что да, войти в ипотеку можно за 3 месяца до сдачи объекта. А в чате проигнорировали. Складывается ощущение, что не хотели, чтобы у меня были доказательства на будущее. Потому что в ДДУ нет ни слова про ипотеку, а отдать я должен им всю сумму через 9 месяцев уже. И это я молчу, что навешали обязательных доп услуг в виде мебели и пр. Деньги за бронь не вернули, просто игнорировали все вопросы дальнейшие. Это не застройщик, а скамер",neutral
32,Василий Соловьев,2024-06-23,"Развели на 20 тысяч. Менеджер обещал одни условия при бронировании квартир, а по факту в ДДУ втихаря пытались подсунуть другие. Сначала сказали, что за 3 месяца до сдачи объекта можно выйти в любую ипотеку (это почти 2 года), а в ДДУ пропихнули, что я должен меньше чем через год отдать остальное. А еще там не было ни слова про возможности ипотеки, все на словах. Но суть та же - красиво говорят и просто по 10 тысяч с таких же наивных стригут. Подставили и меня и своего партнера - риэлтора. Возвращать за бронь отказываются, естественно. Просто ставят перед фактом. Все вопросы в духе ""А как так получилось"" и ""точно ли оговоренные условия будут в ДДУ"" просто игнорировались. Ни на один не ответили и закрыли общий чат сделки.",negative
33,Марина,2024-06-23,"Приехала в офис Большое Путилково. По телефону была договоренность на 14-00. Приезжаю и узнаю, что я записана, но в порядке живой очереди. С одним клиентом уже работает менеджер, и один передо мной. Время ожидания 1,5- 2 часа, может и больше. У меня вопрос к сотрудникам офиса: неужели нельзя было перезвонить и перенести встречу пораньше или попозже? Поскольку сижу уже час, желание заключить договор именно с этой компанией пропадает",neutral
34,milana kirilkova,2024-06-20,"Мне очень нравится мой новый дом, купила квартиру в жилом комплексе Люберцы. Переезд только состоялся, квартира была с отделкой и сантехникой - все сделано хорошо, квартира реально уютная. Жаль, что хватило только на однушку, но большую ипотеку, лично я, не потянула бы, живу одна.",positive
35,Ирина,2024-06-10,"Нашла комплекс Егорово парк, он недалеко от Люберец находится, до МКАДа от него ехать на машине около 15 минут. Начали оформлять документы на студию. Третью неделю готовят договор переуступки. Менеджер по продажам Стрижакова Елена отказывается общаться. Я ей звоню, чтобы узнать, как обстоят дела с документами, не берёт трубку, ни разу не перезвонила! Я думала ГК Самолёт серьёзная компания’",neutral
36,Ирина Гуркина,2024-06-05,"Нашла комплекс Егорово парк, он недалеко от Люберец находится, до МКАДа от него ехать на машине около 15 минут. Но это если без пробок. Предложение я выбрала в готовом доме, поэтому ежемесячная выплата по ипотеке у меня чуть больше, чем в строящемся корпусе. Но мне не напряжно, главное, что я уже переехала. Окружением и инфраструктурой довольна!",positive
37,Светлана Медведева,2024-05-31,"ЖК Пригород Лесное Корпус 10.2 Срок сдачи 31.05.2024, перенесли срок сдачи на 3 месяца. Кто будет возмещать ущерб? Мы специально брали квартиру в доме , который будет сдаваться в мае, у нас только родился ребенок, почему мы должны с ним мотаться по съемным квартирам? Для чего заключается договор? За что мы платим миллионы? В корпусе 4.1 и 4.2 трудятся десятки рабочих,у них чистый двор уже. В нашем же корпусе 10.2 двор выглядит так,как будто стройка только началась, от силы 10 рабочих трудятся. Почему проблемы с рабочими должны быть нашими проблемами? За что мы заплатили деньги? Как сдавался дом в эксплуатацию,если там проблемы с лифтовым оборудованием, пожарной безопасностью? Каждый раз когда в доме ничего не сделано, то проблемы с лифтовым оборудованием! Это уже не первый дом такой. Почему мы должны сидеть и бесплатно ждать сдачу дома 3 месяца? Даже не сочли нужным отправить сообщение о задержке. Очень пожалели о покупке у данного застройщика. Теперь с введением моратория квартиру вообще не дождемся",negative
38,Виталий Тимуршин,2024-05-30,"В жк Остафьево взял себе квартиру. Евро двушка у меня, планировка обычная, с кухней - гостиной и отдельной спальней. Так хорошо, что я все-таки взял ипотеку, чтобы доплатить за комфортное проживание с отдельной спальней, а то сначала был настроен на однокомнатную. Все срослось и я доволен.",positive
39,Сергей Мотков,2024-05-27,"Долго думал, какую взять квартиру в строящемся доме или в готовом. Решил, что лучше немного переплачу, но возьму уже построенный вариант. Не зря, переехал в свой жк Люберцы за месяц. Доволен инфраструктурой, но вот с транспортом тут тяжеловато. Сейчас активно привыкаю и осваиваюсь.",positive
40,Ирик,2024-05-21,"С января 2024 года не можем добиться замены натяжного потолка застройщиком. Несколько раз назначали замеры, и 6 раз должны были уже прийти поменять. Каждый раз находим возможности, отпрашиваемся с работы, в итоге приходит какой-нибудь разнорабочий-узбек и выпучив глаза говорит что пришел только посмотреть. И так 6 Раз! В итоге середина мая, они так и не могут прийти сделать его. Неоднократно оставлял заявки на исправление застройщиком через приложение, но они сами закрывают эти заявки, ставят режим ""Отменено"". Невозможно связаться по телефону. Не принимают заявки через телефон обосновывая тем что заявки нужно оставлять через УК. Заявки через УК отменяют сами. При звонке из кол-центра сотрудники говорят как попугаи по скрипту, что это вопросы ни к ним. И говорят про обратную связь, но по факту никто не связывается Сил больше нет терпеть это отношение со стороны застройщика. Обьект - Путилково, Просторная 15",neutral
41,Анна,2024-05-20,"Купила квартиру у ""Самолета"", ЖК Прибрежный Парк. Задержка больше 8 месяцев. Невозможно получить внятного адекватного ответа, когда же будет сдана квартира. Больше половины квартир- отделка меньше чем на 50% сделана. а с учетом моратория никто и не спешит, только завтраками кормят! Никогда больше никому я не посоветую связываться с этим казалось бы надежным застройщиком!! по телефону- отговорки, только постоянные переносы. На месте, у штаба строителей- просто разводят руками, не хватает строителей. Уважаемый ""Самолет""!! обратите внимание на этот ЖК! и предпримите меры!! сотни людей в ожидании своих квартир!! у всех дети, ипотеки, сьёмное жилье!",negative
42,Алексей,2024-05-20,"наш строящийся ЖК выкупили у ГК МИЦ. И перестали строить школу и детские сады. Школа вообще РВЭ получила, осталось только несколько замечаний от города устранить, так даже этого не стали делать. Так и стоит школа почти год, разваливается, а на возмущения жителей пишет, что мол город не принимает.",negative
43,Дмитрий Г,2024-05-18,Конченная компания. ЖК Прибрежный парк. Квартиру уже почти год не могу получить. Вообще не рекомендую.,negative
44,Виктория К.,2024-05-10,"В прошлом году заселились в ЖК Пригород Лесное, за это время успели адаптироваться, чем больше тут нахожусь, тем больше мне нравится. Были небольшие проблемы со стоянкой уже их решили, открылись несколько магазинов и кафе, обустроили детские площадки, в общем создают для жителей комфортные условия.",neutral
45,Надежда Арифова,2024-05-02,"Купили в Егорово парк двушку, сразу взяли готовую квартиру, чтобы не ждать никаких достроек. Это Подмосковье, соответственно, московской прописки у нас нет. Но зато у нас рядом Томилинский лесопарк и хорошая экология.",neutral
46,Елена Шадринцева,2024-04-27,"Это первая наша квартира, сказать что я рада, это не то слово, комплекс отличный, новые дома, просторные парадные все чисто и аккуратно. У нас шестой этаж с окнами на сторону реки, вид супер, мест для прогулок много, воздух чистый и приятный. Я допустим не нашла каких-то недостатков в ЖК Тропарево парк, продуманная и организованная работа, показала хороший результат.",positive
47,ekaterina ignatkina,2024-04-23,"Мы свою квартиру получили в таком качестве, как и ожидали. Что было предусмотрено договором, все было выполнено. Комплекс Заречье Парк, бизнес-класс. По расположению не прогадали, все нравится, хорошая местность, постепенно все развивается. Вообще застройщик не подвел. Наш комплекс построен по авторскому проекту и визуально симпатичный, этажность не больше 9ти.",positive
48,Раман,2024-04-20,"Купили квартиру, выдача ключей по договору должна была быть 30.09.2023г. Сейчас уже апрель 2024 года и ситуация такая что Правительство ввело мораторий на неустойку. Застройщик в свою очередь окончательно расслабился. Нет никакой информации, на оф сайт перестали выкладывать даже фотографий хода строительства. Некоторым собственникам удается проникнуть на стройку, по тем фото и видео которые они делают понимаешь что в некоторых корпусах вообще за всю зиму ничего не изменилось. Я так думаю что задержат больше чем на год. И ремонт будет убогий. Никогда больше не свяжемся с этим застройщиком",neutral
49,Наталья Ч.,2024-04-05,"Взяли квартиру в Алхимово, переехали летом, уже скоро год, как тут живем. Нравится, что вполне приятное окружение в районе, правда стройка еще не закончилась. Но она не мешает, поэтому, в целом, все прекрасно тут.",positive
50,Сурайё Хидирова,2024-04-01,"Продали однокомнатную и купили 2 комнатную квартиру у этого застройщика, цена была выше так как дом был введён в эксплуатацию и уверяли что сразу получим ключи, в итоге прошло 3 месяца по договору 30.12.23 выдача, сегодня 1.04 24 они ещё не знают когда выдадут ключи, каждую неделю меняют дату. Приходится платить ипотеку и снимать жильё. Это просто издевательство каждый день звонишь называют другую дату. Не рекомендую связываться с этим застройщиком!!!",negative
51,stupina karina,2024-04-01,"Мы достаточно долго присматривались к жилому комплексу Пригород Лесное. Ну и параллельно копили первоначальный взнос на покупку, хоть квартира и не дорогая, но все равно, ипотекой воспользоваться пришлось. В итоге взяли в нем целую трешку. Она у нас европейского формата, и так хорошо, что окна смотрят на разные стороны, приятно жить с разными видами.",neutral
52,Ева,2024-03-27,"С данным застройщиком связываться не рекомендую. Тут на каждом шагу будете жалеть. Менеджеры нагло врут и обманывают . По факту не могут организовать элементарных вещей , типо доступа проезда к дому . Обещают одно- а на деле будет получать разочарование",negative
53,Eva,2024-03-27,"Это была далеко не первая покупка квартиры для меня. началось все с того что приоформлении договора менеджеры допустили кучу ошибок , и я была вынуждена ждать 2 месяца, что бы документы попали на регистрацию. Отделка очень среднего качества, и через месяц проживания затопили сверху, застройщик устранил повреждения, но очень вяло и медленно, приходилось названивать. При покупке машиноместа- начались американские горки с ценой. Не выдумывали на ходу , от изначальной скидки в 15 % в конце дня они озвучили 3% . Такого базара не видела ни где. А если говорить про общий настрой - то менеджеры не компетентные, обещают перезвонить- и не перезванивают , информацией ни кто не владеет , и чувство что над тобой издеваются - на каждом шагу .",negative
54,kostik.letunovskiy,2024-03-24,"Нашли Пригород лесное еще три года назад, сразу вложились на этапе котлована, сейчас вот переезжаем. Не пожалели, так как на входе цена была очень доступная, и ипотеку мы уже практически закрыли. Здесь свой мир, с лесом и инфраструктурой. Может крупных ТЦ и нет, надо до них ехать. Но нам всего, что здесь есть, вполне хватает.",neutral
55,Лилия К.,2024-03-19,"Этого застройщика прекрасно знаю, мы купили у него в Пригород лесное родителям квартиру, сами тоже планируем перебраться, но пока в Домодедово живем. У нас там большая квартира, а чтобы сюда переехать, надо доплату вносить, чтобы было аналогичное по метражу пространство. Поэтому копим! Место классное, много зелени, родители очень довольны!",positive
