Name,Date,Review,Rating
Галина Шумакова,2023-11-28T20:03:57+03:00,"Добрый вечер, сегодня хочу оставить небольшой отзыв про опыт покупки квартиры в Нокса парк. Несколько месяцев с супругом присматривались к данному жк. Все таки локация тут удачная, считай до центра 20 минут, недалеко есть тц...
Достоинства: Достоинства: Приемлемая цена, 20минут до центра, тц и магаз ны в пешей доступности, многоуровневая парковка по генплану.
Недостатки: Недостатки: Не нашла",5
likalikalika11,2023-12-17T23:50:52+03:00,"Сколько пишут гадостей про этого застройщика, решила сама проверить. Остановилась на однушке в Полярной 25, по соотношению ценник-расположение самый годный для меня вариант. Въехала вовремя, с ключами не тянули. Фоток с косяками на отделке не...
Достоинства: Достоинства: Нормальный по соотношению цена-качество дом
Недостатки: Недостатки: Они есть везде",5
look87,2023-11-11T15:49:35+03:00,"Уже год живём в трёшке, купленной у ПИКа. Выбирали по критериям цена и транспортная доступность. ЖК Люберецкий находится в Московской области. Как я описываю расположение дома - наш дом в МО, а тень от него...
Достоинства: Достоинства: Сто пудов достроят, исправляют косяки, отделка приемлемая
Недостатки: Недостатки: Долго ждать гарантийного ремонта, не возможно поменять провайдера, окна сифонят и их нужно апгрейдить за деньги, заглушки на трубах тоже за деньги",4
KEM040380,2023-11-16T19:09:14+03:00,"Покупала от ПИК 2 квартиры с отделкой, одна в г. Химки, мкр Левобережный, другая в г. Одинцово. В офисе продаж работают профессиональные сотрудники, всегда подробно консультировали по всем возникающим вопросам. Что могу сказать по отделке...
Достоинства: Достоинства: Компетентные и отзывчивые сотрудники, качественная отделка, расположение объектов с хорошей транспортной доступностью и развитой инфраструктурой
Недостатки: Недостатки: Не очень качественные окна",5
evgenitet,2023-12-22T00:10:07+03:00,"Так как времени после переезда прошло достаточно, могу написать объективный отзыв на наш жк и застройщика в том числе. Изначально выбирал по расположению и стоимости квартир. Мне поселение Внуково по работе подходит, да и до...
Достоинства: Достоинства: Сдача в срок, качество за небольшую стоимость,
Недостатки: Недостатки: Инфраструктура в районе не самая развитая, с лифтами иногда бывают проблемы.",5
sergroser,2024-07-03T21:17:26+03:00,"Выбрали Саларьево Парк из-за локации и цены. С Киевского на мкад прямой и быстрый выезд + метро в пешем доступе от дома. На момент покупки метр за 200к взяли, смотрю цены на новые корпуса уже...
Достоинства: Достоинства: Большая территория, своя социалка, много коммерции
Недостатки: Недостатки: Стройка рядом, толкучка у метро",5
leitxrf,2016-03-31T13:09:16+03:00,"Три с половиной года назад наша семья купила квартиру в жилом комплексе ""Большое Кусково"", который строила ГК ""ПИК"". Продавцом был не сам ""ПИК"", а их инвесторы Строительно-инвестиционная компания ""Бэсткон"" . Поэтому о том, как ""ПИК""...
Достоинства: Достоинства: Квартиры сдают почти вовремя. В квартирах, продаваемых с отделкой, можно сразу жить
Недостатки: Недостатки: Много недочётов в отделке",4
ori77rus,2016-10-30T05:12:12+03:00,"Приобрел квартиру в компании ПИК в ЖК Ярославский. В связи с чем хочу поделиться некоторым опытом. И так начнем. Менеджер по продажам. Довольно доброжелательно и позитивно настроен (ну при продаже по другом и не может...
Достоинства: Достоинства: Сроки стройки, организация процесса
Недостатки: Недостатки: умудрились в квартире без отделки получить замечания",4
PeretsSan,2016-07-27T15:57:15+03:00,"Как хорошо что можно написать отзыв который будут читать люди и понимать что хорошо и что плохо! Несколько лет я работал в агентстве недвижимости и очень тесно мы работали с застройщиками Группа компаний ПИК. дела...
Достоинства: Достоинства: никаких, одни угрозы и неприступность.
Недостатки: Недостатки: халатное отношение , мошенничество, беспредел",1
светик777,2018-10-24T17:07:21+03:00,"Всем привет) На днях мы стали счастливыми обладателями квартиры-студии от ГК ПИК. Выбор на эту квартиру и застройщика ПИК пал по нескольким причинам: 1. Надёжность. 2. Много уже сданных в срок объектов. 3. Интересный дизайн...
Достоинства: Достоинства: Современно, надёжно, соотношение цена/качество
Недостатки: Недостатки: В соседнем доме есть проблемы с канализацией",4
Рома Колесников,2024-08-14T19:33:15+03:00,"В конце 2021 года у меня образовалась некоторая свободная сумма, которую я решил инвестировать в недвижку. Изучил актуальный рынок новостроя и из свежих проектов мне больше всего приглянулся именно пиковский жк Кавказский бульвар 51. У...
Достоинства: Достоинства: Цена, готовая отделка.
Недостатки: Недостатки: Бюджетные материалы",5
Sarinova Yuliya,2024-10-21T13:13:23+03:00,"В данный момент ищем жильё в Первомайском районе, но пока на рынке недвижки ситуация не особо стабильная, в основном гуляем по будущим ЖК и ходим по шоурумам. В топ-5 по новостройкам у нас сейчас пиковский...
Достоинства: Достоинства: Хорошие планировки, виды из окна на бухту
Недостатки: Недостатки: Цены на жильё в данный момент по стране",5
Kokurina Irina,2024-11-08T21:23:33+03:00,"Заехали мы в свою квартиру еще в далеком 2020 году, когда цены и ипотечная ставка были адекватные. У нас трехкомнатная квартира, живем впятером(у нас трое детей) места вполне хватает, комнаты просторные, кухня так вообще огромная...
Достоинства: Достоинства: планировки и их выбор, развитый район
Недостатки: Недостатки: загруженность парковок, надо снимать или покупать машиноместо",5
Genzerskaya Ira,2024-11-15T16:10:55+03:00,"Переехала в Москву не так давно - пару лет назад. Долго моталась по съемным и решила, что хватит отдавать кому-то в карман большие деньги, если можно точно также оформить ипотеку и платить те же деньги...
Достоинства: Достоинства: Классная квартира с хорошей отделкой, мебелью и техникой
Недостатки: Недостатки: Нет",5
KristinaG1988,2024-11-13T15:40:10+03:00,"Хорошее место выбрали для застройки. Мне нравится близость к историческому центру. Метро я не всегда пользуюсь, чаще на машине езжу, но все равно удобно, что станция через дорогу находится. Еще приятно удивило, что застройщик взялся...
Достоинства: Достоинства: Хорошее расположение, быстрые темпы строительства (на сегодняшний день).
Недостатки: Недостатки: Цена",5
Vitalina1996,2024-11-11T13:04:03+03:00,"В прошлом году получили ключи от нашей двухкомнатной в Исеть парке. Ремонт делать не хотели, да и дороже получается, чем готовый, поэтому брали квартиру в корпусе с отделкой. В этом же районе рассматривали другие ЖК...
Достоинства: Достоинства: Расположение у реки и вид из окна. Цена/качество адекватные.
Недостатки: Недостатки: Шум и пыль от стройки других корпусов и отсутствие паркинга в нашем.",5
Skibina Sofa,2024-10-16T23:22:13+03:00,"Всем привет! Скажу сразу, опыт взаимодействия с ПИКом у меня не первый – последняя съемная квартира у меня была в Green Park. Мне там в целом очень нравилось, что ремонт от застройщика, что сама локация...
Достоинства: Достоинства: район, парковое окружение, метро
Недостатки: Недостатки: сдача в 2025",5
devic88,2020-02-29T19:15:06+03:00,"Когда мы задумались о покупке собственной квартиры, мы выбирали долго и тщательно. Был ряд критериев, которые мы не могли опустить. Деньги единственный и накопленные собственным трудом. Ипотека светила не маленькая. А значит жилье нужно готовое...
Достоинства: Достоинства: удобно, доступно
Недостатки: Недостатки: высокая слышимость",4
Matvey-Lvovich,2024-10-18T10:46:18+03:00,"Эта квартира – моя первая собственная недвижимость, поэтому выбирал ее долго и нудно. Требований было много: район на западе Москвы, готовый ремонт, транспортная доступность и цена до 15 млн. Вариант взять вторичку у меня отпал...
Достоинства: Достоинства: метро, цена, готовая отделка
Недостатки: Недостатки: еще не заселился",5
OlesyaTimofeeva,2022-06-23T15:16:29+03:00,"Доброго времени суток, тебе, мой Дорогой читатель Очень многие люди хаят и ругают группу компаний ПИК и конечно не зря, но почему же люди продолжают покупать? Цена, мой дорогой друг, никто не построит в такую...
Достоинства: Достоинства: закрытый двор, открытый двор, подъезд в уровень земли, аккуратные и красивые фасады цена
Недостатки: Недостатки: г...тделка не знания менеджерами условий ипотеки",5
Межуева Ю,2024-11-06T23:51:45+03:00,"Судя по тому, что я решила оставить отзыв, значит что я собственник квартиры в этом жк, что логично Хочу поделится своим впечатлением покупки квартиры от ПИК. Почему выбрала именно этот проект? Все просто-локация. Район Новоселье...
Достоинства: Достоинства: удобное расположение комплекса и доступная цена
Недостатки: Недостатки: есть только один вариант отделки",5
Ангелина Рюмина,2022-08-26T16:03:36+03:00,"Купили квартиру в ЖК Одинцово-1 еще на стадии постройки. В августе прошлого года нам сдали квартиру. Были удивлены, так как читали много отзывов про задержки в сдаче от пика, что ощущения были неоднозначные. Все мы...
Достоинства: Достоинства: Цена, надежность застройщика.
Недостатки: Недостатки: Незначительные косяки в отделке.",5
Travkin R,2024-10-23T20:59:52+03:00,"Квартиру покупали почти три года назад, тогда ещё цены не были как сейчас да и семейную ипотеку банки давали. Получилось оформить трёхкомнатную в корпусе на Архангельской 9, его сдали в прошлом году. Приняли с первого...
Достоинства: Достоинства: Цена за метр, готовая новая школа
Недостатки: Недостатки: Для себя не обнаружили",5
Саша Грянченко,2022-08-30T11:16:23+03:00,"Кто бы что ни говорил, а строит пик действительно быстро. Естественно, не без косяков, таких новостроек вообще не существует, но темпы у них похвальные. Вот у нас квартира в заречном парке, это СПБ. Второй корпус...
Достоинства: Достоинства: Быстро строят
Недостатки: Недостатки: На себе лично еще не ощутили никаких недостатков, позже будет видно",5
Вера Солнцева00,2022-08-22T16:44:12+03:00,"Купили себе квартиру в Савин парке. Дома пока строятся, планируют сдавать в 2024 году, но мы не спешим. Вышла в 3,2 млн., в то время как рядом ценник начинается от 4 млн. рублей. Хорошо, что...
Достоинства: Достоинства: отделка, цена
Недостатки: Недостатки: по качеству пока не потятно, на приемке будет видно.",5
karamelka1997,2022-09-14T17:40:06+03:00,"В прошлом году мы решили расшириться и начали смотреть двушки. Консультировались со многими застройщиками, у всех квартиры такие однотипные, как будто их проектировщики просто так зп получают. Друзья посоветовали Пик. Посмотрели у него варианты и...
Достоинства: Достоинства: хорошая планировка, социалка под рукой.
Недостатки: Недостатки: небольшие косяки по ремонту.",5
Volovshchikov,2024-10-25T13:08:17+03:00,"Давно искал двушку в новом жк по ближе к МКАДу, так как по работе, часто мотаюсь в Серпухов. В итоге выбор пал на Восточное Бутово. Квартиру взяли в 5 корпусе, окна выходят во двор и...
Достоинства: Достоинства: расположение, доступный ценник
Недостатки: Недостатки: отсутствие балконов",5
