Name,Date,Review,Rating,Developer,Website
max57,2024-03-15,"Здравствуйте. Как хорошо всё начиналось: бизнес-класс, проект от бюро Speech, шикарные холлы, закрытая территория двора, закрытый стилобат на уровне 6-го этажа (прогулочная зона), подземный паркинг, мойка колёс при въезде, выход в ТЦ и метро непосредственно...
Шикарные концепции и маркетинг для реализации недвижимости в Жилых комплексах
Серьёзные недостатки и ошибки в реализации, некомпетентное обслуживание и решение гарантийных случаев",2,MR Group,Otzovik
CosmeticFan,2025-03-29,"Золотое правило приемки объекта от застройщика - указать выявленные при приемке явные недостатки в акте, ну а далее действовать согласно действующему гражданскому законодательству. И в этом ""далее"" неизбежно повылезают еще и скрытые недостатки заветной «бетонной...
Монолит, современный дизайн, стильное оформление фойе, подземный паркинг.
Отвратительная система вентиляции, бесконечное срабатывание пожарной сигнализации, герметизация наружных стен нарушена, оконные стыки продуваются.",3,MR Group,Otzovik
miminoha,2025-03-19,"Добрый день. Хочу обратиться с жалобой по поводу качества ваших построенных ЖК. В частности : ЖК Дискавери парк по адресу: ул. Дыбенко д. 7/1. Купила сыну квартиру в этом ЖК. Приобретала на стадии котлована. Позиционировали...
Выход к метро
Жара на площадках до 40 градусов, чем выше этаж, тем жарче",1,MR Group,Otzovik
MaxML,2024-05-10,"Негативный опыт взаимодействия с менеджером продаж, действующим в интересах MR Group. Конкретно с одним менеджером - Еленой Казаниной. При выборе объекта (квартиры) в ЖК Cityzen меня прикрепили к данному менеджеру. Данный менеджер, как позже выяснилось...
Нет
Плохая организация продаж",1,MR Group,Otzovik
Мирослава5896,2023-11-21,"Жилой комплекс Селигер Сити - это место, которое является одновременно и моим домом, и местом моей силы. Я живу здесь не первый год, а моя любовь все сильнее и сильнее. Одним из главных преимуществ Селигер...
прекрасный двор-парк, атмосфера уюта
нет",5,MR Group,Otzovik
OlgaVG82,2024-07-25,"Уже два года занимаются отписками. Не меняют подоконник который сами испортили. На все обращения отвечают, что «обращение будет рассмотрено или перенаправлено, ждите ответа с вами свяжутся.» Еще во время каждого сильного дождя в моей квартире...
Новая квартира
Не исполнение гарантийных обязательств.",1,MR Group,Otzovik
Dromeo,2024-07-09,"Самый лживый застройщик. В ответ на все претензии есть два стандартных ответа. 1. Продажники Вам наобещают, Вы их больше слушайте. 2. У нас изменился проект. На втором (или другом) этаже к клиента проблема еще хуже...
Нет
Менеджеры компании МР групп обманывают своих клиентов.",1,MR Group,Otzovik
AntonRogov,2023-11-28,"На выходных я посетил жилой комплекс ""Метрополия"" от МР Групп и был приятно удивлен тем, насколько профессионально и внимательно менеджер по продажам выслушал мои запросы и предложил мне оптимальные варианты квартир. Он не просто пытался...
удобное расположение, безопасность
нет",5,MR Group,Otzovik
Аноним1939717,2024-10-25,"отдел по работе с партнёрами. У застройщика работает дама по имена Марина Мажара. Я такого хамства за последние лет 20 просто никогда не встречала. Нет уже такого даже на рынке. По телефону она орёт. Даже...
нет
что указала",1,MR Group,Otzovik
Evgeniyaml,2024-06-19,"Доход у меня средний, возможности тоже. Но мы в этом году все же решили купить новую квартиру. Прежняя в подуставшем доме, да и побольше уже жилье нужно было. Стали искать в Видном варианты. Перебрали много...
паркинг, школа, сады, плавательный центр
нет",5,MR Group,Otzovik
Максим Логинов45,2024-06-17,"Мы проживаем не в Москве, в Видном. Эко Видное 2 выбрали по ряду причин. Хочу не про это сейчас сказать, про другое. Считаю, нам повезло с застройщиком, потому что свои обещания он выполняет. Строят школу...
застройщик выполняет свои обещания, соблюдение сроков сдачи, хорошее благоустройство
нет",5,MR Group,Otzovik
Azepsut,2024-04-01,"Как известно, театр начинается с вешалки, а мнение о застройщике складывается на основе опыта общения с менеджерами отдела продаж и тут диалог не заладился сразу. Или мне так не повезло с менеджером, я не знаю...
Красивые рендеры проектов
Ужасный отдел продаж, ужасное отношение к клиентам",1,MR Group,Otzovik
Katerinka1406,2024-06-07,"Мы живем в Видном в комплексе, котороый строит как раз МР Групп. Купили собственно потому что искали у себя в городе варианты от надежного застройщика. Наш дом был первым, который тут построили. Поначалу не хватало...
открыт садик, свои магазины у дома, закрытые дворы без машин.
ЖК еще в процессе строительства.",5,MR Group,Otzovik
Кристи7,2023-11-10,"Мнение о МР групп резко шлепнулось на пол и закатилось под плинтус после случая с хамством, а главное - нежелания отвечать за него. Если у вас, как у купившего квартиру, возникнут проблемы или вопросы, то...
Не знаю, я их не заметила
Хамство и отсутствие ответов от застройщика",1,MR Group,Otzovik
firefox1112,2023-12-26,"Ждал начала продаж именно второй очереди в ЖК Slava. Дело в том, что именно там будут квартиры, а не апартаменты. Мне был принципиально важен вопрос с пропиской. Хотя тут оговюсь, дабы никого не обидеть и...
базовая отделка, локация, застройщик.
нет",5,MR Group,Otzovik
denisrbd,2023-11-30,"Качество домов мр - это просто самый высокий уровень. Я впечатлен архитектурой, материалами высокого качества и продуманной планировкой квартир. Каждая деталь была тщательно продумана и выполнена профессионально. Отдельно хочется отметить сервис, который предоставляет МР групп...
качество домов, сервис
нет",5,MR Group,Otzovik
Симонова Лариса,2023-04-06,"Первый раз столкнулась с программной лояльности у застройщика. Ну то есть если в продуктовых, салонах красоты и других местах я к этому уже привыкла, то тут это было в абсолютную новинку. Когда покупала квартиру, то...
Качество строительства, архитектура, программа лояльности
нет",5,MR Group,Otzovik
ЕвгенийФ1,2023-07-26,"Недавно купил квартиру от застройщика МР Групп в ЖК Павелецкая Сити. Сыграли свою роль три основных фактора: - Местоположение ЖК Павелецкая Сити, безусловно, одно из его сильных преимуществ. Близко к деловому центру и культурным объектам...
удобное местоположение, архитектура
нет",5,MR Group,Otzovik
ПавелЖуков,2023-06-27,"На это у меня был ряд причин) Во-первых, я слышал много хороших отзывов от друзей и знакомых, которые уже приобрели недвижимость у этого застройщика. Во-вторых, после того как я впервые посетил их офис в Москве...
ценят своих клиентов
нет",5,MR Group,Otzovik
Lidiya Martseva,2023-01-09,"Недавно ездила в офис мр, чтобы поближе познакомиться с застройщиком. Сразу предупредила, что квартиру покупать прямо сейчас не планирую. Тем не менее, мне показали все преимущества жк, подробно рассказали о всех используемых материалах, ознакомили с...
Выстроенная репутация, хорошее качество строительства, большой выбор жк и квартир, хорошее отношение к клиентам
Не выявлено",5,MR Group,Otzovik
VanLaz,2022-08-23,"Мало, кто делает акцент на заботе о своих покупателях после закрытия сделки, поэтому программа лояльности от MR Group нас приятно удивила. Так, что захотелось поделиться подробностями. Итак, программа лояльности называется MR Club. И вы становитесь...
программа лояльности
пока без)",5,MR Group,Otzovik
Kolyan892,2023-05-02,"Мне понравилось взаимодействовать с застройщиком МР групп. Все этапы строительства были организованы на высшем уровне, плюс можно было следить за процессом строительства на сайте и ежемесячно смотреть отчеты в соцсетях. Менеджеры всегда быстро отвечали на...
забота о клиентах, комфортное жилье
нет",5,MR Group,Otzovik
Oinor,2023-01-25,"В купленной квартире не было ни холодной ни горячей воды. Техник управляющей компании сказал что вода подается в квартиру он не пойдёт. Квартиру покупали с чистовой отделкой. В потолке наглухо вмонтированы два перекрытых крана горячей...
Чистовая отделка.
Потолки опущены на 23 см. Все трубы под открытыми потолками завязаны узлами. Вентиляция перегнута",1,MR Group,Otzovik
ocob00,2022-12-10,"Почитав немногочисленные отзывы, могу точно сказать - компания работает над своей репутацией, сидит на платных отзывах, но таков бизнес. Теперь по сути. качество недвижимости неудовлетворительное. окна все под замену, то что стоит и считается аллюминиевыми...
Дак откудаж
Судя по отзывами жильцов с других ЖК этого застройщика - они одни и теже - вся их недвижимость - сплошной минус",1,MR Group,Otzovik
Носова Ада,2023-04-06,"Год назад купила квартиру у МР групп в Селигер Сити. Этап выбора был очень долгим и трепетным. Выбирала квартиры по отзывам знакомых, инфе в интернете и сданным ЖК. По совокупности всех факторов мой выбор пал...
расположение комплексов, уникальные проекты, интересная архитектура
цена на некоторые ЖК",5,MR Group,Otzovik
Sukalol,2022-10-03,"Главная проьблема, это окна, их как будто бы и нет. зимой ветер и наледи внутри помещения, осенью и весной душ из воды, так как окна используются как стояк для воды. Рабочие от застройщика утверждают что...
их нет
потреченные деньги и нервы",1,MR Group,Otzovik
Ivanova95,2022-08-16,"Купили квартиру в одном из строящихся ЖК от MR Group (Павелецкая Сити) в первую очередь из-за нормальной репутации девелопера. Долго собирали информацию: за ними не значатся заморозки строек и обман дольщиков. Все данные есть в...
Описала)
Серьезных не было)",5,MR Group,Otzovik
rkmy,2021-01-14,"Отвратительный застройщик. - Срок сдачи больше чем на полгода задержал - Качество квартиры отвратительное, по гарантии исправляют мелочи. Брали квартиру с отделкой, в квартире плесень, под ламинатом вода, между стенами и рамами окон заливает вода...
Мало
Написал все минусы в отзыве",2,MR Group,Otzovik
AleKsandraNV,2021-11-15,"Комплекс сдали без задержек, поэтому сразу преступили к ремонту. По качеству строительства претензий не было, не считая мелкие недочеты, которые застройщик быстро устранил. Брали на старте продаж, по рекомендации друзей, да и компания одна из...
Красивый двор, площадь с фонтаном
Не нашли",5,MR Group,Otzovik
